Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1896.4717229207358 56.69955190022786 0.7168085755447282 0.8808 0.3930 125
adirondack_chairs.ppm 1750.5429509480794 54.92759450276692 0.7408711962673089 0.8975 0.3889 130
adirondack_chairs.ppm 1658.6146926879883 54.23078155517578 0.7360157217759934 0.9055 0.3862 132
adirondack_chairs.ppm 1657.3731638590496 53.15916442871094 0.7344091820491733 0.8964 0.3658 124
adirondack_chairs.ppm 1642.5303548177085 54.20697021484375 0.735278588434925 0.8924 0.4117 134
adirondack_chairs.ppm 1729.8470102945962 55.004343668619796 0.7178702743305463 0.8838 0.4046 132
adirondack_chairs.ppm 1717.8446095784507 54.00812784830729 0.7284179861293673 0.8860 0.3604 124
adirondack_chairs.ppm 1698.1460469563804 55.48227945963542 0.7250259587713818 0.9058 0.3899 133
adirondack_chairs.ppm 1731.0187123616536 54.94792175292969 0.718062339556124 0.9047 0.3931 124
adirondack_chairs.ppm 1802.6801096598306 54.61846415201823 0.7232865367527749 0.8842 0.3668 133
adirondack_chairs.ppm 1685.8024698893228 56.06276957194011 0.7406416392473917 0.8942 0.4380 126
adirondack_chairs.ppm 1584.8478113810222 52.57150522867838 0.7513358272800342 0.9060 0.4182 124
adirondack_chairs.ppm 1974.545618693034 56.427800496419266 0.7266641585352454 0.8817 0.3903 131
adirondack_chairs.ppm 1847.154355367025 56.65342458089193 0.682925112713943 0.8898 0.3851 133
adirondack_chairs.ppm 1790.621602376302 54.84920756022136 0.7455203667944791 0.9012 0.3767 129
adirondack_chairs.ppm 1650.3996607462566 53.88920338948567 0.7300492672776565 0.8987 0.4234 129
adirondack_chairs.ppm 1678.1462529500325 56.373680114746094 0.7233060576735711 0.8907 0.3816 125
adirondack_chairs.ppm 1737.9869842529297 55.939264933268234 0.7074140967826722 0.8757 0.3977 138
adirondack_chairs.ppm 1610.1211903889975 54.901667277018234 0.7340163650630321 0.8876 0.3875 130
adirondack_chairs.ppm 1657.8056615193684 54.400393168131515 0.7485454590461661 0.8911 0.4220 128
astro_bodies.ppm 1168.6345698038738 42.22388458251953 0.6676073972254134 0.8508 0.3999 123
astro_bodies.ppm 1267.135175069173 45.44047292073567 0.6429908813291255 0.8602 0.4255 134
astro_bodies.ppm 1370.8754831949868 44.25829060872396 0.6854752274259138 0.8304 0.3561 132
astro_bodies.ppm 1710.0528182983398 47.231163024902344 0.7230608155118915 0.8347 0.3721 131
astro_bodies.ppm 1729.0702031453452 47.70044708251953 0.7287095315664113 0.8605 0.3954 132
astro_bodies.ppm 1425.1389617919922 42.44742838541667 0.7540572466147181 0.8521 0.3939 131
astro_bodies.ppm 1496.5018157958984 48.43388366699219 0.6554754887283524 0.8425 0.3773 123
astro_bodies.ppm 1458.013282775879 40.60624440511068 0.7447559607002042 0.8371 0.3870 123
astro_bodies.ppm 1401.150779724121 45.67963409423828 0.6952787156803276 0.8445 0.3752 128
astro_bodies.ppm 1685.7073237101235 46.78803253173828 0.7364580259084891 0.8265 0.3520 123
astro_bodies.ppm 1520.2425282796223 44.16880798339844 0.7490268708640969 0.8514 0.4085 132
astro_bodies.ppm 1388.1963933308919 43.21178944905599 0.7290466454874732 0.8408 0.3650 133
astro_bodies.ppm 1431.548728942871 48.504615783691406 0.6707195896227539 0.8484 0.3881 136
astro_bodies.ppm 1135.8228403727214 38.93790181477865 0.7019769250353839 0.8522 0.3994 129
astro_bodies.ppm 1503.6175231933594 45.14763387044271 0.7496648436457036 0.8523 0.3844 123
astro_bodies.ppm 1430.1773274739583 45.821065266927086 0.6926101548102136 0.8275 0.3726 123
astro_bodies.ppm 1640.7759653727212 45.81465148925781 0.7422694173268423 0.8571 0.4187 123
astro_bodies.ppm 1228.639119466146 43.59330749511719 0.7096027666098434 0.8624 0.4243 133
astro_bodies.ppm 1382.0542322794595 43.413917541503906 0.7615433584697714 0.8513 0.3944 123
astro_bodies.ppm 997.0614013671875 41.24058024088542 0.6247176060122789 0.8793 0.4430 132
astronaut.ppm 1096.3939183553061 46.011156717936196 0.6471376839668622 0.8154 0.3437 131
astronaut.ppm 975.7163950602213 43.044769287109375 0.7378386055158398 0.8314 0.3679 124
astronaut.ppm 1397.3613993326824 49.74652608235677 0.6750571886391011 0.8272 0.3392 125
astronaut.ppm 1018.6201222737631 45.03871154785156 0.7198803464432547 0.8412 0.3602 130
astronaut.ppm 1360.1285909016926 48.54142761230469 0.7432636059340298 0.8317 0.3883 132
astronaut.ppm 883.2736562093098 39.77040608723958 0.7310939471839429 0.8444 0.3629 131
astronaut.ppm 1089.0431111653645 43.84896341959636 0.7019112534042661 0.8249 0.3705 124
astronaut.ppm 1033.898826599121 44.27641042073568 0.7249998622543005 0.8350 0.3600 123
astronaut.ppm 818.2216415405273 39.588366190592446 0.7595071015033271 0.8401 0.3791 131
astronaut.ppm 1156.3856658935547 45.891693115234375 0.7213847593240832 0.8250 0.3623 122
astronaut.ppm 817.0258153279622 38.594032287597656 0.7295782774545129 0.8223 0.3354 129
astronaut.ppm 1082.362528483073 44.86866251627604 0.7194736693507583 0.8091 0.3256 124
astronaut.ppm 1205.683354695638 46.5670166015625 0.7294397937988428 0.8159 0.3557 128
astronaut.ppm 980.7674713134766 43.490966796875 0.748265621644979 0.8462 0.3868 128
astronaut.ppm 1078.2991205851238 45.51203155517578 0.7353176501392013 0.8236 0.3562 137
astronaut.ppm 844.6021041870117 40.60528310139974 0.7539746754663176 0.8508 0.3786 133
astronaut.ppm 901.6454900105794 42.169690450032554 0.7483337974427112 0.8428 0.3780 125
astronaut.ppm 1012.8322118123372 44.10049184163412 0.7036534256725018 0.8333 0.3799 122
astronaut.ppm 1004.5584055582683 43.23155212402344 0.7224356741209732 0.8180 0.3467 128
astronaut.ppm 1045.4992421468098 44.41754150390625 0.769732136268685 0.8461 0.3778 132
balinese_dancer.ppm 881.9364929199219 31.098490397135414 0.6096486932547971 0.8685 0.3658 132
balinese_dancer.ppm 845.1983235677084 30.417154947916664 0.6076182707479951 0.8643 0.3413 127
balinese_dancer.ppm 925.2881062825521 31.021876017252605 0.7224439254254921 0.8670 0.3477 122
balinese_dancer.ppm 866.1711807250977 30.946317036946617 0.5741169159159836 0.8905 0.4007 131
balinese_dancer.ppm 661.9371897379558 28.224568684895836 0.6307681226552765 0.8869 0.3725 122
balinese_dancer.ppm 879.9606424967449 30.783442179361977 0.6316539949536983 0.8725 0.3416 122
balinese_dancer.ppm 935.7319564819336 31.438921610514324 0.7118096611278043 0.8829 0.3469 124
balinese_dancer.ppm 871.4957809448242 30.68888600667318 0.6349169429456619 0.8674 0.3429 122
balinese_dancer.ppm 964.4753901163737 30.695228576660156 0.7307278290378245 0.8579 0.3567 123
balinese_dancer.ppm 1110.9715423583984 32.34290568033854 0.7583209470934241 0.8362 0.3078 122
balinese_dancer.ppm 1019.8338928222656 31.432037353515625 0.629934864211484 0.8739 0.3493 130
balinese_dancer.ppm 767.8277587890625 30.504292805989586 0.5890562588439298 0.8992 0.3931 131
balinese_dancer.ppm 900.7899271647136 31.045684814453125 0.6164938629399436 0.8583 0.3348 123
balinese_dancer.ppm 874.4530410766602 29.988599141438804 0.6867813857113331 0.8899 0.3886 131
balinese_dancer.ppm 1024.5242029825847 31.85352325439453 0.7260130886234002 0.8567 0.3263 131
balinese_dancer.ppm 718.3349329630535 27.372403462727863 0.7417349686547291 0.8759 0.3640 122
balinese_dancer.ppm 907.9417114257812 32.21976216634115 0.6896972165812992 0.8661 0.3261 131
balinese_dancer.ppm 854.3850250244141 30.272501627604164 0.6180855258950424 0.8682 0.3308 132
balinese_dancer.ppm 790.6105677286783 29.27177174886068 0.7291598927029103 0.8836 0.3794 135
balinese_dancer.ppm 986.3194783528645 31.987284342447914 0.6784653357681276 0.8757 0.3473 128
ball_caps.ppm 1070.026023864746 42.21699778238932 0.7529850374660506 0.8427 0.3372 132
ball_caps.ppm 841.1325352986654 39.451769510904946 0.7541128816741979 0.8561 0.3223 123
ball_caps.ppm 1014.9979273478191 39.36602528889974 0.764370408992774 0.8537 0.3632 131
ball_caps.ppm 981.6062393188477 38.43656667073568 0.7668902953261161 0.8464 0.3546 136
ball_caps.ppm 786.9777857462566 36.07870737711588 0.7643621585905661 0.8569 0.3444 127
ball_caps.ppm 1003.2012456258138 40.78607940673828 0.7554873238136359 0.8487 0.3326 124
ball_caps.ppm 985.9474563598633 42.431139628092446 0.7382542954402759 0.8400 0.3280 135
ball_caps.ppm 999.1810506184896 41.57870992024739 0.7350438497251868 0.8487 0.3616 135
ball_caps.ppm 1053.6922810872397 40.11444600423177 0.7339176995469137 0.8490 0.3101 123
ball_caps.ppm 1072.1431121826172 40.83209228515625 0.7687307676254985 0.8741 0.3947 132
ball_caps.ppm 1023.218355814616 42.430788675944015 0.7395260123555752 0.8358 0.3095 123
ball_caps.ppm 981.577616373698 40.77214050292969 0.7712076796397732 0.8674 0.3725 122
ball_caps.ppm 978.7041397094727 40.48002370198568 0.7637786712459139 0.8460 0.3667 123
ball_caps.ppm 1088.8396479288738 41.77111053466797 0.7497368343059069 0.8562 0.3582 132
ball_caps.ppm 1237.669776916504 43.75840504964193 0.7509820142048262 0.8473 0.3313 129
ball_caps.ppm 1044.338129679362 43.048884073893234 0.7292757572323402 0.8255 0.3110 132
ball_caps.ppm 1043.6083196004233 41.1139399210612 0.7680316809438296 0.8617 0.3565 131
ball_caps.ppm 972.7874170939127 41.704368591308594 0.7649456163765803 0.8513 0.3591 132
ball_caps.ppm 930.3400573730469 40.06578572591146 0.7462523999646583 0.8452 0.3194 123
ball_caps.ppm 1019.3568725585938 41.97374979654948 0.7403936634640765 0.8308 0.3078 131
birthday_baloons.ppm 1231.4129028320312 35.16313171386719 0.7852822350757439 0.8727 0.3029 128
birthday_baloons.ppm 1326.9579467773438 36.436167399088546 0.7846306736499592 0.8648 0.2657 136
birthday_baloons.ppm 1284.0198364257812 35.47673543294271 0.7991352680307631 0.8774 0.3272 129
birthday_baloons.ppm 970.4555689493815 32.46585337320963 0.7963157704441436 0.8733 0.3215 131
birthday_baloons.ppm 1174.1280619303384 35.67542012532552 0.7757847486357424 0.8693 0.2912 122
birthday_baloons.ppm 1532.9141998291016 38.626068115234375 0.7907711033478634 0.8776 0.3198 132
birthday_baloons.ppm 1547.5664240519204 39.71945444742839 0.78145211436851 0.8513 0.2907 122
birthday_baloons.ppm 1391.8127415974934 40.201769510904946 0.7916512516445772 0.8508 0.2616 122
birthday_baloons.ppm 1205.8329060872395 38.02247111002604 0.8045871452863974 0.8762 0.3072 127
birthday_baloons.ppm 1493.4014943440754 38.48111470540364 0.761079865470787 0.8694 0.3041 131
birthday_baloons.ppm 1256.4104665120442 35.206461588541664 0.8014773619924199 0.8720 0.3311 121
birthday_baloons.ppm 1836.083958943685 40.86342875162761 0.7880968240500953 0.8572 0.2961 131
birthday_baloons.ppm 1569.906349182129 40.71934763590495 0.7702651932981922 0.8503 0.2833 130
birthday_baloons.ppm 1433.5565795898438 37.65137736002604 0.7850810674044272 0.8614 0.3092 131
birthday_baloons.ppm 1258.1291910807292 36.26241556803385 0.7826759861487408 0.8726 0.3172 135
birthday_baloons.ppm 1324.3531646728516 36.84033711751302 0.7995403224411873 0.8692 0.2998 122
birthday_baloons.ppm 1669.297307332357 39.23076375325521 0.7837055786541134 0.8664 0.2953 132
birthday_baloons.ppm 1206.9269104003906 37.28931681315104 0.766171658865311 0.8715 0.2906 121
birthday_baloons.ppm 1606.8676808675132 39.2112782796224 0.7839771839418953 0.8580 0.2755 122
birthday_baloons.ppm 1503.1436258951824 39.755655924479164 0.7845572000811497 0.8628 0.2968 123
bosnian_pine_needle.ppm 1422.8958638509114 40.33821614583333 0.8337020034944088 0.9013 0.3181 134
