Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1636.4204813639321 56.181889851888016 0.71288397410285 0.8833 0.3899 157
adirondack_chairs.ppm 1776.025016784668 55.87649790445964 0.7341081287813448 0.8770 0.3641 165
adirondack_chairs.ppm 1667.8316777547202 56.79113006591797 0.7254193540907258 0.9004 0.4136 164
adirondack_chairs.ppm 1741.5234934488933 56.9271240234375 0.6836592381891179 0.8988 0.3785 166
adirondack_chairs.ppm 1722.837043762207 55.57947031656901 0.7372233814552125 0.8844 0.3756 163
adirondack_chairs.ppm 1564.1984151204426 53.695124308268234 0.7411369683984663 0.9019 0.4008 159
adirondack_chairs.ppm 1659.2749328613281 53.85432434082031 0.7425928913149712 0.8938 0.3926 185
adirondack_chairs.ppm 1748.1144739786782 57.53395334879558 0.7168963883870672 0.8889 0.3910 158
adirondack_chairs.ppm 1840.5852711995442 58.13584391276042 0.7126530208845007 0.8787 0.3980 197
adirondack_chairs.ppm 1819.3097432454426 59.89697265625 0.7060033400191594 0.8869 0.4006 171
adirondack_chairs.ppm 1759.2760848999023 56.369468688964844 0.732641236852002 0.8831 0.3892 184
adirondack_chairs.ppm 1553.4477335611978 51.05507914225261 0.7384915601608878 0.9061 0.4126 163
adirondack_chairs.ppm 1724.4275385538735 58.625831604003906 0.7230600395646457 0.8851 0.3789 160
adirondack_chairs.ppm 1548.169225056966 52.13986714680989 0.7555188051450384 0.8941 0.3956 155
adirondack_chairs.ppm 1572.1143010457358 54.35818735758464 0.7395585513004986 0.8899 0.4032 160
adirondack_chairs.ppm 1793.156010945638 58.90518697102865 0.6974463386771843 0.8807 0.3801 157
adirondack_chairs.ppm 1632.2484003702798 54.98408762613933 0.7205400162135219 0.9008 0.4054 169
adirondack_chairs.ppm 1606.3383814493814 53.33626047770183 0.7391684524614265 0.8886 0.4068 156
adirondack_chairs.ppm 1415.9722696940105 53.14457194010417 0.7373839665713762 0.8975 0.3968 161
adirondack_chairs.ppm 1503.7195053100586 53.08072153727213 0.7317253239450304 0.8933 0.4050 161
adirondack_chairs.ppm 1602.9411163330078 54.14027404785156 0.7335484821823828 0.9030 0.4103 199
