Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 802.9410400390625 37.4281260172526 0.8351604129281127 0.9485 0.5060 502
adirondack_chairs.ppm 842.059221903483 38.37829335530599 0.8234787582659103 0.9381 0.4700 504
adirondack_chairs.ppm 779.8367818196614 37.21131896972656 0.8283424621631434 0.9384 0.5136 493
adirondack_chairs.ppm 758.5809656778972 37.553957621256515 0.8250803010824784 0.9371 0.4634 502
adirondack_chairs.ppm 780.8078104654948 37.682576497395836 0.8247681670516354 0.9390 0.4893 501
adirondack_chairs.ppm 788.045036315918 38.584251403808594 0.8149881672836798 0.9379 0.4880 504
adirondack_chairs.ppm 701.4987564086914 35.82496897379557 0.8322715918318688 0.9424 0.4961 512
adirondack_chairs.ppm 853.3548990885417 39.28266906738281 0.8177633052821282 0.9398 0.4921 509
adirondack_chairs.ppm 735.6815032958984 36.81145731608073 0.8197393363963777 0.9405 0.5197 497
adirondack_chairs.ppm 852.0526657104492 38.122474670410156 0.8186610305051053 0.9410 0.4717 493
adirondack_chairs.ppm 756.9445266723633 37.01503245035808 0.822430689574755 0.9469 0.5026 501
adirondack_chairs.ppm 749.185791015625 36.25280253092448 0.8348660797550315 0.9453 0.5035 499
adirondack_chairs.ppm 692.6102193196615 36.51863606770833 0.8302396869601516 0.9343 0.5035 496
adirondack_chairs.ppm 748.93701171875 36.86632283528646 0.8268156481379242 0.9456 0.5058 497
adirondack_chairs.ppm 694.9380900065104 36.79222615559896 0.8257412708411308 0.9452 0.5049 497
adirondack_chairs.ppm 862.9537938435872 38.38490549723307 0.8177655614199417 0.9367 0.4850 492
adirondack_chairs.ppm 789.6972732543945 38.59834543863933 0.8239405084457451 0.9369 0.4810 505
adirondack_chairs.ppm 760.46923828125 37.8109385172526 0.8244750172570842 0.9402 0.4912 506
adirondack_chairs.ppm 878.6980768839518 39.03389231363932 0.8196289930771998 0.9356 0.4646 511
adirondack_chairs.ppm 730.8376592000326 37.37436167399088 0.82210584901344 0.9430 0.5044 496
astro_bodies.ppm 699.6260299682617 30.672701517740883 0.8091038207224651 0.8890 0.4336 501
astro_bodies.ppm 721.7987899780273 29.25713348388672 0.8098120084826478 0.9007 0.4756 502
astro_bodies.ppm 819.6736195882161 33.321390787760414 0.7994159276713072 0.8854 0.4379 502
astro_bodies.ppm 896.5552622477214 34.14386494954427 0.8110426620149496 0.8770 0.4110 488
astro_bodies.ppm 603.7737782796223 27.498753865559898 0.8137205445396579 0.8949 0.4497 488
astro_bodies.ppm 1116.0453211466472 37.80310312906901 0.8041115684680634 0.8928 0.4667 490
astro_bodies.ppm 665.9375559488932 29.28363545735677 0.8044589368863285 0.8961 0.4549 492
astro_bodies.ppm 971.8156204223633 34.54271697998047 0.7966480549473305 0.8925 0.4420 501
astro_bodies.ppm 633.9459126790365 30.026652018229168 0.8099702514350633 0.8957 0.4563 491
astro_bodies.ppm 727.2820485432943 30.562840779622398 0.8103404344180047 0.8908 0.4411 501
astro_bodies.ppm 563.6361872355143 27.136334737141926 0.8205689294234313 0.8978 0.4466 505
astro_bodies.ppm 659.0614395141602 29.027264912923176 0.8118403330761989 0.8943 0.4681 502
astro_bodies.ppm 766.8666839599609 31.459152221679688 0.803600921165013 0.8912 0.4638 487
astro_bodies.ppm 938.5898132324219 34.43253072102865 0.8035384438232839 0.8812 0.4318 496
astro_bodies.ppm 819.2093098958333 32.89994303385417 0.8062964608998232 0.8831 0.4488 494
astro_bodies.ppm 1105.2079900105794 37.83556874593099 0.7953076784741526 0.8778 0.4442 489
astro_bodies.ppm 816.7548421223958 32.474680582682296 0.8164940254336402 0.8919 0.4443 500
astro_bodies.ppm 1064.2461649576824 35.680389404296875 0.8053167780391791 0.8758 0.4332 503
astro_bodies.ppm 870.9994405110677 34.22292582194011 0.7981686639039799 0.8832 0.4437 513
astro_bodies.ppm 1428.0358606974282 42.34859975179036 0.7959449056575373 0.8727 0.4339 500
astronaut.ppm 508.22200775146484 30.871325174967446 0.8095893633254518 0.9001 0.4302 494
astronaut.ppm 801.8674392700195 37.226732889811196 0.77983548752165 0.8732 0.4308 501
astronaut.ppm 543.4449793497721 31.727821350097656 0.7984323193941908 0.8896 0.4658 491
astronaut.ppm 632.4271469116211 35.44920094807943 0.7781375085806507 0.8783 0.4168 491
astronaut.ppm 536.0604527791342 32.19359588623047 0.8004894756837903 0.9046 0.4412 491
astronaut.ppm 573.7060267130533 33.07317352294922 0.7967987427754094 0.8968 0.4134 492
astronaut.ppm 1297.4055887858074 44.91693623860677 0.7908243570883741 0.8769 0.4462 503
astronaut.ppm 485.7440083821615 30.19011433919271 0.8060753857482942 0.8975 0.4628 489
astronaut.ppm 604.3276519775391 34.67095438639323 0.7832650453711268 0.8742 0.4142 506
astronaut.ppm 427.982177734375 28.583109537760414 0.7943114459098837 0.8998 0.4192 488
astronaut.ppm 805.1123860677083 37.04535420735677 0.7843179008355837 0.8774 0.4295 499
astronaut.ppm 477.7737274169922 30.05517578125 0.7880527547115036 0.8849 0.4073 502
astronaut.ppm 431.96144358317054 27.38550567626953 0.8051338132463463 0.8940 0.4329 495
astronaut.ppm 575.9578348795573 31.664937337239586 0.7984762644309361 0.8947 0.4589 514
astronaut.ppm 497.30716705322266 29.40534210205078 0.8027338510797563 0.8951 0.4478 493
astronaut.ppm 423.1489791870117 28.012021382649742 0.8086379999275549 0.8978 0.4483 495
astronaut.ppm 638.8761901855469 35.14989217122396 0.7957024494634021 0.8890 0.4213 490
astronaut.ppm 468.25462849934894 28.573516845703125 0.799686719844452 0.8957 0.4198 496
astronaut.ppm 746.7579625447592 37.53376007080078 0.7760973184794384 0.8785 0.4472 511
astronaut.ppm 565.0945002237955 33.45099131266276 0.7920516611541197 0.8919 0.4408 496
balinese_dancer.ppm 459.68770599365234 21.13581085205078 0.8035452380867815 0.9173 0.4283 490
balinese_dancer.ppm 581.4505869547526 22.979039510091145 0.8143086124023281 0.9041 0.4158 500
balinese_dancer.ppm 674.9086023966471 23.9214604695638 0.8080965850012592 0.9027 0.3927 495
balinese_dancer.ppm 444.8136037190755 21.713607788085938 0.8147290834748038 0.8998 0.4042 489
balinese_dancer.ppm 538.4362614949545 21.82123565673828 0.8110834347399029 0.9258 0.4442 494
balinese_dancer.ppm 574.7506866455078 24.365748087565102 0.7848499706348613 0.8762 0.3738 498
balinese_dancer.ppm 481.02345530192054 22.45428212483724 0.8005945083675488 0.9222 0.4573 489
balinese_dancer.ppm 493.8407389322917 22.226618448893227 0.7936203388365689 0.9159 0.4378 490
balinese_dancer.ppm 654.1207224527994 25.712178548177086 0.8085914963649389 0.9076 0.4204 502
balinese_dancer.ppm 521.793352762858 24.663271586100258 0.7722411667365409 0.9011 0.4021 511
balinese_dancer.ppm 497.8284454345703 22.674540201822914 0.8101072964817572 0.9138 0.4354 492
balinese_dancer.ppm 588.7280985514324 24.462183634440102 0.7872458136457102 0.8786 0.3737 485
balinese_dancer.ppm 448.39028676350915 21.7377192179362 0.8018918357029031 0.9118 0.4276 489
balinese_dancer.ppm 518.1853535970052 23.24365234375 0.795981847066081 0.8951 0.3842 488
balinese_dancer.ppm 565.0421447753906 24.063913981119793 0.785991706082251 0.9096 0.4107 502
balinese_dancer.ppm 514.0786819458008 21.944002787272137 0.8027996205560369 0.9160 0.4239 501
balinese_dancer.ppm 393.0482610066732 19.486478169759117 0.8362285638184962 0.9134 0.4233 492
balinese_dancer.ppm 614.2576548258463 24.170572916666668 0.7907328773808225 0.9136 0.4325 489
balinese_dancer.ppm 444.05271657307946 20.6217524210612 0.8337306936644624 0.9220 0.4532 499
balinese_dancer.ppm 662.7883453369141 24.436559041341145 0.8000798872893432 0.9037 0.3847 501
ball_caps.ppm 573.2301839192708 31.272389729817707 0.8056313682526675 0.8894 0.3916 493
ball_caps.ppm 712.0888799031575 33.46641286214193 0.789414832241233 0.8850 0.4002 504
ball_caps.ppm 503.9586664835612 28.834251403808594 0.800131480317949 0.8932 0.4170 496
ball_caps.ppm 598.2475763956705 31.230201721191406 0.7970491297664882 0.8923 0.3916 503
ball_caps.ppm 575.5208257039388 30.63878631591797 0.7996589096390787 0.8940 0.3664 496
ball_caps.ppm 820.2508341471354 38.162333170572914 0.8020096106894222 0.8716 0.4347 494
ball_caps.ppm 751.3748931884766 36.028350830078125 0.7996977960782342 0.8798 0.4144 506
ball_caps.ppm 1158.2910181681314 41.654248555501304 0.7925130263395626 0.8833 0.4274 494
ball_caps.ppm 507.38615671793616 30.315076192220054 0.808837323043961 0.8961 0.3826 505
ball_caps.ppm 496.1793670654297 27.974400838216148 0.804676637667455 0.9210 0.4239 497
ball_caps.ppm 505.1636428833008 30.23920440673828 0.8109245220310898 0.8969 0.3714 501
ball_caps.ppm 542.6671829223633 30.923311869303383 0.794824374959973 0.8822 0.3601 497
ball_caps.ppm 437.5170669555664 27.393643697102863 0.801477831881433 0.9079 0.4186 496
ball_caps.ppm 571.2222010294596 31.882723490397137 0.80367316461557 0.8818 0.4082 500
ball_caps.ppm 560.0450846354167 31.325281778971355 0.7942931386254551 0.8905 0.4283 490
ball_caps.ppm 669.9141337076824 35.18894958496094 0.8013312206515563 0.8892 0.4052 489
ball_caps.ppm 524.6172561645508 30.106844584147133 0.7996308805039937 0.8805 0.3891 501
ball_caps.ppm 591.1562728881836 31.854555765787758 0.7999806110288014 0.8944 0.3955 500
ball_caps.ppm 652.409807840983 33.137306213378906 0.8101141998061824 0.8907 0.4399 499
ball_caps.ppm 556.6158396402996 31.983062744140625 0.8026019430225301 0.8950 0.4005 503
birthday_baloons.ppm 907.0107345581055 39.701403299967446 0.8479637889654175 0.8912 0.3804 496
birthday_baloons.ppm 564.804573059082 24.24584197998047 0.8459650879844639 0.9001 0.3836 501
birthday_baloons.ppm 687.5936889648438 35.512517293294266 0.840591799367543 0.8902 0.3743 495
birthday_baloons.ppm 922.4374287923177 42.46450297037761 0.846208939526823 0.8935 0.3751 490
birthday_baloons.ppm 697.7398427327473 31.51074727376302 0.8356542611997723 0.8908 0.3814 502
birthday_baloons.ppm 1390.9716898600261 46.62610880533854 0.8400626334056085 0.8757 0.3645 499
birthday_baloons.ppm 716.2082494099934 32.25411732991537 0.8406439146877561 0.8902 0.3868 501
birthday_baloons.ppm 807.8483530680339 33.04442342122396 0.842959450841959 0.8881 0.3923 652
