Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1390.1244659423828 48.3962148030599 0.7688586918438616 0.9090 0.4061 10
adirondack_chairs.ppm 1350.1064198811848 49.26369730631511 0.751379397923788 0.9045 0.4039 10
adirondack_chairs.ppm 1385.3224792480469 50.51031494140625 0.7482272590522202 0.9070 0.4156 9
adirondack_chairs.ppm 1481.0538177490234 51.191548665364586 0.7664892244230388 0.9061 0.4247 9
adirondack_chairs.ppm 1120.4317932128906 45.29937744140625 0.7829262740705 0.9222 0.4579 9
adirondack_chairs.ppm 1303.8091532389324 50.745361328125 0.7503168430887127 0.9072 0.4496 9
adirondack_chairs.ppm 1228.321528116862 46.56998189290364 0.7826287514057303 0.9132 0.4351 9
adirondack_chairs.ppm 1338.9412256876626 51.639905293782554 0.7428431960478233 0.9153 0.4392 9
adirondack_chairs.ppm 1239.9032389322917 47.73424784342448 0.7590622538824964 0.9052 0.4248 9
adirondack_chairs.ppm 1433.4140141805012 51.99082692464193 0.7596875785363716 0.9098 0.4331 9
adirondack_chairs.ppm 1409.771120707194 51.65829213460286 0.7452979452727199 0.9022 0.4233 9
adirondack_chairs.ppm 1453.0115966796875 51.559478759765625 0.7456230886235469 0.8906 0.4138 9
adirondack_chairs.ppm 1318.143964131673 49.19475555419922 0.767523967990314 0.9098 0.4091 9
adirondack_chairs.ppm 1325.1275965372722 48.330930074055985 0.7627819972226972 0.9060 0.4163 9
adirondack_chairs.ppm 1137.614148457845 45.56853993733724 0.7765704259747607 0.9241 0.4486 9
adirondack_chairs.ppm 1434.769620259603 54.73577117919922 0.7287292156023141 0.8938 0.3933 10
adirondack_chairs.ppm 1215.4706497192383 46.75873565673828 0.7664972512470186 0.9058 0.4195 9
adirondack_chairs.ppm 1356.224728902181 50.3295415242513 0.7513110649137144 0.9094 0.4162 9
adirondack_chairs.ppm 1239.899055480957 48.000673929850265 0.7738694088460966 0.9102 0.4063 9
adirondack_chairs.ppm 1533.9037424723308 52.80710347493489 0.7241009057520186 0.9055 0.4154 9
astro_bodies.ppm 1391.218317667643 49.51466369628906 0.6050586947745368 0.8434 0.3784 9
astro_bodies.ppm 1190.3576126098633 47.678540547688804 0.6291965416280724 0.8780 0.4422 9
astro_bodies.ppm 1095.5711059570312 48.332509358723954 0.5830913418497671 0.8729 0.4443 10
astro_bodies.ppm 1148.3467966715496 48.051829020182296 0.5594877591232343 0.8707 0.4276 8
astro_bodies.ppm 1326.6174621582031 53.98908487955729 0.5454297119890171 0.8641 0.4042 11
astro_bodies.ppm 1464.3476053873699 54.877105712890625 0.5898041618666524 0.8610 0.4250 9
astro_bodies.ppm 1148.886395772298 45.146792093912765 0.6180689323205275 0.8690 0.4148 9
astro_bodies.ppm 1179.4999669392903 47.353747049967446 0.578676201552362 0.8697 0.4158 10
astro_bodies.ppm 1199.3879470825195 49.589317321777344 0.5600811044314039 0.8613 0.4237 9
astro_bodies.ppm 1123.681849161784 44.61855570475261 0.6137271447625873 0.8784 0.4381 9
astro_bodies.ppm 1371.194501241048 53.27236684163411 0.542376850525483 0.8534 0.4046 9
astro_bodies.ppm 1677.5283279418945 53.91631825764974 0.6180422394116435 0.8524 0.4295 9
astro_bodies.ppm 1490.5755564371743 49.83266703287761 0.6733905689970324 0.8668 0.4190 10
astro_bodies.ppm 1127.0457102457683 46.366170247395836 0.5845150616100209 0.8850 0.4329 9
astro_bodies.ppm 1093.7725499471028 40.89110565185547 0.6875641449715575 0.8708 0.4068 11
astro_bodies.ppm 1645.1679178873696 52.11133829752604 0.6239719981087087 0.8440 0.4029 10
astro_bodies.ppm 1359.7191696166992 52.494895935058594 0.57007053941418 0.8714 0.4454 9
astro_bodies.ppm 1082.1989491780598 43.407877604166664 0.6210679743932768 0.8736 0.4302 9
astro_bodies.ppm 1377.4310201009114 52.98786926269531 0.5562296860736312 0.8601 0.4055 9
astro_bodies.ppm 1267.5658594767253 50.64737192789714 0.5878105708691538 0.8663 0.4456 10
astronaut.ppm 875.1978302001953 41.68301900227865 0.7315423188871564 0.8823 0.4271 11
astronaut.ppm 1254.7144444783528 48.47596995035808 0.7266166540266493 0.8195 0.3611 8
astronaut.ppm 784.0126266479492 39.17062123616536 0.7048790819148891 0.8811 0.4429 9
astronaut.ppm 1109.9803085327148 46.854331970214844 0.6868763033919194 0.8162 0.3470 10
astronaut.ppm 1086.5521850585938 46.57745361328125 0.6849077883515607 0.8625 0.3802 9
astronaut.ppm 1255.9412180582683 50.58095804850261 0.7141625117570779 0.8362 0.3913 9
astronaut.ppm 933.2895736694336 40.776181538899735 0.7474275681438337 0.8398 0.3722 10
astronaut.ppm 796.1995468139648 38.569923400878906 0.7492134340911578 0.8463 0.3891 8
astronaut.ppm 1055.228775024414 44.24014790852864 0.7370254404548073 0.8619 0.3981 9
astronaut.ppm 764.1428146362305 38.27990976969401 0.7520956333328986 0.8384 0.3707 9
astronaut.ppm 837.4135055541992 39.99319712320964 0.7367702343197796 0.8441 0.3693 10
astronaut.ppm 953.0940678914388 43.42313893636068 0.718199204229033 0.8762 0.4124 9
astronaut.ppm 697.4858118693035 36.2353032430013 0.7724993084750681 0.8693 0.4052 9
astronaut.ppm 1177.1546783447266 44.06050109863281 0.6905931258168154 0.8624 0.4239 9
astronaut.ppm 944.0359700520833 42.49804178873698 0.7340942606495447 0.8553 0.3984 10
astronaut.ppm 924.2265319824219 42.109283447265625 0.7555395653131162 0.8573 0.4005 9
astronaut.ppm 1321.6656443277996 49.72517395019531 0.6983082813751528 0.8285 0.4146 9
astronaut.ppm 1012.9254760742188 44.125244140625 0.7009062557618831 0.8570 0.3720 9
astronaut.ppm 1114.6922658284507 46.437032063802086 0.7124862478744097 0.8208 0.3434 10
astronaut.ppm 1148.1869150797525 47.2038319905599 0.7118762922047037 0.8540 0.3857 9
balinese_dancer.ppm 980.2796834309895 38.58826192220052 0.6497431202414073 0.8777 0.3986 9
balinese_dancer.ppm 746.0254898071289 38.74227650960287 0.5750418112475039 0.8880 0.4248 9
balinese_dancer.ppm 905.5577875773113 37.4507319132487 0.6606067716859331 0.8686 0.4024 9
balinese_dancer.ppm 1333.9583282470703 56.47183736165364 0.4443304075921087 0.8849 0.4040 9
balinese_dancer.ppm 1068.827870686849 47.64171346028646 0.4970788749589527 0.8735 0.3959 9
balinese_dancer.ppm 1280.2350845336914 48.13831329345703 0.5230689569147046 0.8562 0.3755 9
balinese_dancer.ppm 1205.9629796346028 47.161252339680985 0.5393915143843998 0.8653 0.3713 11
balinese_dancer.ppm 936.8833084106445 36.25902557373047 0.6145616362238601 0.8602 0.3524 9
balinese_dancer.ppm 1030.1121241251628 42.659594217936196 0.5486553072913146 0.8740 0.3855 10
balinese_dancer.ppm 982.2428792317709 39.350860595703125 0.6462413531362079 0.8745 0.3772 9
balinese_dancer.ppm 910.8000895182292 44.755427042643234 0.47808167278117913 0.8797 0.3858 9
balinese_dancer.ppm 980.4551010131836 40.113685607910156 0.5979581705928066 0.8712 0.3622 9
balinese_dancer.ppm 1263.9925409952798 45.556251525878906 0.6067075089653226 0.8875 0.4258 9
balinese_dancer.ppm 1467.2697575887044 49.97644297281901 0.500930442608818 0.8550 0.3633 9
balinese_dancer.ppm 914.3927815755209 34.44627888997396 0.5666101414832552 0.8565 0.3237 9
balinese_dancer.ppm 2141.36376953125 54.90372212727864 0.6392929558830993 0.8426 0.3503 11
balinese_dancer.ppm 1013.4726842244467 44.711143493652344 0.5259588845684512 0.8694 0.4106 11
balinese_dancer.ppm 678.2334035237631 33.770599365234375 0.6124267292253959 0.8965 0.4162 9
balinese_dancer.ppm 844.4113845825195 40.844861348470054 0.5222892862452123 0.8768 0.3815 10
balinese_dancer.ppm 794.4407272338867 30.678062438964844 0.6795893043028512 0.8847 0.3863 10
ball_caps.ppm 890.1470642089844 40.93161519368489 0.7271941102347768 0.8580 0.3265 10
ball_caps.ppm 954.9401372273763 43.779014587402344 0.6981329080386495 0.8355 0.2916 9
ball_caps.ppm 1036.1873067220054 43.19401550292969 0.7341659426025244 0.8293 0.2883 8
ball_caps.ppm 979.6745834350586 41.67471567789713 0.7254709580278714 0.8467 0.3155 9
ball_caps.ppm 838.3039881388347 40.139589945475265 0.7328645476554098 0.8660 0.3651 9
ball_caps.ppm 1018.7791773478191 44.560854593912765 0.740084604026523 0.8400 0.3068 9
ball_caps.ppm 952.0572509765625 40.99932352701823 0.7297218085601834 0.8420 0.3199 9
ball_caps.ppm 908.524678548177 39.89586385091146 0.7510080168664829 0.8579 0.3299 10
ball_caps.ppm 888.1500396728516 40.60991414388021 0.7125160543991768 0.8619 0.3307 9
ball_caps.ppm 779.7620315551758 37.992286682128906 0.7362289121105707 0.8696 0.3330 10
ball_caps.ppm 978.1352233886719 43.955622355143234 0.7475066577746121 0.8580 0.3315 9
ball_caps.ppm 1064.9372940063477 46.347511291503906 0.7005924345025537 0.8347 0.2965 8
ball_caps.ppm 758.9530817667644 38.54813893636068 0.7528595669632905 0.8512 0.3030 9
ball_caps.ppm 908.8729985555013 41.556922912597656 0.7454333061039752 0.8511 0.3053 9
ball_caps.ppm 926.418306986491 43.83762868245443 0.7360170796632741 0.8493 0.3379 9
ball_caps.ppm 929.4743754069011 42.20644124348958 0.7319698573495775 0.8595 0.3255 9
ball_caps.ppm 1037.4945119222004 43.110661824544266 0.731324909243661 0.8443 0.2970 11
ball_caps.ppm 899.6977717081706 41.02163441975911 0.742616177368784 0.8599 0.3397 9
ball_caps.ppm 953.5778249104817 42.93010457356771 0.7386685318891123 0.8576 0.3158 9
