Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 796.0224177042644 38.98311106363932 0.8191189479585622 0.9379 0.4771 13
adirondack_chairs.ppm 946.6481806437175 42.640195210774735 0.7903648913848461 0.9369 0.4867 13
adirondack_chairs.ppm 836.6006876627604 40.24064636230469 0.7924534514067738 0.9327 0.4912 13
adirondack_chairs.ppm 772.6083552042644 38.0557378133138 0.8258874909740582 0.9372 0.4672 13
adirondack_chairs.ppm 850.0108591715496 40.62044779459636 0.7924230883356257 0.9399 0.4948 13
adirondack_chairs.ppm 806.718266805013 38.739105224609375 0.8148834663471695 0.9418 0.4896 15
adirondack_chairs.ppm 970.108652750651 43.53932189941406 0.7870503652403896 0.9222 0.4698 13
adirondack_chairs.ppm 844.2013193766277 39.46900431315104 0.8092260915142946 0.9363 0.4770 14
adirondack_chairs.ppm 972.4521484375 42.57156880696615 0.7873029998247026 0.9309 0.4876 13
adirondack_chairs.ppm 934.6507314046223 42.086466471354164 0.7833162068726055 0.9325 0.4824 13
adirondack_chairs.ppm 892.3743108113606 42.163281758626304 0.7873542889149973 0.9322 0.4797 14
adirondack_chairs.ppm 892.7856394449869 42.02534484863281 0.7903399708543578 0.9367 0.4900 14
adirondack_chairs.ppm 838.7289861043294 39.484458923339844 0.8153294584802286 0.9364 0.4751 14
adirondack_chairs.ppm 837.1406784057617 39.667650858561196 0.807229947999859 0.9332 0.4817 13
adirondack_chairs.ppm 843.5895741780598 39.7393544514974 0.8161556931158073 0.9333 0.4916 13
adirondack_chairs.ppm 801.8791376749675 38.883603413899735 0.8065871004681356 0.9317 0.4717 14
adirondack_chairs.ppm 848.1143468221029 40.9542719523112 0.7913638880528397 0.9326 0.4695 13
adirondack_chairs.ppm 890.713862101237 40.78157043457031 0.8087198645613133 0.9326 0.4948 13
adirondack_chairs.ppm 882.9850413004558 40.307200113932296 0.8031956831707848 0.9298 0.4597 13
adirondack_chairs.ppm 896.0581843058269 41.73099009195963 0.7891256584089565 0.9172 0.4651 14
astro_bodies.ppm 789.9905446370442 37.52772013346354 0.659962098335011 0.9065 0.4905 13
astro_bodies.ppm 883.0600992838542 43.766143798828125 0.5921715054436746 0.9080 0.4820 13
astro_bodies.ppm 744.0805536905924 40.95921579996745 0.6114239627626575 0.9071 0.4872 13
astro_bodies.ppm 726.0431645711262 36.835645039876304 0.6652747248409966 0.9009 0.4789 13
astro_bodies.ppm 835.653315226237 41.48189798990885 0.6354153566051705 0.8902 0.4751 13
astro_bodies.ppm 760.8437423706055 37.17132314046224 0.658324359492676 0.8994 0.4776 13
astro_bodies.ppm 805.3579254150391 40.25291442871094 0.6165915129246397 0.8940 0.4591 14
astro_bodies.ppm 980.375005086263 43.3465321858724 0.6595085979505456 0.8889 0.4600 14
astro_bodies.ppm 735.392194112142 37.408836364746094 0.5961679635691975 0.8843 0.4352 14
astro_bodies.ppm 1112.5553309122722 49.166445414225265 0.5802500890684238 0.8756 0.4232 14
astro_bodies.ppm 900.9785181681316 40.781288146972656 0.637727903116455 0.8989 0.4595 14
astro_bodies.ppm 848.6302108764648 42.612180074055985 0.5937894428638891 0.8895 0.4505 13
astro_bodies.ppm 667.7409362792969 31.464436848958336 0.7324106399572331 0.8990 0.4511 14
astro_bodies.ppm 937.4538421630859 45.40312194824219 0.5953033151636108 0.8973 0.4585 13
astro_bodies.ppm 1042.4728953043618 44.77668762207031 0.6053501440303126 0.9005 0.4886 13
astro_bodies.ppm 773.224978129069 42.04312388102213 0.5979426933482049 0.9036 0.4673 14
astro_bodies.ppm 800.6593805948894 40.787000020345054 0.6064251134154032 0.8978 0.4743 13
astro_bodies.ppm 655.2788645426432 31.306793212890625 0.7404072125999285 0.9040 0.4706 14
astro_bodies.ppm 1103.354621887207 47.773256937662765 0.5830588767605769 0.8861 0.4452 13
astro_bodies.ppm 602.2386754353842 29.396222432454426 0.7730646869096697 0.9053 0.4781 13
astronaut.ppm 695.9610595703125 36.8123524983724 0.7531265099973643 0.8603 0.3864 14
astronaut.ppm 626.6397933959961 34.41732533772787 0.7591524134211166 0.8866 0.3926 15
astronaut.ppm 667.1633936564127 35.499412536621094 0.7472259207466689 0.8654 0.4176 13
astronaut.ppm 526.9513168334961 32.18260447184245 0.7483711729245877 0.8950 0.4164 13
astronaut.ppm 761.5249379475912 37.482660929361984 0.7364414457087426 0.8800 0.4484 15
astronaut.ppm 577.8982950846354 33.673797607421875 0.7760465314361601 0.9104 0.4684 13
astronaut.ppm 737.3071823120117 38.34110768636067 0.7477958815337985 0.8658 0.4002 13
astronaut.ppm 652.5487162272135 35.05778503417969 0.7586294538621227 0.8682 0.3944 14
astronaut.ppm 640.0466232299805 35.922889709472656 0.7758812054770657 0.8998 0.4535 14
astronaut.ppm 542.9180374145508 30.577669779459633 0.7909549861902924 0.8679 0.3980 13
astronaut.ppm 633.8128712972004 35.18574523925781 0.7514974740885494 0.8852 0.4309 15
astronaut.ppm 660.3691101074219 34.31373596191406 0.7655496015550908 0.8824 0.4163 14
astronaut.ppm 675.5711186726888 36.988721211751304 0.7249799055840037 0.9015 0.4480 14
astronaut.ppm 475.9906056722005 29.957616170247398 0.756332439037885 0.9034 0.4550 13
astronaut.ppm 646.3210220336914 35.585182189941406 0.7620127598090088 0.8828 0.4337 13
astronaut.ppm 505.9919001261393 31.26410166422526 0.7481809165384258 0.8805 0.4248 13
astronaut.ppm 601.6691640218098 33.49468485514323 0.7734315056981829 0.8986 0.4580 13
astronaut.ppm 576.0395456949869 32.581247965494796 0.7649332394087563 0.8762 0.4038 13
astronaut.ppm 633.6044921875 34.65710957845052 0.7349271983897538 0.8666 0.3874 14
astronaut.ppm 503.2732238769531 31.605372111002602 0.7428959546748904 0.8923 0.4490 15
balinese_dancer.ppm 512.2919514973958 32.52109781901042 0.5909118018954947 0.9162 0.4650 13
balinese_dancer.ppm 623.4726537068684 29.31096649169922 0.6633908784826756 0.9008 0.4069 15
balinese_dancer.ppm 749.7428232828776 39.60487874348958 0.5476723750443923 0.9043 0.4635 13
balinese_dancer.ppm 814.4452311197917 43.26614888509115 0.4950044693560147 0.9035 0.4404 14
balinese_dancer.ppm 601.7752024332682 33.81526184082031 0.5907610272637811 0.9162 0.4607 13
balinese_dancer.ppm 676.965207417806 39.154431660970054 0.5111527775399336 0.8997 0.4325 14
balinese_dancer.ppm 821.3515040079752 35.854357401529946 0.6541433257855185 0.8965 0.4337 13
balinese_dancer.ppm 386.9997990926107 23.548556009928387 0.6768303519903247 0.9111 0.4472 14
balinese_dancer.ppm 612.2566452026367 34.10505930582682 0.585207209272751 0.9063 0.4459 14
balinese_dancer.ppm 709.5763397216797 34.74536641438802 0.6109556105253788 0.9183 0.4848 14
balinese_dancer.ppm 574.4495442708334 31.575347900390625 0.6152578171463423 0.9044 0.4313 13
balinese_dancer.ppm 601.6681594848633 32.60897572835287 0.60466509900076 0.9059 0.4578 14
balinese_dancer.ppm 508.6593933105469 30.056208292643227 0.6160356380524624 0.9013 0.4373 14
balinese_dancer.ppm 584.1011479695638 27.16643524169922 0.7097744000624848 0.8935 0.4072 14
balinese_dancer.ppm 517.1290613810221 28.203870137532554 0.6862948232725078 0.9067 0.4306 14
balinese_dancer.ppm 616.2041193644205 36.09198252360026 0.5401382165533098 0.8881 0.4309 15
balinese_dancer.ppm 469.10497029622394 28.131734212239586 0.6409629439523905 0.9163 0.4460 14
balinese_dancer.ppm 460.8317413330078 25.485341389973957 0.6735281775619194 0.9126 0.4361 13
balinese_dancer.ppm 560.1685333251953 35.08363342285156 0.5463464076992125 0.9100 0.4502 13
balinese_dancer.ppm 649.8550821940104 35.517710367838546 0.5868999301558748 0.9077 0.4447 14
ball_caps.ppm 699.2365951538086 36.475013732910156 0.7700206640178983 0.8829 0.3341 13
ball_caps.ppm 645.3153025309244 34.40488688151042 0.7778610998805572 0.8815 0.3435 13
ball_caps.ppm 666.0603612263998 33.712694803873696 0.7573399535706095 0.8891 0.3677 15
ball_caps.ppm 611.7913564046224 33.51678466796875 0.760107263678965 0.8749 0.3402 13
ball_caps.ppm 603.6336924235026 34.49202473958333 0.7833349163882438 0.8781 0.3598 13
ball_caps.ppm 707.2116012573242 36.647911071777344 0.7449621773419471 0.8637 0.3055 13
ball_caps.ppm 604.8722991943359 33.528350830078125 0.7714681428026792 0.8831 0.3616 14
ball_caps.ppm 718.6754709879557 37.83680216471354 0.7150721468027913 0.8608 0.3243 13
ball_caps.ppm 502.42078653971356 29.790573120117188 0.7779039278816692 0.8865 0.3778 14
ball_caps.ppm 560.1424560546875 33.00629679361979 0.7363018752661219 0.8969 0.3715 14
ball_caps.ppm 574.1415125528971 32.649411519368485 0.7551181272270983 0.8697 0.3190 15
ball_caps.ppm 761.7212015787761 37.90284729003906 0.7455523246147119 0.8452 0.3159 13
ball_caps.ppm 619.7793273925781 35.26442972819011 0.7383639525699582 0.8571 0.3072 14
ball_caps.ppm 721.5645192464192 38.13518778483073 0.7315637901022293 0.8718 0.3461 13
ball_caps.ppm 682.9221928914387 37.660667419433594 0.7558118788047133 0.8837 0.3729 13
ball_caps.ppm 584.2810796101887 33.63092803955078 0.7714489742113605 0.8751 0.3516 13
ball_caps.ppm 605.411257425944 33.87212880452474 0.7580241696108638 0.8743 0.3569 15
ball_caps.ppm 549.3158518473307 32.11483256022136 0.7672390689498387 0.8941 0.3951 13
ball_caps.ppm 611.7346420288086 32.95260365804037 0.7539329160573153 0.8950 0.3590 14
ball_caps.ppm 695.1009419759115 37.09095764160156 0.7301945085935265 0.8685 0.3260 16
birthday_baloons.ppm 1325.2135391235352 51.31478627522786 0.796121725294982 0.8823 0.3327 14
birthday_baloons.ppm 1016.5982767740886 41.96928405761719 0.8077469022482829 0.8787 0.3368 13
birthday_baloons.ppm 1028.1216354370117 42.16058603922526 0.7981337089173675 0.8818 0.3404 15
birthday_baloons.ppm 1178.4458770751953 47.08846537272136 0.788303423284561 0.8733 0.3306 14
birthday_baloons.ppm 1221.8335851033528 50.29302724202474 0.7848144358652288 0.8696 0.3093 13
birthday_baloons.ppm 1096.0919748942058 46.919550577799484 0.7979799725770288 0.8864 0.3508 13
birthday_baloons.ppm 1129.2930552164714 49.7776133219401 0.8020739365963371 0.8759 0.3352 13
birthday_baloons.ppm 1159.633763631185 48.25223795572917 0.7959047624535384 0.8746 0.3350 15
birthday_baloons.ppm 862.6397476196289 42.55364735921224 0.7921550279544397 0.8848 0.3311 14
birthday_baloons.ppm 865.9951604207356 38.706581115722656 0.8077620029268612 0.8962 0.3542 13
birthday_baloons.ppm 982.3437220255535 43.93061065673828 0.8125698186587956 0.8766 0.3325 15
birthday_baloons.ppm 820.35791015625 37.746882120768234 0.8231444832283773 0.8787 0.3447 14
birthday_baloons.ppm 1020.9071528116863 46.942405700683594 0.7984769238720553 0.8817 0.3684 13
birthday_baloons.ppm 801.3827260335286 34.98402404785156 0.805631824643284 0.8781 0.3192 14
birthday_baloons.ppm 941.8837636311848 39.76578267415364 0.8050923833694449 0.8743 0.3491 13
birthday_baloons.ppm 901.4691289265951 39.78258005777995 0.8125859565462301 0.8864 0.3462 14
birthday_baloons.ppm 1156.745152791341 45.1551767985026 0.7819567993803723 0.8643 0.3034 13
birthday_baloons.ppm 1093.041659037272 45.52679697672526 0.813545672252307 0.8952 0.3701 15
birthday_baloons.ppm 1089.2612126668294 48.30380503336589 0.8104707150488282 0.8829 0.3463 14
birthday_baloons.ppm 738.9375661214192 39.35130310058594 0.8210978461443975 0.9017 0.3548 14
bosnian_pine_needle.ppm 481.9710871378581 24.29895782470703 0.911180171674966 0.9445 0.4198 13
bosnian_pine_needle.ppm 804.9088439941406 37.5772959391276 0.8808409112429291 0.9235 0.3987 13
bosnian_pine_needle.ppm 781.7380956013997 38.470034281412765 0.8866781650289347 0.9332 0.3960 13
bosnian_pine_needle.ppm 728.7441711425781 34.812947591145836 0.8832019815600383 0.9156 0.3815 14
bosnian_pine_needle.ppm 623.0021616617838 35.91313171386719 0.9041140119776102 0.9385 0.4140 15
bosnian_pine_needle.ppm 1011.7324473063152 49.334320068359375 0.8828578234843514 0.9334 0.3817 14
bosnian_pine_needle.ppm 994.5680236816406 44.17825826009114 0.8907340106356577 0.9468 0.4317 13
bosnian_pine_needle.ppm 782.9330902099609 40.495249430338546 0.8945163231863585 0.9412 0.4181 13
bosnian_pine_needle.ppm 669.5275548299154 33.66940053304036 0.8899702177695691 0.9488 0.4194 15
bosnian_pine_needle.ppm 809.5786743164062 38.60285949707031 0.89295316992842 0.9500 0.4379 14
bosnian_pine_needle.ppm 642.5548578898113 33.35269419352214 0.9042928121215467 0.9586 0.4474 15
bosnian_pine_needle.ppm 828.2075220743815 41.39354705810547 0.8829683387337645 0.9326 0.3997 13
bosnian_pine_needle.ppm 490.75569661458337 28.159255981445312 0.9123738816693017 0.9604 0.4557 13
bosnian_pine_needle.ppm 571.9244359334309 32.354942321777344 0.9017296504143024 0.9518 0.4321 13
bosnian_pine_needle.ppm 883.769551595052 43.776692708333336 0.8928002660250595 0.9352 0.3951 15
bosnian_pine_needle.ppm 804.4994455973308 36.03102620442708 0.8687171417763042 0.9217 0.3729 13
bosnian_pine_needle.ppm 818.659174601237 42.33538309733073 0.9107411585275926 0.9496 0.4260 15
bosnian_pine_needle.ppm 704.5268503824869 39.441340128580734 0.8996689448982008 0.9502 0.4402 14
bosnian_pine_needle.ppm 999.8707122802734 45.78288269042969 0.8983424927154653 0.9477 0.4217 14
bosnian_pine_needle.ppm 569.0563863118489 32.52790832519531 0.9103167803034612 0.9375 0.4279 13
buggy.ppm 547.5938110351562 31.166976928710938 0.7898421383843575 0.9070 0.4467 13
buggy.ppm 685.9480895996094 38.56720987955729 0.7256373311827181 0.8788 0.3856 13
buggy.ppm 771.3244247436523 37.445386250813804 0.7288062256367606 0.8822 0.3883 13
buggy.ppm 673.2758839925131 37.02164713541667 0.7540763836161664 0.8814 0.3884 13
buggy.ppm 634.4749221801758 35.38020579020182 0.743689751996591 0.8694 0.3533 14
buggy.ppm 641.5720748901367 35.33590443929037 0.755482651260612 0.8957 0.4036 13
buggy.ppm 584.4613850911459 33.32306925455729 0.7556163253324298 0.8692 0.3673 14
buggy.ppm 673.0376790364583 36.44684346516927 0.7455901385744514 0.8830 0.3647 13
buggy.ppm 648.2507095336914 35.015383402506515 0.7515143040493445 0.8778 0.3834 14
buggy.ppm 580.2866897583008 33.71953582763672 0.7727430388380742 0.8989 0.4236 13
buggy.ppm 658.6334228515625 36.00890604654948 0.7666211045495236 0.8867 0.3954 14
buggy.ppm 677.6516215006511 36.027852376302086 0.7291950596787492 0.8778 0.3785 14
buggy.ppm 683.5162836710613 37.9843266805013 0.7279915028296546 0.8803 0.3802 13
buggy.ppm 850.7281646728516 40.537297566731766 0.7279813513122145 0.8623 0.3773 13
buggy.ppm 713.5528462727865 37.63544718424479 0.7535292032658697 0.8943 0.4052 15
buggy.ppm 707.715586344401 37.24430338541667 0.7337904517438819 0.8805 0.3792 12
buggy.ppm 655.1244201660156 35.86856587727864 0.7603992617830988 0.8877 0.4175 13
buggy.ppm 726.8330485026041 36.908294677734375 0.7672984794349617 0.8852 0.3986 14
buggy.ppm 807.4875157674153 40.245445251464844 0.7169036858421839 0.8618 0.3238 13
buggy.ppm 695.2233810424805 35.50175221761068 0.7163549882819206 0.8562 0.4131 14
calaveras.ppm 1116.9870096842449 46.663523356119796 0.7516737837040207 0.9240 0.4602 14
calaveras.ppm 1125.7926076253254 47.15855916341146 0.7527210229530051 0.9342 0.4577 14
calaveras.ppm 1224.5795440673828 47.094146728515625 0.750792686998607 0.9201 0.4346 13
calaveras.ppm 1114.35614267985 44.36775461832682 0.7703643647542072 0.9222 0.4357 14
calaveras.ppm 1189.4774856567383 47.52949778238933 0.748968217564269 0.9208 0.4603 14
calaveras.ppm 1121.1929423014324 46.4729258219401 0.7511043319271457 0.9246 0.4506 13
calaveras.ppm 1083.1451594034831 44.01471710205078 0.7649667462928315 0.9298 0.4421 14
calaveras.ppm 1392.2461649576824 50.32884724934896 0.7302441872218234 0.9094 0.4279 13
calaveras.ppm 948.7384134928385 42.79122416178385 0.7710701179241831 0.9311 0.4628 14
calaveras.ppm 977.0500971476238 44.336463928222656 0.7635801429928991 0.9297 0.4639 13
calaveras.ppm 922.9486694335938 41.27867635091146 0.7762996509816054 0.9338 0.4700 13
calaveras.ppm 1112.177505493164 45.90264383951823 0.759279317027628 0.9302 0.4585 14
calaveras.ppm 1131.6688486735027 44.586771647135414 0.7721159483254542 0.9259 0.4363 13
calaveras.ppm 1165.910405476888 47.93086751302083 0.7433622602844311 0.9104 0.4432 13
calaveras.ppm 1195.7397740681965 47.911155700683594 0.748690348425554 0.9246 0.4328 14
