Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1336.958381652832 49.32605743408203 0.7718409608761633 0.9063 0.4046 20
adirondack_chairs.ppm 1283.5158742268882 49.55294291178385 0.7627430944290848 0.9065 0.4160 30
adirondack_chairs.ppm 1206.8717346191406 48.338689168294266 0.7641753703831798 0.9330 0.4615 21
adirondack_chairs.ppm 1831.5610860188804 55.82350158691406 0.7415162368886047 0.8966 0.4337 21
adirondack_chairs.ppm 1337.3868255615234 50.44460042317708 0.7474025082782175 0.8949 0.4071 29
adirondack_chairs.ppm 1202.1461639404297 48.068674723307296 0.7664194066314957 0.9141 0.4501 21
adirondack_chairs.ppm 1398.2000122070312 51.485595703125 0.7497430505772321 0.8927 0.4080 19
adirondack_chairs.ppm 1513.418083190918 52.65710703531901 0.7430237967513657 0.9025 0.4031 30
adirondack_chairs.ppm 1296.8921203613281 47.779581705729164 0.7747584502777491 0.9195 0.4355 21
adirondack_chairs.ppm 1266.6093063354492 48.027890523274735 0.7736488257626172 0.9161 0.4544 20
adirondack_chairs.ppm 1144.7287877400715 47.05037180582682 0.7742116617740044 0.9139 0.4339 21
adirondack_chairs.ppm 1275.9300486246746 47.83191426595052 0.7678245432648358 0.9044 0.4140 20
adirondack_chairs.ppm 1264.2174046834311 49.656715393066406 0.7519895859402815 0.9074 0.4102 20
adirondack_chairs.ppm 1074.01931254069 42.913909912109375 0.806344422740998 0.9200 0.4563 21
adirondack_chairs.ppm 1353.1095708211265 50.26234181722005 0.7608944188538723 0.9166 0.4305 21
adirondack_chairs.ppm 1479.1138509114585 51.58524068196614 0.7539530369296402 0.9011 0.4205 21
adirondack_chairs.ppm 1292.3628056844075 49.902305603027344 0.7499673107913137 0.9023 0.4244 21
adirondack_chairs.ppm 1672.25830078125 54.93611145019531 0.742713829425332 0.8766 0.3933 21
adirondack_chairs.ppm 1226.0030466715496 48.25388590494792 0.7676013474140991 0.9098 0.4661 21
adirondack_chairs.ppm 1293.6914367675781 49.589569091796875 0.7632337174358236 0.9127 0.4413 20
astro_bodies.ppm 4470.885971069336 70.95332845052083 0.6097844321350326 0.8242 0.4204 20
astro_bodies.ppm 3954.38668568929 78.1401138305664 0.5980775408438287 0.8368 0.4227 20
astro_bodies.ppm 1611.0065892537436 53.493832906087235 0.621022875363313 0.8469 0.4010 20
astro_bodies.ppm 1011.9749654134114 40.31789143880208 0.6642599423255975 0.8911 0.4631 20
astro_bodies.ppm 1748.5675099690757 54.66254679361979 0.6293460052214712 0.8638 0.4396 20
astro_bodies.ppm 1978.3072382609048 54.471519470214844 0.6606344494820812 0.8581 0.4499 21
astro_bodies.ppm 1353.6189778645833 49.80839029947917 0.635554617974143 0.8657 0.4097 30
astro_bodies.ppm 2290.251708984375 63.17478434244792 0.6088835084973133 0.8563 0.4270 20
astro_bodies.ppm 2979.159278869629 66.29171498616536 0.5987280854836391 0.8330 0.4098 21
astro_bodies.ppm 1810.1324005126953 58.27155558268229 0.6228454238070552 0.8665 0.4363 20
astro_bodies.ppm 1031.2101593017578 42.75419616699219 0.6482572247906928 0.8790 0.4376 20
astro_bodies.ppm 2257.990252176921 59.37557729085286 0.639899969254046 0.8317 0.4128 21
astro_bodies.ppm 2047.3477528889975 60.446360270182296 0.6125061939816153 0.8515 0.4192 21
astro_bodies.ppm 2021.0957539876304 59.083501180013016 0.6093271270171475 0.8552 0.3997 20
astro_bodies.ppm 2095.716608683268 60.64021301269531 0.623450059363437 0.8232 0.3883 20
astro_bodies.ppm 1027.7957077026367 43.059872945149735 0.6418126909321596 0.8825 0.4544 21
astro_bodies.ppm 1612.2503916422527 51.89348347981771 0.661921467314541 0.8759 0.4393 20
astro_bodies.ppm 2450.5848541259766 65.25709533691406 0.570915938742656 0.8353 0.4275 20
astro_bodies.ppm 3164.885284423828 68.07297770182292 0.613865323795046 0.8154 0.4122 20
astro_bodies.ppm 3197.0944213867188 73.65963745117188 0.5784687728587591 0.8461 0.4284 21
astronaut.ppm 2059.666226704915 60.400698343912765 0.6894714889926884 0.7961 0.3509 20
astronaut.ppm 982.6389032999674 43.4159673055013 0.7541369149709362 0.8541 0.3787 20
astronaut.ppm 1223.156852722168 47.841346740722656 0.7201955433016564 0.8117 0.3712 20
astronaut.ppm 1662.0591634114585 53.553232828776046 0.7122818474124791 0.8149 0.3443 19
astronaut.ppm 1379.1322580973306 49.10328674316406 0.7230471948815449 0.8386 0.3684 30
astronaut.ppm 1036.5855509440103 45.751302083333336 0.7398316092583345 0.8474 0.3701 21
astronaut.ppm 1223.128791809082 48.73656463623047 0.7231380414147521 0.8275 0.3624 20
astronaut.ppm 1068.2837244669597 45.75510915120443 0.7176501875462081 0.8526 0.3834 20
astronaut.ppm 1834.4494806925454 58.354270935058594 0.7236977898732703 0.8126 0.3641 30
astronaut.ppm 792.1034469604492 39.47326405843099 0.7363156675469323 0.8394 0.3565 30
astronaut.ppm 1155.512850443522 44.701855977376304 0.7338397090094161 0.8162 0.3483 19
astronaut.ppm 1625.146494547526 58.3011220296224 0.6921327341243702 0.8279 0.3991 20
astronaut.ppm 1397.140833536784 49.91630045572917 0.7456142717451434 0.8560 0.4099 30
astronaut.ppm 1368.4833679199219 49.6346435546875 0.7026481040585191 0.8145 0.3654 21
astronaut.ppm 941.9993133544922 41.7314707438151 0.737182288693329 0.8591 0.4117 20
astronaut.ppm 1001.2947031656902 41.99488830566406 0.7365622798403767 0.8417 0.4251 21
astronaut.ppm 980.6440022786459 42.383697509765625 0.7519155473257605 0.8379 0.3622 21
