Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 586.2023468017578 32.68403116861979 0.8502091821501657 0.9476 0.5087 43
adirondack_chairs.ppm 524.3570124308268 31.290789286295574 0.8551933040373269 0.9576 0.5355 44
adirondack_chairs.ppm 552.666987101237 31.68059794108073 0.849712420876386 0.9535 0.5147 44
adirondack_chairs.ppm 568.0805231730143 32.76007843017578 0.8392839684368362 0.9567 0.5352 44
adirondack_chairs.ppm 511.0329818725586 31.23084259033203 0.8485282724487003 0.9620 0.5527 44
adirondack_chairs.ppm 557.7687911987305 32.20097096761068 0.8510044641344124 0.9534 0.5195 44
adirondack_chairs.ppm 578.5017878214518 33.483472188313804 0.839082130527399 0.9483 0.5328 44
adirondack_chairs.ppm 556.7733484903971 31.94365692138672 0.852028910244222 0.9627 0.5339 44
adirondack_chairs.ppm 528.9671529134115 32.10405985514323 0.8426108206773439 0.9520 0.5252 44
adirondack_chairs.ppm 580.946428934733 32.999209086100265 0.841724453075594 0.9545 0.5443 44
adirondack_chairs.ppm 484.74570719401044 30.810195922851562 0.8549331868647029 0.9602 0.5590 43
adirondack_chairs.ppm 589.2312978108724 32.68358866373698 0.8438285104947086 0.9482 0.5127 42
adirondack_chairs.ppm 638.1789194742838 34.7431894938151 0.8296193839613201 0.9537 0.5233 44
adirondack_chairs.ppm 584.2553100585938 33.81312052408854 0.8372210407349493 0.9492 0.5196 43
adirondack_chairs.ppm 504.3661422729492 30.536379496256508 0.8596465903161198 0.9576 0.5315 42
adirondack_chairs.ppm 583.1808522542318 32.344289143880204 0.8485472191405926 0.9505 0.5207 43
adirondack_chairs.ppm 670.842653910319 35.259254455566406 0.8255046438795269 0.9437 0.5024 44
adirondack_chairs.ppm 653.626370747884 35.54698435465495 0.8322296259962179 0.9482 0.5167 44
adirondack_chairs.ppm 572.0771128336588 33.436665852864586 0.8403223212776537 0.9586 0.5262 44
adirondack_chairs.ppm 596.3647638956706 33.29478708902995 0.8409277559282587 0.9539 0.5238 43
astro_bodies.ppm 886.2125956217449 38.94769287109375 0.6946578338831503 0.9095 0.4934 44
astro_bodies.ppm 1394.0877532958984 49.02967325846354 0.6577715921176708 0.9149 0.5297 45
astro_bodies.ppm 829.3590367635092 36.24353790283203 0.7097685663035479 0.9147 0.5116 44
astro_bodies.ppm 1474.1697336832683 42.84087117513021 0.7470508957294988 0.8869 0.5115 46
astro_bodies.ppm 438.72179412841797 29.326321919759113 0.6753244999394289 0.9251 0.5105 44
astro_bodies.ppm 430.45182037353516 27.475786844889324 0.7234822058928178 0.9308 0.5425 43
astro_bodies.ppm 602.3416493733724 31.93602498372396 0.7287140571104721 0.9152 0.5099 44
astro_bodies.ppm 2485.9088338216147 54.57062276204427 0.660573142975225 0.8527 0.4369 44
astro_bodies.ppm 2133.6146138509116 57.58138529459635 0.660591214597397 0.8832 0.4786 43
astro_bodies.ppm 1208.0861536661785 42.19577280680339 0.6856945332152544 0.9057 0.5227 43
astro_bodies.ppm 639.6135915120443 34.70760599772136 0.6465991669167576 0.9187 0.5118 44
astro_bodies.ppm 1181.9494756062825 40.238110860188804 0.7211876480650122 0.9033 0.5186 44
astro_bodies.ppm 713.9196090698242 37.08827463785808 0.6914050871996499 0.9143 0.5016 43
astro_bodies.ppm 1292.2488174438477 43.11044057210287 0.7097839338044437 0.8904 0.4993 43
astro_bodies.ppm 903.7111206054688 39.670379638671875 0.6828375148223418 0.9034 0.4946 45
astro_bodies.ppm 606.1146392822266 34.03553263346354 0.6776577088877046 0.9080 0.4881 44
astro_bodies.ppm 593.0177815755209 34.31496175130208 0.7068008333856515 0.9229 0.5166 44
astro_bodies.ppm 1195.968938191732 40.07386271158854 0.717257210113325 0.9043 0.4992 45
astro_bodies.ppm 1341.2389017740884 47.8726806640625 0.6556610915882967 0.9044 0.5122 43
astro_bodies.ppm 843.3029988606771 39.823069254557296 0.674380610251531 0.9121 0.5047 44
astronaut.ppm 389.0451456705729 27.700297037760418 0.7865828701653431 0.9100 0.4525 49
astronaut.ppm 558.2719853719076 32.20967356363932 0.7823445959241283 0.8946 0.4456 49
astronaut.ppm 728.1679916381836 35.07666778564453 0.7708109305139447 0.8889 0.4409 48
astronaut.ppm 386.15949503580725 26.532206217447914 0.8033735096425841 0.9037 0.4358 49
astronaut.ppm 468.2665685017904 29.66712697347005 0.751784544543492 0.9111 0.4571 47
astronaut.ppm 610.0229314168295 33.504224141438804 0.768033019412381 0.9007 0.4649 50
astronaut.ppm 398.8856709798177 27.615437825520836 0.8024014138569414 0.9000 0.4429 48
astronaut.ppm 860.4292475382488 39.34756215413412 0.733954716978421 0.8806 0.4218 49
astronaut.ppm 279.05220286051434 22.930564880371094 0.8232263220468058 0.9344 0.4929 48
astronaut.ppm 349.5530090332031 26.24915568033854 0.7783400284332013 0.9111 0.4731 48
astronaut.ppm 349.8357518513997 25.98829905192057 0.8119139754624771 0.9245 0.4650 49
astronaut.ppm 625.7426147460938 35.16405232747396 0.7041838369736292 0.9082 0.4065 49
astronaut.ppm 643.9528732299805 34.23697153727213 0.7504376610592364 0.9102 0.4629 48
astronaut.ppm 548.743766784668 30.74391428629557 0.7703701394954402 0.8907 0.4501 49
astronaut.ppm 337.83006795247394 25.943827311197914 0.8134702667206998 0.9240 0.4614 49
astronaut.ppm 708.0776596069336 32.71837615966797 0.7744293041953224 0.8946 0.4541 48
astronaut.ppm 614.0749918619791 32.7320302327474 0.8023615778295031 0.8945 0.4544 49
astronaut.ppm 429.81713104248047 26.626645406087242 0.8069649409870266 0.9040 0.4682 50
astronaut.ppm 515.991335550944 30.62646230061849 0.7841604918421862 0.8811 0.4390 48
astronaut.ppm 604.2608795166016 33.468943277994796 0.7555326689432714 0.8915 0.4317 50
balinese_dancer.ppm 226.64920552571613 17.08257548014323 0.8077365255537733 0.9454 0.5009 44
balinese_dancer.ppm 292.13342030843097 21.888094584147137 0.6985607398572334 0.9305 0.4996 44
balinese_dancer.ppm 1056.1830927530925 45.78003692626953 0.5777144873614269 0.9106 0.4764 43
balinese_dancer.ppm 907.8509953816732 37.05665842692057 0.6752901493675822 0.9098 0.4934 44
balinese_dancer.ppm 1411.688196818034 41.53486124674479 0.6784481702601779 0.8997 0.4805 45
balinese_dancer.ppm 2811.222236633301 57.190930684407554 0.6768214022278615 0.8633 0.4496 45
balinese_dancer.ppm 552.5815455118816 29.353574117024742 0.6605151493034424 0.9349 0.5107 44
balinese_dancer.ppm 689.0484186808268 32.31979624430339 0.6864711154869435 0.8906 0.4559 44
balinese_dancer.ppm 463.88708241780597 26.782010396321617 0.6804662991605612 0.9190 0.4868 43
balinese_dancer.ppm 1009.3116505940754 38.80031331380208 0.6270031973331099 0.9014 0.4834 44
balinese_dancer.ppm 1786.7505823771157 46.793642679850265 0.6845775456997205 0.8943 0.4532 43
balinese_dancer.ppm 522.950673421224 28.508590698242188 0.6823544741335684 0.9269 0.5216 44
balinese_dancer.ppm 418.37388865152997 26.18537139892578 0.7033818328995648 0.9238 0.4831 44
balinese_dancer.ppm 283.89894612630206 20.442647298177082 0.7676014289645398 0.9429 0.4949 42
balinese_dancer.ppm 450.6538492838542 28.347407023111977 0.6768089280012725 0.9167 0.4735 45
balinese_dancer.ppm 594.1335169474283 30.915199279785156 0.6751699112966105 0.9252 0.5026 45
balinese_dancer.ppm 291.7699788411458 20.877517700195312 0.7732794839963764 0.9338 0.4936 46
balinese_dancer.ppm 594.1455052693685 29.56250254313151 0.7502080510980605 0.9103 0.4467 43
balinese_dancer.ppm 469.2614084879557 27.507110595703125 0.6911625506141328 0.9315 0.5323 44
balinese_dancer.ppm 548.8633499145508 29.788291931152344 0.6795130755145397 0.9155 0.4779 42
ball_caps.ppm 428.4808883666992 29.12767791748047 0.7821947493028331 0.9013 0.3745 45
ball_caps.ppm 449.1602681477865 30.072779337565102 0.7824837359399214 0.9020 0.3947 44
ball_caps.ppm 352.9431711832682 25.499471028645836 0.7977803678016647 0.9095 0.3837 43
ball_caps.ppm 523.7773361206055 31.502479553222656 0.7633427482901266 0.8976 0.3717 44
ball_caps.ppm 459.1002629597982 29.904014587402344 0.7995002576237668 0.9023 0.3835 44
ball_caps.ppm 469.3159383138021 30.515543619791668 0.7705974077557366 0.8989 0.3677 46
ball_caps.ppm 438.4124984741211 29.37201690673828 0.7812821560918172 0.9033 0.3835 44
ball_caps.ppm 426.57198079427087 28.84538777669271 0.7818267426749186 0.9018 0.3795 44
ball_caps.ppm 462.111338297526 29.136820475260414 0.7734851820478834 0.9053 0.3724 44
ball_caps.ppm 458.1065088907877 29.93067169189453 0.7569657816743333 0.9006 0.3444 45
ball_caps.ppm 473.8650436401367 30.816530863444008 0.7310780733195568 0.8751 0.3206 44
ball_caps.ppm 345.1823603312174 25.91527048746745 0.8177107447772451 0.9114 0.3940 44
ball_caps.ppm 376.94955698649085 26.499717712402344 0.8047133625685802 0.9173 0.3914 44
ball_caps.ppm 457.7304000854492 30.687889099121094 0.766857974649077 0.9121 0.3999 43
ball_caps.ppm 444.6850560506185 30.45796457926432 0.7736621761332821 0.9035 0.4115 45
ball_caps.ppm 476.3361053466797 29.690658569335938 0.8014045559153007 0.9060 0.4167 44
ball_caps.ppm 384.1950022379557 27.210912068684898 0.7938187205215183 0.9016 0.3669 43
