Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1100.8293355305989 42.95569356282552 0.7975006967155385 0.9236 0.4384 7
adirondack_chairs.ppm 1097.3812510172527 42.51006571451823 0.7972536978156041 0.9310 0.4551 7
adirondack_chairs.ppm 1014.9448547363281 42.12193298339844 0.7952839736972607 0.9269 0.4500 7
adirondack_chairs.ppm 1105.037940979004 43.296277364095054 0.787552684380915 0.9194 0.4457 7
adirondack_chairs.ppm 1184.6419982910156 43.36152648925781 0.7902407571150704 0.9096 0.4311 7
adirondack_chairs.ppm 1206.4212849934897 47.65692138671875 0.7644453376746249 0.9034 0.4287 7
adirondack_chairs.ppm 1168.6201756795247 43.90105438232422 0.7870348217403018 0.9201 0.4274 6
adirondack_chairs.ppm 952.0089874267578 40.80824279785156 0.79868220554594 0.9252 0.4556 6
adirondack_chairs.ppm 1083.628568013509 42.77244313557942 0.790209431190561 0.9179 0.4431 8
adirondack_chairs.ppm 982.9690882364908 40.59579213460287 0.8023028293682973 0.9196 0.4455 8
adirondack_chairs.ppm 1100.8047053019206 43.74745432535808 0.8063824916933999 0.9311 0.4581 6
adirondack_chairs.ppm 1016.6252975463867 42.18616485595703 0.8014834001422576 0.9216 0.4564 7
adirondack_chairs.ppm 975.2774149576824 40.97966003417969 0.8105714909513712 0.9287 0.4560 7
adirondack_chairs.ppm 1190.4485931396484 43.4970957438151 0.8057716547919794 0.9226 0.4690 7
adirondack_chairs.ppm 1343.1954854329429 48.62003580729167 0.781128660855298 0.9169 0.4309 7
adirondack_chairs.ppm 1081.2701263427734 42.462148030598954 0.8065358371838669 0.9244 0.4391 8
adirondack_chairs.ppm 923.4788564046223 39.98446146647135 0.810412407618032 0.9235 0.4328 7
adirondack_chairs.ppm 1045.7765833536785 41.5050532023112 0.8026532658290023 0.9218 0.4539 7
adirondack_chairs.ppm 1153.1463216145833 44.419682820638016 0.786307216861229 0.9275 0.4238 8
adirondack_chairs.ppm 1080.5987294514973 41.98374938964844 0.7964417205214481 0.9259 0.4586 7
astro_bodies.ppm 653.3923517862955 31.1607182820638 0.7070029490913575 0.8972 0.4622 7
astro_bodies.ppm 647.9078216552734 31.215713500976562 0.6916987390342454 0.8959 0.4817 7
astro_bodies.ppm 693.3293151855469 31.6068115234375 0.7014836591685959 0.8932 0.4540 7
astro_bodies.ppm 723.0409291585287 32.44613138834635 0.692778442186191 0.8922 0.4576 8
astro_bodies.ppm 759.6769994099935 31.092587788899742 0.750183262669443 0.8977 0.4628 6
astro_bodies.ppm 712.3510004679363 32.23205820719401 0.7030383022614902 0.8843 0.4406 6
astro_bodies.ppm 766.6231257120768 34.679028828938804 0.6287391785285856 0.8899 0.4672 7
astro_bodies.ppm 816.6500269571941 32.050132751464844 0.7572266523969633 0.8812 0.4775 7
astro_bodies.ppm 646.8798116048177 30.28692626953125 0.7110188635020673 0.8954 0.4771 7
astro_bodies.ppm 724.5154596964518 33.24979909261068 0.7047599580019183 0.8899 0.4642 7
astro_bodies.ppm 834.3316090901693 36.86894734700521 0.6184410027716126 0.8733 0.4255 7
astro_bodies.ppm 681.9250106811523 31.810498555501304 0.7026286024227569 0.8887 0.4639 7
astro_bodies.ppm 654.4618581136067 30.509943644205727 0.7121384160424751 0.9006 0.4934 7
astro_bodies.ppm 806.3582255045574 33.182362874348954 0.7183218653357804 0.8898 0.4515 8
