Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 526.0975087483723 30.983001708984375 0.8497343916124619 0.9571 0.5312 14
adirondack_chairs.ppm 497.36694844563806 30.41632588704427 0.8559893841301713 0.9594 0.5402 14
adirondack_chairs.ppm 547.8489303588867 30.826220194498696 0.856817362039985 0.9493 0.5195 14
adirondack_chairs.ppm 528.8355840047201 31.55546315511068 0.8594994548554521 0.9516 0.5259 15
adirondack_chairs.ppm 539.2335052490234 31.921981811523438 0.8473394098987316 0.9526 0.5450 15
adirondack_chairs.ppm 527.7875620524088 30.821517944335938 0.85532603263926 0.9507 0.5363 13
adirondack_chairs.ppm 484.4045384724935 29.63066864013672 0.8620863693571054 0.9569 0.5435 13
adirondack_chairs.ppm 470.15036265055335 29.350374857584637 0.8657306800343164 0.9587 0.5341 14
adirondack_chairs.ppm 460.3926696777344 29.482905069986977 0.8580138469947952 0.9619 0.5506 14
adirondack_chairs.ppm 529.7582372029623 30.712618509928383 0.8606237048935549 0.9588 0.5295 13
adirondack_chairs.ppm 541.2248891194662 31.530695597330727 0.8486839528195539 0.9616 0.5334 14
adirondack_chairs.ppm 649.762929280599 35.01509094238281 0.8307363225587053 0.9504 0.5304 13
adirondack_chairs.ppm 544.1340967814127 31.633018493652344 0.8495370520483196 0.9543 0.5346 14
adirondack_chairs.ppm 521.2568105061849 31.345082600911457 0.8488717608625823 0.9575 0.5356 13
adirondack_chairs.ppm 543.2909495035807 31.051244099934895 0.8544950108525183 0.9531 0.5330 13
adirondack_chairs.ppm 487.09479777018225 29.313634236653648 0.8696326349692535 0.9534 0.5306 13
adirondack_chairs.ppm 562.6935450236003 32.12025705973308 0.8450701981784808 0.9539 0.5248 13
adirondack_chairs.ppm 541.5220286051432 31.660008748372398 0.8508617771075094 0.9535 0.5286 14
adirondack_chairs.ppm 539.6521682739258 31.24700673421224 0.8537534519616498 0.9583 0.5268 14
adirondack_chairs.ppm 575.0209248860677 33.740509033203125 0.8430965051242528 0.9506 0.5313 13
astro_bodies.ppm 341.56910705566406 24.619878133138023 0.69390216589303 0.9343 0.5380 13
astro_bodies.ppm 338.0391565958659 22.49397532145182 0.797580085899272 0.9271 0.5135 14
astro_bodies.ppm 282.1389389038086 21.7624028523763 0.733580605261365 0.9404 0.5425 13
astro_bodies.ppm 418.0110295613607 27.222084045410156 0.6845509475272804 0.9318 0.5311 15
astro_bodies.ppm 390.5423227945963 23.928070068359375 0.7700598358605516 0.9280 0.5165 15
astro_bodies.ppm 423.4691696166992 28.912900288899742 0.6613775965123585 0.9219 0.5136 14
astro_bodies.ppm 385.9168014526367 27.969759623209637 0.6655625584053689 0.9252 0.5251 13
astro_bodies.ppm 304.0316518147787 22.07605489095052 0.7568466217930911 0.9397 0.5551 14
astro_bodies.ppm 404.5543670654297 26.073603312174477 0.6956115107557165 0.9226 0.5173 13
astro_bodies.ppm 462.57277170817054 28.27739715576172 0.6805819409929713 0.9231 0.5079 13
astro_bodies.ppm 335.4948145548503 23.24744923909505 0.7377226663044932 0.9363 0.5429 13
astro_bodies.ppm 327.4438807169596 23.434847513834637 0.7516513266492604 0.9342 0.5289 13
astro_bodies.ppm 431.73299407958984 24.07051340738932 0.7879082684906886 0.9248 0.5201 14
astro_bodies.ppm 370.0909118652344 26.18451944986979 0.6758734597493977 0.9295 0.5308 13
astro_bodies.ppm 371.5073547363281 25.897664388020836 0.7181986100797548 0.9257 0.5179 14
astro_bodies.ppm 400.38614654541016 25.754915873209637 0.7049243612540312 0.9298 0.5202 13
astro_bodies.ppm 410.1577377319336 28.257321675618492 0.6697327181921732 0.9284 0.5275 15
astro_bodies.ppm 407.17276763916016 25.54834747314453 0.7336532095303805 0.9172 0.5023 16
astro_bodies.ppm 359.57065073649085 24.496701558430992 0.7097639618679169 0.9269 0.5199 14
astro_bodies.ppm 299.8070983886719 19.914652506510418 0.8473775973045621 0.9381 0.5483 14
astronaut.ppm 227.6609344482422 20.270914713541664 0.8394349404293515 0.9313 0.4674 14
astronaut.ppm 289.4934870402018 22.546775817871094 0.8193095140397579 0.9217 0.4667 14
astronaut.ppm 348.85605112711585 25.682955423990887 0.8022086779385106 0.8922 0.4160 13
astronaut.ppm 277.1922429402669 22.8274408976237 0.8156454072551124 0.9200 0.4525 14
astronaut.ppm 294.0864079793294 23.31868235270182 0.8339495263137126 0.9261 0.4837 14
astronaut.ppm 322.39749908447266 24.14006805419922 0.822346660462781 0.9118 0.4517 14
astronaut.ppm 360.43589782714844 26.266499837239586 0.7925641727318044 0.9064 0.4448 14
astronaut.ppm 281.8376057942708 23.174458821614582 0.8139813316312509 0.9214 0.4589 15
astronaut.ppm 300.0109456380208 23.860382080078125 0.8099071578266184 0.9265 0.4710 13
astronaut.ppm 375.4828414916992 27.543739318847656 0.7829233006199142 0.9276 0.4712 13
astronaut.ppm 384.49735768636066 27.521303812662758 0.7775720799423094 0.9281 0.4834 13
astronaut.ppm 292.6332372029622 23.12638600667318 0.8234582420125491 0.9267 0.4772 14
astronaut.ppm 318.55346425374347 25.01188405354818 0.8237199915713536 0.9166 0.4674 14
astronaut.ppm 294.27489217122394 23.402186075846355 0.7940835839297948 0.9256 0.4606 13
astronaut.ppm 399.926394144694 27.524559020996094 0.7940924215631613 0.8879 0.4105 14
astronaut.ppm 246.61255137125653 20.70085906982422 0.8383348174486143 0.9220 0.4738 14
astronaut.ppm 280.77702585856116 22.70861562093099 0.8207374929944944 0.9152 0.4464 13
astronaut.ppm 273.33055369059247 22.741727193196617 0.8162305223717081 0.9298 0.4852 13
astronaut.ppm 335.34488677978516 25.160336812337242 0.8140215228806932 0.9222 0.4802 15
astronaut.ppm 357.4459533691406 26.013493855794273 0.7866977757581392 0.9025 0.4692 14
balinese_dancer.ppm 199.2655741373698 15.203481038411459 0.83541700008979 0.9521 0.5373 13
balinese_dancer.ppm 258.4089558919271 18.443028767903648 0.7767356569947217 0.9311 0.4781 13
balinese_dancer.ppm 183.24933115641275 13.288398742675781 0.8909612237582124 0.9565 0.5418 14
balinese_dancer.ppm 233.2268575032552 17.08471171061198 0.7987342914555935 0.9464 0.5083 14
balinese_dancer.ppm 212.95167032877603 16.813756306966148 0.7962136237782955 0.9449 0.5178 13
balinese_dancer.ppm 207.2618459065755 15.161936442057293 0.8552406281918574 0.9579 0.5402 14
balinese_dancer.ppm 237.77005004882812 17.44787089029948 0.7686048451979043 0.9545 0.5170 14
balinese_dancer.ppm 215.45218404134116 16.267308553059895 0.8086279771525254 0.9510 0.5165 14
balinese_dancer.ppm 215.8995183308919 14.887667338053387 0.8768123924386148 0.9492 0.5108 15
balinese_dancer.ppm 236.41700744628906 16.16187032063802 0.8467348216523671 0.9523 0.5230 14
balinese_dancer.ppm 241.8703155517578 16.83501688639323 0.8302706902729439 0.9485 0.5129 13
balinese_dancer.ppm 220.52156321207684 18.614967346191406 0.6582589684370669 0.9535 0.5297 13
balinese_dancer.ppm 276.45353953043616 21.051353454589844 0.6608702450975249 0.9424 0.5031 14
balinese_dancer.ppm 206.75700124104816 16.450304667154946 0.8130877083954188 0.9551 0.5283 13
balinese_dancer.ppm 268.56602732340497 17.966245015462242 0.8085229536496681 0.9360 0.4985 13
balinese_dancer.ppm 211.39157104492188 14.823644002278645 0.8829541796422878 0.9426 0.5103 14
balinese_dancer.ppm 235.03210957845053 17.308400472005207 0.78178917680053 0.9446 0.5068 13
balinese_dancer.ppm 236.59625752766925 15.92547607421875 0.8591667710275331 0.9465 0.5066 13
balinese_dancer.ppm 228.36339060465497 18.729815165201824 0.7329081774798162 0.9499 0.5376 14
balinese_dancer.ppm 257.23420969645184 18.33033498128255 0.796756824512424 0.9459 0.5117 13
ball_caps.ppm 318.6200358072917 23.302098592122398 0.8286850708745037 0.9172 0.4079 13
