Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 464.63049825032556 28.425811767578125 0.8771089382704543 0.9609 0.5713 32
adirondack_chairs.ppm 392.95456949869794 26.694025675455727 0.8901249041040341 0.9663 0.5883 30
adirondack_chairs.ppm 433.5276514689128 27.210914611816406 0.8865942019239258 0.9632 0.5731 30
adirondack_chairs.ppm 463.0709813435872 27.829404195149742 0.8865366957036995 0.9655 0.5769 30
adirondack_chairs.ppm 398.5863622029622 26.643384297688804 0.8832621089650242 0.9647 0.5920 31
adirondack_chairs.ppm 552.5161031087239 29.437327067057293 0.8870888467833442 0.9605 0.5709 31
adirondack_chairs.ppm 434.92259470621747 27.759076436360676 0.884983099746009 0.9684 0.5807 30
adirondack_chairs.ppm 386.61197662353516 25.89227040608724 0.8909609363018877 0.9631 0.5794 30
adirondack_chairs.ppm 489.00868225097656 29.69023640950521 0.8686096233765839 0.9595 0.5832 31
adirondack_chairs.ppm 371.3419443766276 26.082804361979164 0.8878751099782397 0.9642 0.5815 32
adirondack_chairs.ppm 468.5118306477865 28.242401123046875 0.8785015873442279 0.9675 0.5855 40
adirondack_chairs.ppm 360.66290791829425 24.857803344726562 0.8996162136875331 0.9663 0.5948 30
adirondack_chairs.ppm 406.33867390950525 26.661163330078125 0.8901579550698314 0.9660 0.5657 31
adirondack_chairs.ppm 435.30281829833984 27.347638448079426 0.8902156254604604 0.9610 0.5627 30
adirondack_chairs.ppm 403.1637242635091 26.25822194417318 0.8865619282554351 0.9647 0.5877 31
adirondack_chairs.ppm 451.16317494710285 27.459780375162758 0.8899055983459409 0.9615 0.5799 31
adirondack_chairs.ppm 420.78657786051434 25.939160664876304 0.8926910760702554 0.9641 0.5836 31
adirondack_chairs.ppm 357.3681640625 25.364395141601562 0.8898853723697823 0.9663 0.5708 31
adirondack_chairs.ppm 372.8844985961914 26.01519012451172 0.8878766443056548 0.9672 0.5757 31
adirondack_chairs.ppm 417.0072326660156 26.605422973632812 0.8939081667968272 0.9656 0.5862 31
astro_bodies.ppm 428.0993092854818 23.122034708658855 0.8618422330747233 0.9419 0.5504 30
astro_bodies.ppm 463.37540690104163 25.026957194010418 0.836786081598202 0.9227 0.5071 31
astro_bodies.ppm 351.9753595987956 21.141695658365883 0.8702965741892021 0.9337 0.5617 30
astro_bodies.ppm 366.1446711222331 22.02723439534505 0.855915857620038 0.9394 0.5404 32
astro_bodies.ppm 344.4235534667969 21.61163838704427 0.8579470405351343 0.9419 0.5580 40
astro_bodies.ppm 365.77247619628906 21.300562540690102 0.8718585423104835 0.9428 0.5450 30
astro_bodies.ppm 428.10500081380206 23.64465840657552 0.8545595447136156 0.9262 0.5252 32
astro_bodies.ppm 302.4421590169271 19.369471232096355 0.8752745661234723 0.9425 0.5601 31
astro_bodies.ppm 390.6095530192057 21.04956563313802 0.864725096413354 0.9404 0.5578 40
astro_bodies.ppm 341.75048319498694 19.46965535481771 0.8830396513824622 0.9371 0.5474 30
astro_bodies.ppm 424.2897160847982 23.616147359212242 0.8443968352771826 0.9340 0.5304 31
astro_bodies.ppm 396.1132685343424 21.802696228027344 0.8588038484991776 0.9359 0.5425 41
astro_bodies.ppm 344.715815226237 20.385904947916664 0.8792360279388852 0.9452 0.5573 31
astro_bodies.ppm 498.80784352620446 24.196688334147137 0.849621362577787 0.9293 0.5282 30
astro_bodies.ppm 464.20044708251953 24.531293233235676 0.8502502843821063 0.9128 0.4999 29
astro_bodies.ppm 413.3623326619466 22.98560841878255 0.8564781687375769 0.9342 0.5544 40
astro_bodies.ppm 507.9408289591471 23.84801483154297 0.8639063819811943 0.9384 0.5571 31
astro_bodies.ppm 396.5600891113281 22.405069986979168 0.8468498001299657 0.9299 0.5313 31
astro_bodies.ppm 420.7791086832682 22.24486796061198 0.8734814972113915 0.9362 0.5366 30
astro_bodies.ppm 527.4003245035807 25.5941162109375 0.84404888567492 0.9196 0.5136 30
astronaut.ppm 289.5381724039714 23.516591389973957 0.8428279821972801 0.9351 0.5349 31
astronaut.ppm 417.3202260335286 26.377904256184898 0.8433859858015839 0.9180 0.4942 31
astronaut.ppm 287.3231913248698 22.845342000325523 0.8627825755926325 0.9411 0.5385 30
astronaut.ppm 306.50948333740234 22.008689880371094 0.8603957126678164 0.9317 0.5065 30
astronaut.ppm 825.5265833536783 36.26593271891276 0.8209757100436702 0.8954 0.5075 40
astronaut.ppm 385.74905141194665 25.17439524332682 0.8496994940073094 0.9252 0.5273 41
astronaut.ppm 344.3451156616211 24.50609079996745 0.8553419500753917 0.9370 0.5222 41
astronaut.ppm 342.7580337524414 25.205935160319008 0.8375077777768091 0.9257 0.5121 36
