Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 973.3585968017578 39.01481628417969 0.8419030580982133 0.9387 0.4980 33
adirondack_chairs.ppm 944.397466023763 40.41131083170573 0.8156904861242927 0.9202 0.4454 33
adirondack_chairs.ppm 853.519541422526 38.035054524739586 0.8428348207874664 0.9389 0.4948 33
adirondack_chairs.ppm 948.7982330322266 39.50142923990885 0.831819511120074 0.9323 0.4796 32
adirondack_chairs.ppm 993.3734868367512 39.96434783935547 0.8211980233454875 0.9065 0.4505 33
adirondack_chairs.ppm 886.6009012858074 39.10982767740886 0.8308115157442971 0.9362 0.4747 32
adirondack_chairs.ppm 871.5726216634114 37.225189208984375 0.8450150398929753 0.9388 0.4826 33
adirondack_chairs.ppm 842.8366368611653 38.115475972493485 0.8334551818365594 0.9382 0.4784 32
adirondack_chairs.ppm 847.1664403279622 38.22792307535808 0.8272106502300703 0.9387 0.4894 33
adirondack_chairs.ppm 859.3848215738932 38.591888427734375 0.8323859381597293 0.9366 0.4750 33
adirondack_chairs.ppm 808.1571019490559 36.99258677164713 0.8363869109560994 0.9393 0.4787 32
adirondack_chairs.ppm 994.921755472819 40.909914652506515 0.8203364051075647 0.9295 0.4723 32
adirondack_chairs.ppm 852.3555323282878 39.182945251464844 0.8411346158924348 0.9397 0.4988 32
adirondack_chairs.ppm 982.7620035807292 40.12592061360677 0.8322245125058996 0.9308 0.4759 32
adirondack_chairs.ppm 918.5362650553385 40.09615071614583 0.8331635316274489 0.9403 0.4899 33
adirondack_chairs.ppm 1047.3342208862305 41.854749043782554 0.8200677506917673 0.9385 0.5059 32
adirondack_chairs.ppm 993.7540918986002 41.23891957600912 0.8159919029560002 0.9186 0.4719 32
adirondack_chairs.ppm 908.3903554280599 39.81504821777344 0.8309385369524812 0.9405 0.4907 33
adirondack_chairs.ppm 798.923823038737 37.60406494140625 0.8442081173065726 0.9450 0.4930 32
adirondack_chairs.ppm 882.1519165039062 38.22268168131511 0.8315988198094706 0.9387 0.4907 32
astro_bodies.ppm 484.16774241129554 24.725929260253906 0.8396876338351192 0.9005 0.4916 32
astro_bodies.ppm 519.0445887247722 25.57377370198568 0.8559375307449179 0.9152 0.4790 32
astro_bodies.ppm 1194.516118367513 40.21539306640625 0.7609575265157126 0.8701 0.4073 33
astro_bodies.ppm 1448.9545033772788 42.89757792154948 0.7488516870889951 0.8684 0.4188 33
astro_bodies.ppm 836.140734354655 32.0952631632487 0.7936496973321069 0.8820 0.4406 32
astro_bodies.ppm 1285.2948328653972 40.64099884033203 0.7714911466914159 0.8714 0.4231 33
astro_bodies.ppm 515.7130355834961 25.73010508219401 0.8469375371804411 0.9164 0.5023 32
astro_bodies.ppm 631.4588063557943 28.131454467773438 0.8258649472794742 0.8975 0.4639 32
astro_bodies.ppm 616.027239481608 26.44147491455078 0.8434864760367229 0.9107 0.5111 32
astro_bodies.ppm 1113.5183410644531 38.452204386393234 0.7579819183604665 0.8710 0.4010 32
astro_bodies.ppm 1164.7500432332356 39.249366760253906 0.7862203125973727 0.8810 0.4416 31
astro_bodies.ppm 473.57776641845703 23.886258443196613 0.8497472053587658 0.9147 0.5098 33
astro_bodies.ppm 538.2615737915039 26.527692159016926 0.8284399787263647 0.9052 0.4691 32
astro_bodies.ppm 785.5481643676758 31.577964782714844 0.8128408621947464 0.8843 0.4420 32
astro_bodies.ppm 864.1243235270182 33.7964833577474 0.7816858578271962 0.8752 0.4392 33
astro_bodies.ppm 668.1943232218424 29.053347269694008 0.8239559973868991 0.8948 0.4501 32
astro_bodies.ppm 1057.6149317423503 38.422462463378906 0.7686097117929801 0.8775 0.4347 32
astro_bodies.ppm 567.6333618164062 25.858856201171875 0.8417149742349045 0.9037 0.4795 31
astro_bodies.ppm 624.1220855712891 28.104751586914062 0.8201242458393364 0.8987 0.4803 31
astro_bodies.ppm 1123.645517985026 37.601267496744796 0.7997553581935616 0.8702 0.4149 32
astronaut.ppm 747.2542673746746 35.006459554036454 0.7861776639818201 0.8780 0.3905 38
astronaut.ppm 611.7259521484375 30.00946553548177 0.7798493691270453 0.8645 0.3837 37
astronaut.ppm 387.94605000813806 25.898539225260418 0.8084960905748385 0.8879 0.4184 36
astronaut.ppm 580.3786926269531 31.948267618815102 0.7997275883862368 0.8759 0.4170 37
astronaut.ppm 415.00656382242835 27.421902974446617 0.7994152350280359 0.8833 0.4218 35
astronaut.ppm 401.6007843017578 25.65148417154948 0.8113121904824414 0.8940 0.3988 35
astronaut.ppm 385.1747741699219 25.29552714029948 0.8175552196975765 0.8983 0.4154 36
astronaut.ppm 552.2006657918295 30.729489644368492 0.7781725367849665 0.8671 0.3953 35
astronaut.ppm 464.7560246785482 28.91101328531901 0.7944318382705005 0.8748 0.4079 38
astronaut.ppm 405.1046905517578 26.152201334635414 0.8060396099116408 0.9040 0.4347 37
astronaut.ppm 317.5236587524414 23.57495371500651 0.8324927477763446 0.9116 0.4538 36
astronaut.ppm 427.39476267496747 27.46887461344401 0.8047951351112519 0.8839 0.4071 36
astronaut.ppm 571.1869099934895 30.68853759765625 0.7882506814185231 0.8700 0.3881 34
astronaut.ppm 539.3758773803711 29.86084747314453 0.7934360282414809 0.8661 0.3850 35
astronaut.ppm 494.1218897501627 28.782961527506508 0.8124196752176122 0.8849 0.4202 38
astronaut.ppm 596.9295781453451 31.748156229654946 0.7956320311755481 0.8866 0.4327 37
astronaut.ppm 664.4558258056641 32.859334309895836 0.7903335386120913 0.8739 0.4186 35
astronaut.ppm 394.0191955566406 25.65484619140625 0.8190378685050371 0.8991 0.4348 38
astronaut.ppm 413.74886067708337 25.96100362141927 0.8262849727121456 0.8977 0.4255 37
astronaut.ppm 393.40752665201825 25.844212849934898 0.8056790897639431 0.8920 0.4090 35
balinese_dancer.ppm 806.0264078776042 33.30157470703125 0.7052430950184004 0.8987 0.4192 33
balinese_dancer.ppm 479.83339182535804 22.05909983317057 0.7704656232987802 0.9248 0.4577 31
balinese_dancer.ppm 577.9848454793295 22.0466791788737 0.8403281989891273 0.8794 0.3700 32
balinese_dancer.ppm 1085.262321472168 38.37475840250651 0.6953293150265122 0.8818 0.4173 32
balinese_dancer.ppm 1125.1041615804036 45.36005655924479 0.5690458527267145 0.8981 0.4484 32
balinese_dancer.ppm 496.35512797037757 20.08012898763021 0.8610253163596514 0.9200 0.4495 32
balinese_dancer.ppm 462.6470616658529 22.639437357584637 0.7751951191976848 0.9105 0.4319 32
balinese_dancer.ppm 933.8638280232748 37.139610290527344 0.6181742955706241 0.8839 0.3873 33
balinese_dancer.ppm 530.0071309407551 24.172698974609375 0.7549098894346274 0.9030 0.4253 32
balinese_dancer.ppm 810.1337178548177 32.777852376302086 0.7066033470319252 0.8970 0.4319 32
balinese_dancer.ppm 767.6457239786783 36.200060526529946 0.5881069928205012 0.9000 0.4297 32
balinese_dancer.ppm 517.2297439575195 20.25196075439453 0.8633051529604004 0.9075 0.4318 33
balinese_dancer.ppm 335.6235936482748 17.078168233235676 0.8813886202306834 0.9218 0.4586 32
balinese_dancer.ppm 483.9729919433594 21.232747395833332 0.8342102912948682 0.9011 0.4120 32
balinese_dancer.ppm 1610.6233876546223 54.529230753580734 0.5489802221623893 0.8693 0.4149 32
balinese_dancer.ppm 500.3874206542969 25.284693400065102 0.7254989783107383 0.9100 0.4315 31
balinese_dancer.ppm 414.6344299316406 20.39753214518229 0.8013649879957634 0.9119 0.4280 32
balinese_dancer.ppm 715.4591318766276 31.23217264811198 0.7083890828760923 0.8978 0.4380 31
balinese_dancer.ppm 572.8660558064778 25.200731913248696 0.734576268524812 0.9052 0.4165 32
balinese_dancer.ppm 508.9261296590169 23.93116505940755 0.7626126972357142 0.8967 0.4213 31
