Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 493.16037241617835 30.972994486490883 0.8500427804682893 0.9578 0.5500 21
adirondack_chairs.ppm 588.3844833374023 33.56372833251953 0.8438816741794808 0.9490 0.5212 19
adirondack_chairs.ppm 542.1003875732422 31.787740071614582 0.8475034677820928 0.9506 0.5267 20
adirondack_chairs.ppm 539.8589452107748 31.892697652180992 0.8441734711834444 0.9599 0.5472 20
adirondack_chairs.ppm 598.6232986450195 33.65147145589193 0.8347236111737774 0.9504 0.5163 19
adirondack_chairs.ppm 542.1397323608398 32.420519510904946 0.8402368053669642 0.9501 0.5173 20
adirondack_chairs.ppm 520.3615315755209 31.92913818359375 0.8472413982522341 0.9503 0.5282 21
adirondack_chairs.ppm 626.4782562255859 34.05709330240885 0.8352954759976713 0.9401 0.5138 21
adirondack_chairs.ppm 533.187764485677 33.112370808919266 0.840889311555308 0.9514 0.5351 19
adirondack_chairs.ppm 542.8251673380533 32.30484263102213 0.8493047377140313 0.9558 0.5456 20
adirondack_chairs.ppm 480.46877797444665 29.9317143758138 0.8556150673622561 0.9583 0.5335 21
adirondack_chairs.ppm 556.2287750244141 32.97331746419271 0.8402950234663717 0.9537 0.5315 20
adirondack_chairs.ppm 501.71686808268225 31.098093668619793 0.8459234340705013 0.9604 0.5541 21
adirondack_chairs.ppm 582.9443868001301 33.08649698893229 0.8414102203031039 0.9567 0.5397 20
adirondack_chairs.ppm 477.2684199015299 30.556546529134117 0.8567526546065379 0.9605 0.5518 22
adirondack_chairs.ppm 550.4587554931641 32.198944091796875 0.8515907746831873 0.9525 0.5336 20
adirondack_chairs.ppm 573.438850402832 33.47776540120443 0.8372300982617372 0.9505 0.5281 21
adirondack_chairs.ppm 601.8633143107096 33.511512756347656 0.8356964902197072 0.9474 0.5258 20
adirondack_chairs.ppm 574.4307301839193 33.307861328125 0.8439299465950344 0.9572 0.5432 22
adirondack_chairs.ppm 485.8242543538412 30.707717895507812 0.8532826459967248 0.9595 0.5401 20
astro_bodies.ppm 375.8112208048503 23.235018412272137 0.7881412220099362 0.9282 0.5186 21
astro_bodies.ppm 316.763188680013 20.827799479166668 0.8070170992079732 0.9256 0.5278 19
astro_bodies.ppm 390.25893910725915 23.936566670735676 0.7986191771171814 0.9283 0.5135 20
astro_bodies.ppm 432.51747639973956 27.52234903971354 0.7004537996028549 0.9253 0.5158 22
astro_bodies.ppm 386.80605570475257 27.519129435221352 0.7084496350196803 0.9321 0.5260 20
astro_bodies.ppm 482.682871500651 29.58183797200521 0.6599807899591058 0.9284 0.5322 19
astro_bodies.ppm 435.3474655151367 28.083722432454426 0.6636459123161454 0.9323 0.5262 21
astro_bodies.ppm 346.30755106608075 20.33673604329427 0.8486408480318793 0.9334 0.5491 20
astro_bodies.ppm 364.77180989583337 23.748341878255207 0.7926893297509355 0.9293 0.5133 20
astro_bodies.ppm 439.46233113606775 27.410090128580727 0.7198195077645394 0.9353 0.5477 21
astro_bodies.ppm 494.27455647786456 31.479222615559898 0.6448158079760865 0.9226 0.5250 19
astro_bodies.ppm 380.44493865966797 25.188489278157554 0.7367416548678095 0.9349 0.5394 21
astro_bodies.ppm 423.383799235026 28.002772013346352 0.7024961923971972 0.9261 0.5290 23
astro_bodies.ppm 403.53729248046875 25.12989298502604 0.7858997420373656 0.9348 0.5372 20
astro_bodies.ppm 543.2938232421875 32.9015858968099 0.6885518527268094 0.9220 0.5210 21
astro_bodies.ppm 411.29320526123047 26.792091369628906 0.7286662043969651 0.9295 0.5194 21
astro_bodies.ppm 496.90940348307294 31.61089070638021 0.644559856654582 0.9114 0.4684 20
astro_bodies.ppm 371.7285130818685 22.041964213053387 0.8533490434647358 0.9413 0.5614 20
astro_bodies.ppm 332.5880025227865 23.652170817057293 0.7450962064664219 0.9353 0.5441 20
astro_bodies.ppm 447.9937311808268 27.42005666097005 0.6747167056604714 0.9209 0.5134 23
astronaut.ppm 289.10302734375 23.942591349283852 0.821917262573868 0.9138 0.4405 21
astronaut.ppm 368.3896789550781 25.880599975585938 0.8137506565942392 0.9235 0.4684 23
astronaut.ppm 343.5423634847005 26.140914916992188 0.801147123509315 0.8931 0.4355 19
