Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 605.4884592692057 32.949320475260414 0.8487132528803212 0.9522 0.5336 32
adirondack_chairs.ppm 552.763786315918 32.31534067789713 0.8547195622921621 0.9577 0.5407 30
adirondack_chairs.ppm 582.1055170694988 33.419776916503906 0.8391745732658248 0.9588 0.5416 30
adirondack_chairs.ppm 554.9596608479818 32.10219828287761 0.8483098594761556 0.9560 0.5304 31
adirondack_chairs.ppm 586.3785629272461 32.773989359537765 0.839523614463789 0.9490 0.5253 31
adirondack_chairs.ppm 562.601712544759 32.608629862467446 0.8512024174403542 0.9576 0.5389 31
adirondack_chairs.ppm 521.541628519694 31.83821360270182 0.8496539195607546 0.9559 0.5433 38
adirondack_chairs.ppm 514.1249542236328 31.22584025065104 0.8565960949717484 0.9546 0.5374 31
adirondack_chairs.ppm 512.9007288614908 30.965990702311196 0.8524308871059852 0.9573 0.5442 31
adirondack_chairs.ppm 491.9328308105469 30.660654703776043 0.8520318568811011 0.9571 0.5383 30
adirondack_chairs.ppm 656.8711344401041 33.13080851236979 0.8515648522027836 0.9538 0.5376 32
adirondack_chairs.ppm 627.2678044637045 33.43126678466797 0.8458573339700144 0.9473 0.5287 38
adirondack_chairs.ppm 651.0583953857422 35.145487467447914 0.8316769627473622 0.9533 0.5345 30
adirondack_chairs.ppm 505.14230855305993 30.269159952799477 0.8555316057185189 0.9569 0.5310 30
adirondack_chairs.ppm 574.4157231648762 32.5318120320638 0.8410802177091914 0.9559 0.5549 31
adirondack_chairs.ppm 587.344980875651 34.11917622884114 0.8318573712541281 0.9535 0.5359 34
adirondack_chairs.ppm 542.4181874593099 31.695673624674477 0.8500290137927758 0.9528 0.5349 41
adirondack_chairs.ppm 574.7303848266602 32.538597106933594 0.8402819815049382 0.9487 0.4975 31
adirondack_chairs.ppm 482.03047943115234 30.05687713623047 0.8627490526843179 0.9609 0.5451 32
adirondack_chairs.ppm 528.7007649739583 31.121251424153648 0.8492938908037478 0.9552 0.5430 30
astro_bodies.ppm 409.7961934407552 22.698654174804688 0.8490065203190955 0.9232 0.5203 30
astro_bodies.ppm 1071.5989557902017 35.60548655192058 0.7881070654351262 0.9157 0.5442 30
astro_bodies.ppm 1876.2705307006836 45.250612894694015 0.7554453327796603 0.8857 0.4953 30
astro_bodies.ppm 361.9160741170248 20.985796610514324 0.8614846220478194 0.9423 0.5580 30
astro_bodies.ppm 734.257708231608 32.529553731282554 0.7750039850286203 0.9183 0.5281 30
astro_bodies.ppm 494.36649322509766 22.887041727701824 0.848335243049835 0.9292 0.5222 40
astro_bodies.ppm 347.85412089029944 21.443634033203125 0.8640881556613293 0.9336 0.5271 31
astro_bodies.ppm 1399.8900400797527 38.804951985677086 0.7662920987821197 0.8850 0.4903 32
astro_bodies.ppm 1216.5693232218423 40.19281260172526 0.7584818567624945 0.8930 0.5030 30
astro_bodies.ppm 567.9161478678386 26.684794108072918 0.8443362955169343 0.9208 0.5138 31
astro_bodies.ppm 643.1184260050455 30.493649800618492 0.7825950308893065 0.9225 0.5585 31
astro_bodies.ppm 1520.262301127116 48.576988220214844 0.6975671891792325 0.9088 0.5474 30
astro_bodies.ppm 562.9325536092123 25.42877960205078 0.8428113738403997 0.9261 0.5169 31
