Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1008.3316345214844 43.32562255859375 0.7915297400124731 0.9306 0.4645 36
adirondack_chairs.ppm 815.4659652709961 38.77772267659505 0.8180725804593182 0.9376 0.4965 35
adirondack_chairs.ppm 771.6163686116536 37.4608408610026 0.8228279020260972 0.9429 0.4874 36
adirondack_chairs.ppm 801.9323323567709 38.50811258951823 0.8198379975326274 0.9395 0.4893 37
adirondack_chairs.ppm 805.8704223632812 39.04016621907552 0.8148111450515657 0.9406 0.4766 36
adirondack_chairs.ppm 907.7392400105794 40.09960174560547 0.8075808941715459 0.9283 0.4580 36
adirondack_chairs.ppm 838.2597478230795 39.307909647623696 0.8081523201509584 0.9331 0.4674 35
adirondack_chairs.ppm 777.8252410888672 38.15876770019531 0.8218884919222439 0.9411 0.4962 35
adirondack_chairs.ppm 849.5634078979492 39.800437927246094 0.8198417082896866 0.9406 0.4737 36
adirondack_chairs.ppm 966.6274795532227 40.89318084716797 0.8054061884124817 0.9243 0.4794 36
adirondack_chairs.ppm 796.3323542277019 38.41547393798828 0.8168677450748317 0.9481 0.4941 36
adirondack_chairs.ppm 796.3170649210613 38.28893280029297 0.8225246157235123 0.9433 0.4937 35
adirondack_chairs.ppm 1000.0930455525715 42.73131561279297 0.7946804487884047 0.9361 0.4790 35
adirondack_chairs.ppm 928.7067947387695 40.42102813720703 0.808372323711329 0.9260 0.4621 35
adirondack_chairs.ppm 945.5099334716797 42.184295654296875 0.7965105069827273 0.9313 0.4738 36
adirondack_chairs.ppm 872.2014567057292 39.5102284749349 0.8198381209861983 0.9286 0.4734 34
adirondack_chairs.ppm 744.6251195271809 37.80819447835287 0.8120244764283804 0.9342 0.4677 36
adirondack_chairs.ppm 860.7746938069662 40.6097412109375 0.7955888465742635 0.9217 0.4703 36
adirondack_chairs.ppm 792.9232457478842 38.61584726969401 0.8151482745130161 0.9384 0.4837 37
adirondack_chairs.ppm 822.2561721801758 38.53541819254557 0.822846857132557 0.9382 0.4735 36
astro_bodies.ppm 456.4143829345703 24.240117390950523 0.8448768464458524 0.9289 0.5315 35
astro_bodies.ppm 542.8078918457031 27.224395751953125 0.8002719886621982 0.9202 0.4870 36
astro_bodies.ppm 1238.5552800496419 42.72018178304037 0.7202957716865006 0.8689 0.4484 36
astro_bodies.ppm 1153.5908915201824 42.2526601155599 0.7378816090703904 0.8825 0.4736 35
astro_bodies.ppm 2173.6101659139 56.00100453694661 0.6282860418994306 0.8595 0.4514 35
astro_bodies.ppm 1382.2075856526692 46.40849812825521 0.6564735394692026 0.8819 0.4666 35
