Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 691.0629628499349 33.99824523925781 0.8377894967419871 0.9476 0.5036 12
adirondack_chairs.ppm 697.4983444213867 33.013659159342446 0.8516846223108132 0.9468 0.4949 14
adirondack_chairs.ppm 694.6435063680012 34.23050181070964 0.8413558786855555 0.9478 0.5206 12
adirondack_chairs.ppm 701.2665863037109 33.936091105143234 0.827264073281501 0.9523 0.4937 12
adirondack_chairs.ppm 707.7060139973959 33.93405659993489 0.8508232891165767 0.9517 0.5000 12
adirondack_chairs.ppm 651.0014139811198 33.423675537109375 0.8465542620097066 0.9533 0.5110 13
adirondack_chairs.ppm 542.1247940063477 30.436002095540367 0.8707219679734396 0.9552 0.5073 12
adirondack_chairs.ppm 799.2850087483723 37.47296651204427 0.8192878746580895 0.9364 0.4720 12
adirondack_chairs.ppm 775.6794560750325 35.263242085774735 0.8418940684611159 0.9445 0.4840 11
adirondack_chairs.ppm 602.3286616007487 33.19961293538412 0.8475058165870771 0.9515 0.5086 12
adirondack_chairs.ppm 643.4397735595703 33.18989562988281 0.8463559804259306 0.9536 0.5160 13
adirondack_chairs.ppm 685.7737019856771 33.807439168294266 0.8466080757054014 0.9497 0.5095 13
adirondack_chairs.ppm 631.2014389038086 32.470583597819015 0.8497870024626724 0.9496 0.5058 12
adirondack_chairs.ppm 777.7865956624348 36.767486572265625 0.8264506853775179 0.9445 0.4970 13
adirondack_chairs.ppm 684.7694396972656 33.84312947591146 0.8190340175147991 0.9502 0.4907 13
adirondack_chairs.ppm 659.4490763346354 33.327962239583336 0.8365454523553933 0.9532 0.5110 13
adirondack_chairs.ppm 712.4272689819336 34.255577087402344 0.8427525108837784 0.9452 0.5067 12
adirondack_chairs.ppm 693.2101999918619 33.739186604817704 0.8553832523893611 0.9508 0.5149 12
adirondack_chairs.ppm 641.6578776041666 32.8224843343099 0.852105634070313 0.9519 0.4984 12
adirondack_chairs.ppm 676.4078470865885 33.000310262044266 0.8666480273726385 0.9460 0.5123 13
astro_bodies.ppm 445.5332539876302 23.961476643880207 0.8376698919926016 0.9054 0.4707 12
astro_bodies.ppm 508.03409067789715 26.25694020589193 0.7958583599520304 0.9107 0.4816 12
astro_bodies.ppm 477.61328125 25.139541625976562 0.8292302754016841 0.9050 0.4691 11
astro_bodies.ppm 586.5065231323242 26.71977996826172 0.8240498337936591 0.9094 0.4786 13
astro_bodies.ppm 480.4272893269857 25.01875559488932 0.8342669738244632 0.9139 0.4837 12
astro_bodies.ppm 494.1888097127279 24.753634134928383 0.8303885785752115 0.9094 0.4799 12
astro_bodies.ppm 526.4856236775715 26.01011912027995 0.8236640704019663 0.9144 0.4945 13
astro_bodies.ppm 658.9028727213541 28.891866048177086 0.7946205678507422 0.8933 0.4715 13
astro_bodies.ppm 451.38048807779944 24.00542195638021 0.8443103198848229 0.9200 0.4988 13
astro_bodies.ppm 496.84357961018884 24.976504007975258 0.8223420879503096 0.9044 0.4723 13
astro_bodies.ppm 472.5341567993164 24.55936940511068 0.8411619823454509 0.9197 0.4969 12
astro_bodies.ppm 526.039540608724 26.48241170247396 0.8275688982747521 0.9045 0.4689 12
astro_bodies.ppm 464.59522247314453 24.574373881022133 0.8285687928964395 0.9207 0.5291 12
astro_bodies.ppm 503.4454040527344 25.34388224283854 0.8343357068576503 0.9117 0.4863 12
astro_bodies.ppm 427.96875762939453 22.85792287190755 0.8510899831469403 0.9192 0.4925 11
astro_bodies.ppm 436.10384877522785 24.469998677571613 0.7939818799665034 0.9181 0.4961 12
astro_bodies.ppm 570.8667526245117 27.40862274169922 0.8132767484776763 0.9080 0.4829 13
astro_bodies.ppm 450.47504170735675 23.9796142578125 0.8226480091423108 0.9191 0.5057 13
astro_bodies.ppm 461.4974670410156 24.242314656575523 0.8406597992507189 0.9135 0.5035 12
astro_bodies.ppm 518.0851414998373 25.433311462402344 0.8268348618427005 0.9148 0.4897 12
astronaut.ppm 558.6964416503906 30.563573201497398 0.7549922722171994 0.8981 0.4119 13
astronaut.ppm 432.76865641276044 27.675684611002602 0.8093255656811672 0.8914 0.4288 12
astronaut.ppm 354.36381785074866 25.59876251220703 0.8153235122064801 0.9045 0.4388 12
astronaut.ppm 386.4105428059896 26.299250284830727 0.8026472340278133 0.8961 0.4314 14
astronaut.ppm 450.09996795654297 28.514198303222656 0.7788192226367587 0.9074 0.4720 12
astronaut.ppm 346.18348948160804 25.055152893066406 0.8144656348941846 0.8944 0.4428 12
astronaut.ppm 460.4812138875326 29.10144297281901 0.794002835058004 0.8839 0.4049 12
astronaut.ppm 334.35911814371747 25.175814310709633 0.8110656900098535 0.9117 0.4598 12
astronaut.ppm 370.47813669840497 26.488197326660156 0.7939086618286354 0.8951 0.4027 12
astronaut.ppm 491.2007598876953 28.174285888671875 0.8014293202713195 0.8850 0.4077 13
astronaut.ppm 383.28642527262366 26.29363250732422 0.8164765823352255 0.9099 0.4441 12
astronaut.ppm 364.9567184448242 26.424278259277344 0.8082962660292335 0.9070 0.4502 12
astronaut.ppm 310.4636815388997 23.18615468343099 0.8176800399289187 0.9080 0.4174 12
astronaut.ppm 436.0010681152344 29.129928588867188 0.7940533288399857 0.8925 0.4180 12
astronaut.ppm 457.90914154052734 27.99242401123047 0.7749977507869383 0.9007 0.4277 12
astronaut.ppm 344.21116129557294 24.766672770182293 0.8176583665549163 0.9169 0.4727 12
astronaut.ppm 406.4058939615885 27.506108601888023 0.7709332494169291 0.8923 0.4258 12
astronaut.ppm 335.57430267333984 25.090726216634113 0.81990569810862 0.9122 0.4536 12
astronaut.ppm 281.34436289469403 21.786394755045574 0.8456557363230903 0.9284 0.4742 12
astronaut.ppm 473.3081588745117 29.235435485839844 0.7700949022882874 0.8803 0.4179 12
balinese_dancer.ppm 358.59061940511066 18.459698994954426 0.7974320807020066 0.9239 0.4652 11
balinese_dancer.ppm 393.4921112060547 17.085891723632812 0.8667036326451075 0.9322 0.4862 12
balinese_dancer.ppm 288.0467732747396 16.324066162109375 0.838565695555217 0.9407 0.4892 12
balinese_dancer.ppm 338.36942799886066 18.03601328531901 0.8172400056280426 0.9315 0.4709 12
balinese_dancer.ppm 333.6130040486654 16.85340627034505 0.8582647687642441 0.9444 0.4970 12
balinese_dancer.ppm 286.01378377278644 16.627609252929688 0.8671419594570854 0.9434 0.5038 12
balinese_dancer.ppm 315.80001068115234 16.90266672770182 0.8586287072252704 0.9410 0.4892 13
balinese_dancer.ppm 328.1223576863607 16.993675231933594 0.8606031485603497 0.9391 0.4727 14
balinese_dancer.ppm 414.0753224690755 17.580042521158852 0.8767567599934928 0.9294 0.4509 12
balinese_dancer.ppm 296.4308751424154 16.39619700113932 0.8445602809666363 0.9409 0.4835 12
balinese_dancer.ppm 339.07708740234375 17.940668741861977 0.8348582514606825 0.9194 0.4454 12
balinese_dancer.ppm 345.2393442789714 19.114741007486977 0.7167173011525166 0.9370 0.4726 12
balinese_dancer.ppm 412.14161427815753 18.20197296142578 0.833681684127054 0.9311 0.4645 12
balinese_dancer.ppm 314.74046071370446 16.79950714111328 0.8557356684034975 0.9391 0.4845 12
balinese_dancer.ppm 322.94173431396484 16.6842524210612 0.8645062079563631 0.9358 0.4709 13
balinese_dancer.ppm 313.71240997314453 16.54539235432943 0.8500331695842345 0.9361 0.4797 13
balinese_dancer.ppm 388.0171254475911 18.924880981445312 0.8345290923842628 0.9247 0.4473 12
balinese_dancer.ppm 280.72858174641925 17.152852376302082 0.8539528931974973 0.9357 0.4654 14
balinese_dancer.ppm 315.7137578328451 17.204500834147137 0.8322581513370397 0.9393 0.4911 12
balinese_dancer.ppm 294.33523813883465 17.20629119873047 0.832229970886441 0.9486 0.5050 12
ball_caps.ppm 360.6478144327799 25.129137674967446 0.795355993486484 0.9055 0.3613 13
ball_caps.ppm 542.9867909749348 28.07598368326823 0.8033760306964778 0.8947 0.3882 12
ball_caps.ppm 544.3429565429688 30.606918334960938 0.7735079978934135 0.8871 0.3473 13
ball_caps.ppm 462.76439412434894 28.294189453125 0.7866050765054249 0.8890 0.3506 14
ball_caps.ppm 408.67186228434247 25.66407521565755 0.8150045989470055 0.9042 0.3942 12
ball_caps.ppm 554.3661855061849 29.393081665039062 0.7953447215173584 0.8935 0.3779 12
ball_caps.ppm 389.7889302571615 26.532562255859375 0.8183516652219053 0.9142 0.4159 13
ball_caps.ppm 425.51477813720703 28.19458770751953 0.802880233549062 0.8959 0.3824 12
ball_caps.ppm 508.450917561849 29.944920857747395 0.779957100125099 0.8863 0.3455 12
ball_caps.ppm 553.891970316569 30.86139678955078 0.7663470195193924 0.8789 0.3715 13
ball_caps.ppm 505.95381673177087 29.058578491210938 0.796491797273656 0.8989 0.3588 12
ball_caps.ppm 484.2696838378906 27.44763692220052 0.8056061036955908 0.9014 0.3722 12
ball_caps.ppm 508.2562662760417 29.843795776367188 0.7747140945934752 0.8817 0.3675 12
ball_caps.ppm 390.65411376953125 25.639083862304688 0.7824554716363902 0.9112 0.3842 17
ball_caps.ppm 528.2151438395182 31.036656697591148 0.7867012442654165 0.8889 0.3681 14
ball_caps.ppm 417.5375671386719 28.003011067708336 0.7991510906979385 0.8953 0.3824 12
ball_caps.ppm 408.53932189941406 25.81535847981771 0.821330500593894 0.9187 0.4018 11
ball_caps.ppm 412.06564585367835 27.1917241414388 0.7998181174107769 0.8989 0.3906 12
ball_caps.ppm 547.8773295084635 28.694986979166664 0.7936769012819435 0.8943 0.3806 12
ball_caps.ppm 422.291737874349 26.076299031575523 0.8263197701714863 0.9098 0.4000 12
birthday_baloons.ppm 500.5702921549479 23.544840494791664 0.8372566763532688 0.9023 0.3708 12
birthday_baloons.ppm 451.26463317871094 21.268244425455727 0.8357958827211176 0.8979 0.3537 12
birthday_baloons.ppm 444.75667317708337 21.509994506835938 0.8444323874562946 0.8984 0.3511 13
birthday_baloons.ppm 402.8950449625651 21.273717244466145 0.8244909619390454 0.8980 0.3538 12
birthday_baloons.ppm 443.7356948852539 22.655301411946617 0.8272556042719282 0.9000 0.3654 13
birthday_baloons.ppm 466.3764216105143 23.63670603434245 0.8304082468849717 0.9040 0.3694 12
birthday_baloons.ppm 435.47909291585285 22.730822245279946 0.8510305655405594 0.9008 0.3625 11
birthday_baloons.ppm 434.96234639485675 22.852152506510414 0.8302984358089227 0.9126 0.3928 13
birthday_baloons.ppm 447.7091420491536 22.944442749023438 0.8245609809379507 0.8947 0.3610 12
birthday_baloons.ppm 465.43893686930335 24.020357767740887 0.8220160942872526 0.8900 0.3512 14
birthday_baloons.ppm 446.57396697998047 21.325853983561196 0.8336937850820695 0.9033 0.3535 12
birthday_baloons.ppm 409.60770924886066 21.050814310709637 0.8441694309697646 0.8957 0.3475 13
birthday_baloons.ppm 488.46526590983075 23.495635986328125 0.8287892054486568 0.8907 0.3472 12
birthday_baloons.ppm 398.1463063557943 21.421463012695312 0.8334559586475977 0.9063 0.3648 11
birthday_baloons.ppm 418.47623952229816 21.09191640218099 0.833877158655446 0.8985 0.3706 12
birthday_baloons.ppm 548.2482121785481 24.305458068847656 0.8350149128871095 0.8869 0.3389 12
