Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 397.538096110026 26.21808878580729 0.8798568101217229 0.9638 0.5474 21
adirondack_chairs.ppm 424.27639261881507 28.101150512695312 0.8635434351890794 0.9611 0.5531 21
adirondack_chairs.ppm 406.89569091796875 27.34991455078125 0.8807903970596169 0.9662 0.5638 19
adirondack_chairs.ppm 439.80362955729163 28.48747762044271 0.8615483935957294 0.9636 0.5484 21
adirondack_chairs.ppm 426.4848302205404 28.148572285970054 0.8583529616177025 0.9617 0.5559 21
adirondack_chairs.ppm 432.0856806437174 27.863014221191406 0.8685754808745475 0.9682 0.5460 21
adirondack_chairs.ppm 445.37044270833337 28.130818684895836 0.8716829791340164 0.9639 0.5449 21
adirondack_chairs.ppm 492.53929138183594 29.541641235351562 0.858167902360525 0.9604 0.5252 20
adirondack_chairs.ppm 431.0642954508463 27.617533365885418 0.879989275611527 0.9637 0.5598 20
adirondack_chairs.ppm 450.40223693847656 28.461380004882812 0.8742194324697774 0.9667 0.5505 23
adirondack_chairs.ppm 391.47238667805993 26.528386433919273 0.8806815415497997 0.9683 0.5630 21
adirondack_chairs.ppm 419.2977828979492 27.597816467285156 0.8788059718346078 0.9634 0.5569 21
adirondack_chairs.ppm 452.7459716796875 27.951777140299477 0.8786514423430253 0.9601 0.5408 20
adirondack_chairs.ppm 392.40316518147785 26.679288228352867 0.8836433139350959 0.9664 0.5509 20
adirondack_chairs.ppm 478.9667765299479 28.758499145507812 0.867068016546777 0.9649 0.5420 21
adirondack_chairs.ppm 429.8820470174154 28.10700225830078 0.8602567580188615 0.9613 0.5488 20
adirondack_chairs.ppm 441.21863047281903 27.32604217529297 0.8794660938974577 0.9625 0.5658 21
adirondack_chairs.ppm 424.064208984375 27.42706298828125 0.8737467915734635 0.9650 0.5597 20
adirondack_chairs.ppm 490.04745992024743 28.531356811523438 0.8641630214562407 0.9600 0.5547 20
adirondack_chairs.ppm 466.9356384277344 28.616190592447918 0.8713297017081446 0.9589 0.5485 20
astro_bodies.ppm 293.3554992675781 20.905003865559895 0.7974258080370218 0.9372 0.5485 19
astro_bodies.ppm 270.30597432454425 20.742513020833336 0.778940644465561 0.9412 0.5562 20
astro_bodies.ppm 333.6295471191406 24.467249552408855 0.7395770556825236 0.9339 0.5601 20
astro_bodies.ppm 342.74368540445965 21.24748992919922 0.8519024849865979 0.9256 0.5109 19
astro_bodies.ppm 317.13158671061194 23.319188435872395 0.7381359245556417 0.9339 0.5370 20
astro_bodies.ppm 338.1818110148112 21.342877705891926 0.866748844588619 0.9233 0.5155 21
astro_bodies.ppm 301.4902979532878 19.666048685709633 0.8534537906827753 0.9359 0.5514 22
astro_bodies.ppm 295.4281438191732 20.7014897664388 0.8219842532395779 0.9412 0.5487 19
astro_bodies.ppm 265.13644154866535 18.371482849121094 0.8740133805965314 0.9383 0.5389 19
astro_bodies.ppm 301.67974853515625 19.943700154622395 0.8579575577505664 0.9371 0.5443 20
astro_bodies.ppm 314.2880350748698 20.74285888671875 0.8571052851691543 0.9395 0.5550 20
astro_bodies.ppm 308.00052134195965 19.94328053792318 0.8567445130945721 0.9340 0.5326 20
astro_bodies.ppm 308.26667531331384 22.250465393066406 0.7697236883177347 0.9394 0.5380 21
astro_bodies.ppm 356.8672561645508 21.17470041910807 0.8484395013786777 0.9240 0.5151 22
