Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1422.420733133952 41.890576680501304 0.8311147810972068 0.9247 0.4944 23
adirondack_chairs.ppm 840.2893142700195 36.94233957926433 0.8311129007874832 0.9428 0.4909 23
adirondack_chairs.ppm 1054.1835098266602 38.887830098470054 0.8570366034665363 0.9469 0.5230 24
adirondack_chairs.ppm 1031.1315104166667 39.74466451009115 0.8460446393177204 0.9250 0.4964 24
adirondack_chairs.ppm 904.6015879313152 36.47242736816406 0.8406433601602817 0.9342 0.4837 34
adirondack_chairs.ppm 1384.579760233561 41.12915802001953 0.8485184901764672 0.9290 0.5100 23
adirondack_chairs.ppm 789.6751683553059 35.14638010660807 0.8612233128386665 0.9500 0.5127 24
adirondack_chairs.ppm 1349.2977701822917 40.965876261393234 0.8479270631495933 0.9422 0.4984 23
adirondack_chairs.ppm 1363.1463165283203 39.30249532063802 0.8538953723965212 0.9115 0.5267 24
adirondack_chairs.ppm 878.2595977783203 37.231760660807296 0.8485405299394984 0.9479 0.5222 24
adirondack_chairs.ppm 966.6255696614583 36.701324462890625 0.8588596774089313 0.9395 0.5155 24
adirondack_chairs.ppm 1095.2122395833333 39.71018473307292 0.8391959567983628 0.9264 0.4836 25
adirondack_chairs.ppm 770.9334004720052 34.50974019368489 0.8614301517995774 0.9472 0.4931 23
adirondack_chairs.ppm 1047.6376571655273 37.516944885253906 0.8642547088621125 0.9323 0.5031 24
adirondack_chairs.ppm 1046.1376978556316 39.56105295817057 0.8552711722411718 0.9359 0.5068 34
adirondack_chairs.ppm 1188.615140279134 40.98991139729817 0.8346577287941591 0.9300 0.4953 25
adirondack_chairs.ppm 728.7980550130208 34.0667470296224 0.8570442511801225 0.9527 0.5151 24
adirondack_chairs.ppm 1181.7309061686199 40.53174336751302 0.8493067107880817 0.9333 0.5038 24
adirondack_chairs.ppm 1002.7069981892904 38.083534240722656 0.8464472595261684 0.9446 0.5048 34
adirondack_chairs.ppm 782.9194844563802 35.1236317952474 0.8641340908566777 0.9432 0.5060 23
astro_bodies.ppm 834.8092244466145 31.568191528320312 0.8329679610199205 0.8995 0.4790 24
astro_bodies.ppm 523.2242533365885 26.507522583007812 0.8515311860309751 0.9136 0.4908 24
astro_bodies.ppm 536.3560587565104 26.661605834960938 0.8416056804580054 0.9018 0.4908 24
astro_bodies.ppm 1067.2843373616538 33.178324381510414 0.8369233089873753 0.9070 0.5189 23
astro_bodies.ppm 882.4614359537761 33.93829854329427 0.8302812932991664 0.9067 0.4929 24
astro_bodies.ppm 758.1815414428711 31.091453552246094 0.8508131311286347 0.9017 0.4744 23
astro_bodies.ppm 944.8790435791016 33.25872802734375 0.8345643480565382 0.9006 0.4720 25
astro_bodies.ppm 1102.1973927815754 35.77201843261719 0.8258161602510564 0.8918 0.4498 24
astro_bodies.ppm 912.753682454427 33.997467041015625 0.8109720955447983 0.8874 0.4637 23
astro_bodies.ppm 702.237434387207 29.48609161376953 0.8347713733981283 0.8914 0.4594 24
astro_bodies.ppm 981.8437449137369 32.36180114746094 0.8269669779310737 0.9034 0.4864 24
astro_bodies.ppm 663.7227121988932 28.6297607421875 0.8448616804031303 0.9011 0.4868 34
astro_bodies.ppm 693.494997660319 28.724230448404946 0.835480431573603 0.9150 0.4973 24
astro_bodies.ppm 428.89160664876306 22.466644287109375 0.8527722959408942 0.9235 0.5200 24
astro_bodies.ppm 1168.5465647379558 33.71278381347656 0.8370575239265851 0.9008 0.5192 24
astro_bodies.ppm 628.8474629720051 28.07843017578125 0.836286037276308 0.9187 0.5268 24
astro_bodies.ppm 706.2109527587891 28.604080200195312 0.8373206683674965 0.9057 0.4904 24
astro_bodies.ppm 574.3879089355469 25.823552449544273 0.8590301329783369 0.9191 0.5079 34
astro_bodies.ppm 437.21143595377606 23.842000325520832 0.8487058901886515 0.9149 0.5031 24
astro_bodies.ppm 1097.1931864420571 35.12753804524739 0.8338040467020013 0.8965 0.4711 24
astronaut.ppm 948.9209925333658 39.48319753011068 0.7833238916323574 0.8693 0.4590 24
astronaut.ppm 538.4338658650717 30.864560445149742 0.8237360231865224 0.9059 0.4811 24
astronaut.ppm 943.14453125 41.202728271484375 0.7824663490070982 0.8584 0.4196 27
astronaut.ppm 983.9933751424153 42.37865447998047 0.7718479070958258 0.8396 0.3788 24
