Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1095.5595245361328 39.545160929361984 0.8494332863658808 0.9344 0.5023 35
adirondack_chairs.ppm 871.1532313028972 37.07903289794922 0.8372090241530893 0.9361 0.4841 35
adirondack_chairs.ppm 1145.9772872924805 38.99702707926432 0.8372252946530238 0.9225 0.4954 36
adirondack_chairs.ppm 1614.9820022583008 45.45989735921224 0.8338667135787938 0.9120 0.4866 35
adirondack_chairs.ppm 955.8546676635742 38.69367218017578 0.8535890801491454 0.9446 0.5069 36
adirondack_chairs.ppm 1050.603764851888 39.0726064046224 0.8525745961208354 0.9324 0.4911 35
adirondack_chairs.ppm 1275.61328125 41.27930196126302 0.8451797691447279 0.9261 0.4947 34
adirondack_chairs.ppm 1360.3851140340169 43.68737030029297 0.82986669547744 0.9285 0.4934 36
adirondack_chairs.ppm 1148.2592951456706 40.558753967285156 0.840887670597369 0.9422 0.4793 36
adirondack_chairs.ppm 1683.2140452067056 44.804443359375 0.8382837521221171 0.9381 0.4976 36
adirondack_chairs.ppm 914.9596761067709 37.32012939453125 0.83870469118466 0.9420 0.4971 36
adirondack_chairs.ppm 969.1932907104492 38.03576914469401 0.853476676419794 0.9382 0.4974 36
adirondack_chairs.ppm 1615.3147557576497 43.79184214274088 0.8388642464086714 0.9147 0.5023 36
adirondack_chairs.ppm 1089.9564208984375 39.60421244303386 0.8456048958199308 0.9389 0.5135 36
adirondack_chairs.ppm 1442.943977355957 43.77013397216797 0.8452721351433782 0.9206 0.4869 36
adirondack_chairs.ppm 1024.7501271565757 40.159962972005204 0.8285344733336104 0.9396 0.4705 34
adirondack_chairs.ppm 1622.954889933268 44.48625691731771 0.847083531027525 0.9175 0.5002 36
adirondack_chairs.ppm 886.3828506469727 36.668627421061196 0.8443956802668754 0.9306 0.4772 35
adirondack_chairs.ppm 1503.680051167806 44.91758982340495 0.8369237566451787 0.9248 0.4831 35
adirondack_chairs.ppm 1158.2917887369792 40.777099609375 0.8419096245924251 0.9407 0.5125 37
astro_bodies.ppm 772.4812393188477 31.86284637451172 0.8146204690664547 0.8862 0.4426 35
astro_bodies.ppm 780.8299306233724 31.844141642252602 0.8189934310236412 0.8860 0.4574 34
