1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 184.16402 168.32047 21

195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 195.47969 19

206.08319 206.08319 206.08319 206.08319 206.08319 206.08319 206.08319 206.08319 206.08319 206.08319 206.08319 203.81305 198.04205 188.3274 183.2653 20

179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 179.6767 20

203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 203.1748 19

180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 180.45674 20

172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 172.98341 21

210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 210.43445 21

181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 181.62474 19

181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 181.46837 20

162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 162.49763 161.31061 21

187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 187.27972 20

170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 170.48401 21

208.15265 208.15265 208.15265 208.15265 208.15265 208.15265 208.15265 208.15265 208.15265 208.15265 208.15265 208.15265 207.89421 194.55467 194.55467 20

159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 159.85046 22

184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 184.77185 20

189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 189.94574 21

200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 200.1787 20

191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 191.79716 22

162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 162.006 20

181.95882 181.95882 181.95882 181.95882 181.95882 181.95882 181.95882 155.80069 141.21161 141.21161 136.58226 135.72682 135.72682 128.30913 125.20224 21

140.3538 140.3538 140.3538 140.3538 140.3538 140.3538 140.3538 140.3538 140.3538 111.06204 107.94736 107.94736 107.94736 105.310326 105.310326 19

177.74927 177.74927 177.74927 177.74927 177.74927 177.74927 177.74927 168.55536 161.77864 149.71114 149.71114 143.89543 142.97636 139.94238 129.43102 20

144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 144.44403 22

130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 130.87773 20

164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 164.69157 160.32463 160.32463 19

183.9228 183.9228 183.9228 183.9228 183.9228 183.9228 183.9228 183.9228 183.9228 183.9228 183.9228 166.0688 155.28691 155.28691 146.3574 21

