1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

444.8079 444.8079 444.8079 444.8079 437.64053 430.67883 411.97656 402.09335 395.136 377.40286 366.93726 366.93726 355.9921 352.98096 352.98096 11

451.6697 444.49753 439.53006 409.05954 402.98767 400.4004 396.73987 387.3861 338.58017 332.9647 331.35645 314.3635 313.158 307.39932 307.39932 12

415.52512 387.74512 359.99854 353.8741 347.09024 345.87564 339.94333 339.94333 339.94333 339.94333 339.94333 339.94333 330.1674 329.62915 327.21606 10

372.61215 361.79453 361.79453 357.71512 357.71512 357.71512 357.71512 357.71512 353.94235 350.7058 341.50204 337.56174 330.37708 312.51517 302.20074 10

395.33792 385.63843 381.0336 381.0336 380.38345 380.38345 376.29517 342.7593 332.8103 331.12466 330.2466 329.5264 326.73398 324.82718 317.8812 10

433.5099 433.5099 430.48856 430.48856 430.48856 430.48856 427.1851 427.1851 426.13074 426.13074 424.27954 411.6522 411.44107 406.16324 402.0553 10

370.13467 370.13467 370.13467 370.13467 361.9727 361.9727 361.9727 356.33987 347.13443 347.13443 341.17136 335.95993 331.28098 330.73892 330.73892 11

478.76755 417.10605 409.37537 409.37537 409.37537 405.29745 404.0874 397.02084 395.47888 386.61316 386.61316 379.48996 376.56946 376.27505 374.6594 10

408.71933 408.71933 408.71933 407.29996 401.2566 399.42236 393.7408 393.7408 382.57632 369.6753 357.58337 357.58337 327.113 327.113 312.71765 9

480.41934 432.4921 432.4921 432.4921 424.297 418.57227 418.57227 417.3591 410.57376 376.08264 376.08264 345.18692 329.20676 318.88034 318.88034 10

391.11255 391.11255 391.11255 357.2073 351.29984 341.8982 338.03027 320.64316 315.0813 307.99146 307.99146 305.35214 305.35214 304.03928 299.9173 10

453.81003 453.81003 453.81003 439.3606 420.90482 420.90482 420.90482 419.26465 406.80905 401.91666 393.65823 385.70663 380.76074 375.48242 373.68515 11

422.20737 422.20737 422.20737 422.20737 418.78076 415.9927 405.14587 346.76584 346.76584 326.9339 326.9339 319.2173 316.85068 311.7858 308.50748 10

466.198 466.198 462.62796 411.9575 391.18637 382.53433 378.46216 367.3032 362.72928 362.72928 357.48706 337.8135 331.11673 327.18234 320.97934 10

355.3289 349.8574 346.31216 341.3832 341.3832 334.74753 334.74753 334.74753 327.6061 310.21933 307.7847 307.7847 306.64456 302.6729 301.485 9

513.4004 461.44296 383.4127 349.70044 349.70044 326.7596 313.93872 313.93872 295.02365 291.8699 291.8699 288.14478 280.76294 280.7191 280.7191 10

386.21765 377.8668 377.33224 377.33224 375.73682 375.14005 363.0168 363.00244 360.23758 355.91757 353.71005 353.71005 353.71005 348.40942 344.79956 10

403.62344 388.7793 380.38843 373.05984 371.8842 367.19836 362.34903 362.34903 362.1582 357.92075 357.92075 357.92075 357.22006 357.0499 357.0499 10

382.44156 382.44156 381.86157 380.95932 380.95932 332.4797 328.14078 313.2485 313.2485 313.20837 312.6118 312.6118 312.6118 307.98746 307.98746 10

496.59427 493.66238 433.15176 413.65305 413.65305 403.51526 400.91235 400.91235 384.21182 380.3326 363.34302 353.0341 350.30228 348.2062 339.895 10

353.65952 353.65952 353.65952 353.65952 332.95352 325.7383 283.70688 283.70688 283.70688 277.34512 276.30423 265.48364 265.48364 262.3868 262.0005 10

409.80652 409.80652 389.66257 346.16867 346.16867 346.1676 329.83676 316.92947 316.92947 272.4982 265.4288 265.4288 264.48514 261.97717 259.94412 9

347.96826 347.96826 264.06955 264.06955 261.03952 261.03952 247.24702 242.59155 240.81549 234.92725 230.95259 218.56226 214.7605 205.38654 202.94794 9

381.37497 350.24158 350.24158 349.61295 347.63327 333.32275 331.61234 331.61234 322.31088 322.15723 296.72668 285.9797 280.84695 276.72375 273.66562 9

