Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1076.638147989909 43.87634785970052 0.7898273448996322 0.9159 0.4464 12
adirondack_chairs.ppm 1515.9304835001628 53.73373667399089 0.7332135148682338 0.9005 0.4119 11
adirondack_chairs.ppm 1129.105244954427 46.68392435709635 0.7764633427891571 0.9181 0.4335 10
adirondack_chairs.ppm 1293.191685994466 49.08734130859375 0.7545529060288234 0.8947 0.3991 10
adirondack_chairs.ppm 1403.7357686360676 51.30657958984375 0.7493711042553883 0.8917 0.4275 11
adirondack_chairs.ppm 1255.190539042155 49.264198303222656 0.7731031104722734 0.9203 0.4410 10
adirondack_chairs.ppm 1351.4958597819011 52.29451497395833 0.73552073617717 0.8983 0.4183 11
adirondack_chairs.ppm 1175.5828755696614 45.78564453125 0.7789048604592207 0.9107 0.4182 10
adirondack_chairs.ppm 1131.0381139119468 45.69180552164714 0.7723130119914177 0.9221 0.4369 10
adirondack_chairs.ppm 1271.857587178548 49.58329518636067 0.7610505166461818 0.9044 0.4191 9
adirondack_chairs.ppm 1150.18492380778 46.8773930867513 0.7740022931031177 0.9156 0.4378 10
adirondack_chairs.ppm 1263.673906962077 46.932253519694015 0.7730489598539393 0.9212 0.4435 11
adirondack_chairs.ppm 1317.6897633870444 50.39414469401042 0.7492790933777981 0.9049 0.4517 11
adirondack_chairs.ppm 1206.4636764526367 46.703453063964844 0.7752994574317092 0.9123 0.4558 10
adirondack_chairs.ppm 1106.1322199503581 44.89043935139974 0.7780803992950999 0.9242 0.4459 10
adirondack_chairs.ppm 1196.9722544352212 48.82979329427083 0.74930106030778 0.9117 0.4363 11
adirondack_chairs.ppm 1161.5704930623374 46.89160919189453 0.7779738335336722 0.9196 0.4573 10
adirondack_chairs.ppm 1219.6359786987305 47.16563161214193 0.77852271424891 0.9102 0.4391 10
adirondack_chairs.ppm 1036.5906016031902 43.77961730957031 0.7874105576511446 0.9193 0.4509 10
adirondack_chairs.ppm 1165.4872589111328 44.6899159749349 0.7888785442282787 0.9189 0.4361 10
astro_bodies.ppm 1162.2767079671225 47.2265879313151 0.6246037390080641 0.8858 0.4728 10
astro_bodies.ppm 836.7910385131836 31.957079569498696 0.7917460493333089 0.8915 0.4317 10
astro_bodies.ppm 849.0705871582031 33.755401611328125 0.7630075011416982 0.8803 0.4307 10
astro_bodies.ppm 829.2486521402996 36.10944620768229 0.7271733870621727 0.8853 0.4482 10
astro_bodies.ppm 921.7101643880208 33.76751708984375 0.8042466334865308 0.8848 0.4389 12
astro_bodies.ppm 838.7913487752279 33.90216827392578 0.7405436768592165 0.8638 0.4170 10
astro_bodies.ppm 822.1581446329753 37.788490295410156 0.6815551784602697 0.8872 0.4351 11
astro_bodies.ppm 745.1549733479818 32.89561462402344 0.7345841079810725 0.8926 0.4449 10
astro_bodies.ppm 990.457628885905 44.83469899495443 0.6113879337443469 0.8906 0.4539 10
astro_bodies.ppm 1009.0577214558919 40.248191833496094 0.6833532891201833 0.8794 0.4336 9
astro_bodies.ppm 648.6537221272787 27.99476114908854 0.8153581374183926 0.8940 0.4653 10
astro_bodies.ppm 1074.4527002970376 44.156176249186196 0.6067737630714181 0.8741 0.4248 10
astro_bodies.ppm 675.8592910766602 30.45777638753255 0.7555950792104406 0.8859 0.4557 9
astro_bodies.ppm 750.2414321899414 31.773460388183594 0.7745545989371992 0.8968 0.4415 10
astro_bodies.ppm 816.383191426595 32.52908579508464 0.7546935154360878 0.8844 0.4383 10
astro_bodies.ppm 858.6418151855469 36.407958984375 0.7167812826599717 0.8665 0.3890 10
astro_bodies.ppm 1253.5905075073242 48.17356618245442 0.6382995672710484 0.8657 0.4218 10
astro_bodies.ppm 801.6032791137695 32.77572886149089 0.802409873989828 0.8753 0.4431 9
astro_bodies.ppm 1094.5459238688152 40.77920023600261 0.6899041683938645 0.8687 0.4067 10
astro_bodies.ppm 807.6949157714844 33.24508158365885 0.7888078346550045 0.8751 0.4096 11
astronaut.ppm 826.5571416219075 41.28278350830078 0.7224916184406083 0.8467 0.3763 9
astronaut.ppm 669.5408579508463 35.884867350260414 0.7664758459469926 0.8831 0.4323 10
astronaut.ppm 561.6570078531902 31.91662089029948 0.7228974591750367 0.8888 0.4476 10
astronaut.ppm 1024.2950795491536 45.60466512044271 0.7062269861991854 0.8241 0.3333 10
astronaut.ppm 792.4443969726562 38.25022888183594 0.774000898142987 0.8598 0.4024 10
astronaut.ppm 612.9333470662435 33.68958282470703 0.7333396963403289 0.8548 0.3701 10
astronaut.ppm 630.283342997233 35.084414164225265 0.7572474362668279 0.8650 0.4040 10
astronaut.ppm 651.7725499471029 35.07800038655599 0.7703309668763758 0.8828 0.4426 9
astronaut.ppm 561.4808298746744 32.171025594075516 0.7777179328969908 0.8759 0.4187 10
astronaut.ppm 887.4913279215494 41.98981730143229 0.7258796762679518 0.8523 0.3782 10
astronaut.ppm 552.1356735229492 33.44332631429037 0.7778303931682308 0.8864 0.4209 10
astronaut.ppm 471.2107950846354 30.12024943033854 0.7774571406382312 0.8843 0.4166 10
astronaut.ppm 590.729830423991 33.81157684326172 0.7433521525881049 0.8727 0.4192 10
astronaut.ppm 497.7766825358073 31.12506103515625 0.7892578008596919 0.9000 0.4387 10
astronaut.ppm 363.7817153930664 25.434481302897137 0.8228953098639433 0.8983 0.4381 10
astronaut.ppm 841.6515680948894 39.515220642089844 0.7407464434457497 0.8363 0.3783 10
astronaut.ppm 422.6480941772461 27.666903177897137 0.7917266608159466 0.8862 0.4004 10
astronaut.ppm 769.2134577433268 38.14773813883463 0.7342928435964106 0.8606 0.4236 10
astronaut.ppm 550.229871114095 32.759447733561196 0.7510427949403019 0.8924 0.4061 10
astronaut.ppm 669.3103332519531 36.45908101399739 0.7449675600462989 0.8395 0.3737 10
balinese_dancer.ppm 468.55278269449866 25.21790313720703 0.6287289844520241 0.9062 0.4237 10
balinese_dancer.ppm 922.9484405517578 37.445638020833336 0.6121852252785617 0.8487 0.3510 10
balinese_dancer.ppm 517.8708775838215 26.52814483642578 0.7350003574301383 0.8949 0.3934 10
balinese_dancer.ppm 524.4250132242838 24.966761271158855 0.6534333960170227 0.9080 0.4290 10
balinese_dancer.ppm 704.5871073404948 34.29776509602865 0.5909957278334514 0.8771 0.3810 10
balinese_dancer.ppm 1039.5618693033855 37.2593027750651 0.6423321337358278 0.8596 0.3482 10
balinese_dancer.ppm 895.5084660847981 36.786048889160156 0.6139386166860404 0.8715 0.3610 11
balinese_dancer.ppm 637.7257436116536 32.79105122884115 0.4958783811195269 0.8834 0.3874 10
balinese_dancer.ppm 636.3857549031575 28.182024637858074 0.649596448389151 0.8825 0.3814 10
balinese_dancer.ppm 596.0564524332682 23.946548461914062 0.7805414682827179 0.9034 0.4000 12
balinese_dancer.ppm 514.0713119506836 24.485669453938804 0.6730934404556987 0.9030 0.4017 10
balinese_dancer.ppm 527.6119384765625 26.09833780924479 0.7261950383003923 0.8831 0.3832 12
balinese_dancer.ppm 522.6080958048503 24.9816157023112 0.6610478193949699 0.8856 0.3806 10
balinese_dancer.ppm 573.767557779948 27.463795979817707 0.7203346992799791 0.8870 0.3884 11
balinese_dancer.ppm 846.4593149820963 36.32142130533854 0.6549365557658994 0.8739 0.3857 9
