Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1035.0416514078775 41.84943644205729 0.79806804921801 0.9297 0.4657 172
adirondack_chairs.ppm 1102.9689356486003 45.12599436442057 0.7815595745834435 0.9282 0.4543 165
adirondack_chairs.ppm 1111.5872497558594 45.9661865234375 0.7741989949574495 0.9205 0.4407 181
adirondack_chairs.ppm 1109.7211074829102 43.75699106852213 0.7982340803195522 0.9403 0.4697 165
adirondack_chairs.ppm 1062.1337203979492 43.94308725992838 0.8006496534292157 0.9256 0.4483 173
adirondack_chairs.ppm 1020.2002970377605 42.62109375 0.7973517175692167 0.9387 0.4643 170
adirondack_chairs.ppm 1131.1868133544922 45.44810994466146 0.774343837989362 0.9146 0.4129 171
adirondack_chairs.ppm 1147.6130040486655 45.08674875895182 0.7747824970344297 0.9174 0.4229 172
adirondack_chairs.ppm 1162.672892252604 44.504302978515625 0.7759160443820377 0.9244 0.4438 171
adirondack_chairs.ppm 1080.9835993448894 43.427172342936196 0.780391280906697 0.9268 0.4316 163
adirondack_chairs.ppm 1184.5714518229167 46.127919514973954 0.7810094834864221 0.9203 0.4378 173
adirondack_chairs.ppm 1102.8799311319988 44.443748474121094 0.7961518750900485 0.9251 0.4629 171
adirondack_chairs.ppm 1102.6584447224934 46.25805409749349 0.775630757469135 0.9075 0.4514 170
adirondack_chairs.ppm 937.2611974080403 40.26358286539713 0.8148276636088277 0.9409 0.4659 170
adirondack_chairs.ppm 1221.451093037923 44.6482416788737 0.7829990214984958 0.9071 0.4467 164
adirondack_chairs.ppm 1122.4823455810547 46.60633341471354 0.7621631816962936 0.9161 0.4343 173
adirondack_chairs.ppm 1183.8424631754558 45.30195617675781 0.7852251236089568 0.9193 0.4388 173
adirondack_chairs.ppm 1119.4311091105144 44.756909688313804 0.7878179042008396 0.9289 0.4593 164
adirondack_chairs.ppm 1193.2475763956706 44.80462900797526 0.776432040320095 0.9194 0.4282 172
adirondack_chairs.ppm 1166.4574330647786 45.385589599609375 0.7707956390255261 0.9221 0.4309 173
astro_bodies.ppm 1164.0734278361003 38.027478535970054 0.7692477593394796 0.8736 0.4283 171
astro_bodies.ppm 1038.4517237345378 37.171633402506515 0.7629478357732924 0.8724 0.4197 164
astro_bodies.ppm 1069.6833953857422 38.395365397135414 0.7481922939954965 0.8729 0.4216 162
astro_bodies.ppm 900.0949834187825 33.916918436686196 0.7863387022799179 0.8814 0.4269 169
astro_bodies.ppm 791.6644083658854 35.48505655924479 0.6725122916665262 0.8924 0.4585 171
astro_bodies.ppm 1053.4165293375652 36.73492431640625 0.7563661672823813 0.8894 0.4560 175
astro_bodies.ppm 836.705317179362 36.20528666178385 0.7383255107140329 0.8968 0.4610 171
astro_bodies.ppm 863.9462509155273 37.340492248535156 0.7187246837445774 0.8615 0.4189 162
astro_bodies.ppm 914.1957168579102 35.54291534423828 0.7444345404140723 0.8625 0.3976 171
astro_bodies.ppm 863.3202997843425 34.38089243570963 0.7378161319263313 0.8822 0.4286 171
astro_bodies.ppm 914.6280568440754 37.39107767740885 0.7156683068404242 0.8787 0.4277 162
astro_bodies.ppm 1047.460225423177 38.99195861816406 0.6716836529104396 0.8772 0.4228 171
astro_bodies.ppm 1186.0948053995767 39.672767639160156 0.7686674346761876 0.8693 0.4268 170
astro_bodies.ppm 1004.2874196370442 38.002716064453125 0.7181590296407022 0.8656 0.4057 171
