Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 443.6963882446289 28.099103291829426 0.8715919787842413 0.9598 0.5583 407
adirondack_chairs.ppm 469.7140680948893 30.54015350341797 0.8525434668812221 0.9579 0.5561 428
adirondack_chairs.ppm 482.38661702473956 29.8414306640625 0.851123149557564 0.9535 0.5292 454
adirondack_chairs.ppm 483.51224009195965 29.65185801188151 0.8616290616831946 0.9583 0.5503 432
adirondack_chairs.ppm 483.35965983072913 29.38691202799479 0.8607691839433859 0.9571 0.5368 419
adirondack_chairs.ppm 496.39618937174475 30.715255737304688 0.8585729129415879 0.9562 0.5346 452
adirondack_chairs.ppm 473.71310679117835 29.27451833089193 0.8626214042382712 0.9604 0.5469 414
adirondack_chairs.ppm 445.1282501220703 28.66948445638021 0.8667300435726236 0.9659 0.5642 415
adirondack_chairs.ppm 467.120480855306 29.310696919759117 0.8651849524596599 0.9624 0.5627 416
adirondack_chairs.ppm 473.87380472819007 29.468175252278648 0.8658183559056477 0.9614 0.5520 426
adirondack_chairs.ppm 490.892812093099 31.197077433268227 0.8470124117636448 0.9595 0.5430 433
adirondack_chairs.ppm 487.91188049316406 30.48566691080729 0.8550581384680053 0.9572 0.5427 427
adirondack_chairs.ppm 438.87781016031903 28.757815043131508 0.8699584298724615 0.9612 0.5539 445
adirondack_chairs.ppm 466.056884765625 29.645919799804688 0.8604402268656356 0.9581 0.5497 411
adirondack_chairs.ppm 483.44361623128253 30.776832580566406 0.850107087077646 0.9577 0.5450 439
adirondack_chairs.ppm 458.12758127848304 29.128262837727867 0.8549524934986096 0.9661 0.5617 407
adirondack_chairs.ppm 487.8417434692383 30.675977071126304 0.8628316056663156 0.9565 0.5363 426
adirondack_chairs.ppm 461.9979248046875 28.732396443684895 0.8605652639053373 0.9624 0.5627 445
adirondack_chairs.ppm 471.68240102132165 30.790952046712242 0.8512568523261269 0.9550 0.5396 405
adirondack_chairs.ppm 499.52457427978516 31.70383961995443 0.8465109361054978 0.9543 0.5420 451
astro_bodies.ppm 377.7347666422526 25.872390747070312 0.7191827822757477 0.9352 0.5416 458
astro_bodies.ppm 377.56799062093097 25.94309743245443 0.7084970853539373 0.9323 0.5259 418
