Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 526.2679061889648 32.01496124267578 0.8502188018169621 0.9547 0.5288 21
adirondack_chairs.ppm 517.9496180216472 31.322313944498696 0.8434002755557941 0.9600 0.5437 19
adirondack_chairs.ppm 574.932746887207 33.84503936767578 0.8294081965582984 0.9524 0.5206 20
adirondack_chairs.ppm 540.6012852986654 33.22334543863932 0.8376946550705512 0.9521 0.5414 21
adirondack_chairs.ppm 525.9227015177408 31.912686665852863 0.8485915386292553 0.9573 0.5362 20
adirondack_chairs.ppm 476.7353083292643 31.0632807413737 0.8486123915706192 0.9547 0.5292 19
adirondack_chairs.ppm 483.13268025716144 29.770833333333332 0.8603105996668803 0.9557 0.5364 20
adirondack_chairs.ppm 560.5222981770833 33.00340779622396 0.8395778354037183 0.9502 0.5458 20
adirondack_chairs.ppm 528.5673421223959 31.267257690429688 0.8571453998167758 0.9499 0.5253 19
adirondack_chairs.ppm 587.2249552408854 33.87769571940104 0.8289042576663466 0.9460 0.5163 21
adirondack_chairs.ppm 500.08137257893884 30.224998474121094 0.8555311231585857 0.9607 0.5314 20
adirondack_chairs.ppm 554.7504221598307 33.206319173177086 0.8375457099832292 0.9528 0.5342 21
adirondack_chairs.ppm 617.9707056681316 34.28764088948568 0.8175360837071933 0.9443 0.5149 20
adirondack_chairs.ppm 496.96875 30.99836222330729 0.8483289155996504 0.9565 0.5352 21
adirondack_chairs.ppm 547.532834370931 31.509676615397133 0.840337758870337 0.9546 0.5240 20
adirondack_chairs.ppm 589.6625239054362 33.46849822998047 0.8383985513116473 0.9556 0.5283 20
adirondack_chairs.ppm 595.811897277832 34.208752950032554 0.8349132374311865 0.9499 0.5200 20
adirondack_chairs.ppm 573.9947026570638 32.91526540120443 0.845457887832211 0.9483 0.5254 20
adirondack_chairs.ppm 476.30735778808594 30.635665893554688 0.8547799624312068 0.9624 0.5473 20
adirondack_chairs.ppm 565.7090123494465 33.230690002441406 0.8455700934249227 0.9522 0.5340 21
astro_bodies.ppm 503.01114145914715 31.319557189941406 0.6826880429807929 0.9295 0.5253 20
astro_bodies.ppm 505.47264099121094 30.359100341796875 0.6726772808557349 0.9213 0.5031 21
astro_bodies.ppm 440.2012354532877 29.107638041178383 0.6789625582583442 0.9302 0.5388 20
astro_bodies.ppm 389.7787755330404 26.455889383951824 0.7157001014121424 0.9249 0.5104 22
astro_bodies.ppm 421.0903116861979 27.019805908203125 0.7163223952346423 0.9290 0.5187 20
astro_bodies.ppm 577.2000706990559 33.705980936686196 0.6356197003652065 0.9188 0.5038 20
astro_bodies.ppm 414.3031590779623 27.954633076985676 0.6829022346356205 0.9352 0.5336 21
astro_bodies.ppm 485.58720652262366 30.813743591308594 0.6865181704006824 0.9231 0.5023 21
astro_bodies.ppm 576.0138676961262 33.97568003336588 0.6644593258867225 0.9226 0.5177 20
astro_bodies.ppm 564.2433751424154 33.34143829345703 0.6765190131003638 0.9128 0.4839 20
astro_bodies.ppm 416.721066792806 27.1722895304362 0.7687371454518138 0.9304 0.5400 19
astro_bodies.ppm 593.5387166341146 36.345794677734375 0.6314743640350059 0.9191 0.5179 21
astro_bodies.ppm 368.7383168538411 25.956049601236977 0.6978676242660277 0.9363 0.5475 19
astro_bodies.ppm 426.53907775878906 27.64544677734375 0.7042245723928726 0.9238 0.5085 19
astro_bodies.ppm 686.2492548624674 36.91827646891276 0.6710616598869515 0.9169 0.5155 20
astro_bodies.ppm 658.1081008911133 36.69903310139974 0.6281925049600119 0.9160 0.5158 20
astro_bodies.ppm 602.3252283732096 36.350257873535156 0.6397110864722609 0.9171 0.4967 21
astro_bodies.ppm 510.33945719401044 33.432454427083336 0.6403543870703379 0.9157 0.4920 19
astro_bodies.ppm 452.5758514404297 29.25714111328125 0.6650659972074244 0.9325 0.5376 22
astro_bodies.ppm 616.0634943644205 36.966407775878906 0.6273443590421404 0.9273 0.5248 20
astronaut.ppm 344.6692174275716 26.682238260904946 0.807057710718487 0.9239 0.4906 21
astronaut.ppm 406.3214569091797 27.922332763671875 0.7532318176607936 0.9274 0.4791 21
