Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1868.9196345011392 60.42713165283203 0.6907286559710822 0.8557 0.3643 19
adirondack_chairs.ppm 1987.4344202677407 62.613766988118485 0.7070468607224402 0.8755 0.3870 20
adirondack_chairs.ppm 2072.0337626139326 61.64146423339844 0.7151489104434937 0.8760 0.3744 19
adirondack_chairs.ppm 3145.7637736002607 78.02513631184895 0.6697009491220345 0.8785 0.3954 28
adirondack_chairs.ppm 2048.585922241211 58.6479746500651 0.7268065961972482 0.8891 0.3909 19
adirondack_chairs.ppm 1922.9434687296548 61.3543217976888 0.7032497553940122 0.8789 0.3751 20
adirondack_chairs.ppm 1765.187355041504 55.653210957845054 0.7438776909617796 0.8944 0.4013 19
adirondack_chairs.ppm 2036.1207478841147 59.44276428222656 0.7290004947054607 0.8914 0.3890 17
adirondack_chairs.ppm 1955.609919230143 61.10994466145833 0.719890698041981 0.8651 0.3775 19
adirondack_chairs.ppm 1908.0350341796875 59.10839335123698 0.7208139921150699 0.8816 0.3747 19
adirondack_chairs.ppm 2392.3157755533853 67.80068969726562 0.6734769665730772 0.8509 0.3689 29
adirondack_chairs.ppm 2136.4733225504556 63.42325846354167 0.6979017164498709 0.8673 0.3669 19
adirondack_chairs.ppm 1938.186299641927 60.44205220540364 0.7087460618019067 0.8849 0.3733 18
adirondack_chairs.ppm 2098.8403574625654 62.98857116699219 0.6976772398091051 0.8782 0.3737 19
adirondack_chairs.ppm 2257.2471822102866 63.21273295084636 0.7234191454713583 0.8869 0.3971 18
adirondack_chairs.ppm 2316.6197942097983 68.08265431722005 0.6800215605347991 0.8786 0.3691 19
adirondack_chairs.ppm 2095.462214152018 63.16905212402344 0.6960649593242536 0.8781 0.4169 19
adirondack_chairs.ppm 2519.197301228841 69.06511433919272 0.6756798909840884 0.8567 0.3649 18
adirondack_chairs.ppm 2264.7171223958335 64.85726420084634 0.6839831158049051 0.8598 0.3690 19
adirondack_chairs.ppm 2078.6007664998374 63.177731831868485 0.6993113611873266 0.8765 0.3859 18
astro_bodies.ppm 2433.983904520671 65.11493682861328 0.5865815587972992 0.8172 0.3871 19
astro_bodies.ppm 1450.5858917236328 49.351348876953125 0.648278569241342 0.8515 0.4035 19
astro_bodies.ppm 2053.904261271159 61.258097330729164 0.5804598812149112 0.8241 0.3951 17
astro_bodies.ppm 3822.9307886759443 77.58673858642578 0.5864190110676126 0.8017 0.3662 18
astro_bodies.ppm 2159.5464248657227 60.52867889404297 0.6389731220035317 0.8457 0.4283 19
