Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1383.8743998209636 51.38643391927083 0.7481520183099312 0.9101 0.4178 33
adirondack_chairs.ppm 1402.2263514200847 50.922228495279946 0.7557367317714947 0.9004 0.4226 31
adirondack_chairs.ppm 1339.8798319498699 51.00058492024739 0.7531263864996559 0.9079 0.4181 33
adirondack_chairs.ppm 1236.145268758138 48.1629638671875 0.7662536272084299 0.9002 0.4349 33
adirondack_chairs.ppm 1397.9276275634766 51.29005432128906 0.7432193661813203 0.9195 0.4367 33
adirondack_chairs.ppm 1195.7484283447266 46.973103841145836 0.7664791415111617 0.9215 0.4527 33
adirondack_chairs.ppm 1350.0177536010742 49.97792307535808 0.7643109755625112 0.9180 0.4539 31
adirondack_chairs.ppm 1564.7043279012046 53.87446848551433 0.7489278135583107 0.9067 0.4468 33
adirondack_chairs.ppm 1429.3529307047527 50.92032368977865 0.7650441986424633 0.9196 0.4407 34
adirondack_chairs.ppm 1878.5452575683594 58.88143412272135 0.7139500622407277 0.8750 0.4016 33
adirondack_chairs.ppm 1415.107587178548 50.54966990152995 0.7682956220887002 0.9101 0.4374 34
adirondack_chairs.ppm 1398.3084106445312 49.098653157552086 0.759769678798249 0.9109 0.4183 33
adirondack_chairs.ppm 1590.7383880615234 51.82975260416667 0.7531587425707981 0.8963 0.4104 33
adirondack_chairs.ppm 1424.6190338134766 52.28053283691406 0.7501044541600899 0.8944 0.4061 34
adirondack_chairs.ppm 1448.4954325358074 51.335062662760414 0.7476411801679136 0.9024 0.4100 34
adirondack_chairs.ppm 1046.6406758626301 43.92963663736979 0.7913076436643709 0.9213 0.4476 34
adirondack_chairs.ppm 1539.4079818725586 54.143287658691406 0.73739021287569 0.9105 0.4289 34
adirondack_chairs.ppm 1599.0998229980469 53.34312438964844 0.7450931803031864 0.9053 0.4073 34
adirondack_chairs.ppm 1442.1778615315757 51.676808675130204 0.7481453527524558 0.9139 0.4289 34
adirondack_chairs.ppm 1000.2887598673502 43.762840270996094 0.7889003928011559 0.9286 0.4581 33
astro_bodies.ppm 3796.1886622111006 68.80874888102213 0.644448210133943 0.8494 0.4402 33
astro_bodies.ppm 1902.5936228434243 60.32874552408854 0.6111023328113557 0.8470 0.4108 33
astro_bodies.ppm 1943.04638671875 59.105682373046875 0.6071053002020073 0.8307 0.3928 34
astro_bodies.ppm 2410.243230183919 57.215825398763016 0.6116245044818834 0.8674 0.4686 33
astro_bodies.ppm 1118.0456263224282 46.77001190185547 0.6308763961558778 0.8689 0.4248 34
astro_bodies.ppm 1308.4942372639973 47.53788757324219 0.6498914942575928 0.8794 0.4353 34
astro_bodies.ppm 1092.8098678588867 47.25635528564453 0.6052122681412143 0.8712 0.4376 34
astro_bodies.ppm 1768.8784306844077 56.95420583089192 0.597453898765127 0.8494 0.4174 31
astro_bodies.ppm 3126.040761311849 73.68468729654947 0.5921875925388499 0.8347 0.4097 33
astro_bodies.ppm 1807.7788009643555 54.639427185058594 0.5708678259355233 0.8775 0.4722 33
astro_bodies.ppm 1811.804857889811 57.481788635253906 0.6325912131794168 0.8413 0.3857 33
astro_bodies.ppm 5160.307535807292 84.3526357014974 0.5942985577906553 0.8261 0.4595 33
astro_bodies.ppm 2730.420956929525 68.8950932820638 0.5956313326310982 0.8422 0.3995 32
astro_bodies.ppm 1152.186976114909 43.74389139811198 0.7055892982757807 0.8797 0.4585 32
astro_bodies.ppm 1140.5067749023438 45.700205485026046 0.6140493038484592 0.8709 0.4450 33
astro_bodies.ppm 2777.427764892578 67.47891743977866 0.5891411357669509 0.8469 0.4260 33
astro_bodies.ppm 1397.1666005452475 53.658014933268234 0.5602858913618527 0.8562 0.4118 33
astro_bodies.ppm 900.8574905395508 42.37864430745443 0.5930308077178302 0.8935 0.4661 33
astro_bodies.ppm 1897.9220097859702 59.93153127034505 0.5774599003764312 0.8434 0.4061 32
astro_bodies.ppm 1290.6573282877605 46.565058390299484 0.6387748012388875 0.8641 0.4176 34
astronaut.ppm 798.0864741007488 41.01668039957682 0.7240837474500025 0.8328 0.3528 39
astronaut.ppm 1036.1622441609702 45.5040766398112 0.6925548180356668 0.8218 0.3439 39
astronaut.ppm 1441.8175659179688 51.753896077473954 0.6458705873059889 0.8604 0.4026 37
astronaut.ppm 788.703254699707 38.394920349121094 0.7466979592075754 0.8535 0.3875 37
astronaut.ppm 1158.0529352823892 45.93272654215495 0.7087977303051521 0.8249 0.3689 38
astronaut.ppm 1139.240269978841 46.65008544921875 0.7360447092362133 0.8506 0.3938 38
astronaut.ppm 1329.861348470052 48.228342692057296 0.7220533158863689 0.8254 0.3907 38
astronaut.ppm 717.5328648885092 36.23257700602214 0.7222144990872298 0.8513 0.3713 48
astronaut.ppm 1351.1577657063801 47.45770263671875 0.7405022245917712 0.8376 0.3832 37
astronaut.ppm 1389.3375040690103 51.526947021484375 0.7307794932212336 0.8106 0.3548 39
astronaut.ppm 804.6257120768229 39.3500722249349 0.7175385914371075 0.8483 0.3823 39
astronaut.ppm 1717.1580174763997 56.94434356689453 0.6827674119957833 0.8186 0.3839 39
astronaut.ppm 851.8180974324544 40.6276372273763 0.7601043266512909 0.8695 0.3911 39
astronaut.ppm 1552.96408589681 54.603383382161454 0.6962651104199455 0.8362 0.3882 39
astronaut.ppm 1716.6983668009439 57.572146097819015 0.6798011856930414 0.7924 0.3492 40
