Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 861.8169199625651 38.126393636067704 0.8243050433688 0.9375 0.4879 8
adirondack_chairs.ppm 759.2236353556315 36.51533762613933 0.8247291044299611 0.9342 0.4786 8
adirondack_chairs.ppm 747.6397323608398 36.60568491617838 0.8293852774638468 0.9388 0.4818 10
adirondack_chairs.ppm 734.2052663167318 35.3719736735026 0.8293241104819412 0.9454 0.4819 9
adirondack_chairs.ppm 735.4319407145182 35.52385965983073 0.8364063716305381 0.9366 0.4735 10
adirondack_chairs.ppm 718.0439682006836 35.865089416503906 0.8290095369016123 0.9432 0.4866 8
adirondack_chairs.ppm 772.574239095052 37.27755228678385 0.8226381940678732 0.9422 0.4985 9
adirondack_chairs.ppm 829.8781127929688 38.24182637532552 0.8162538970783473 0.9316 0.4774 9
adirondack_chairs.ppm 733.636942545573 35.063629150390625 0.8372313259585504 0.9451 0.4982 8
adirondack_chairs.ppm 774.5932998657227 35.174400329589844 0.8336867830717637 0.9437 0.4956 8
adirondack_chairs.ppm 665.9639663696289 34.39816029866536 0.8268425941182169 0.9460 0.4904 9
adirondack_chairs.ppm 894.3741938273112 37.39816538492838 0.8168150519599556 0.9360 0.4790 9
adirondack_chairs.ppm 727.0390803019206 35.12943776448567 0.8393095404001091 0.9423 0.4969 9
adirondack_chairs.ppm 751.4244944254558 35.490839640299484 0.8338908238962262 0.9408 0.4770 9
adirondack_chairs.ppm 780.9311218261719 37.35736083984375 0.8266506080431131 0.9393 0.4830 9
adirondack_chairs.ppm 762.9508692423503 36.25951385498047 0.8257962887611394 0.9370 0.4818 9
adirondack_chairs.ppm 698.6966196695964 34.47161356608073 0.8421686457632219 0.9461 0.5052 8
adirondack_chairs.ppm 795.2578150431316 36.775978088378906 0.8348706923528827 0.9471 0.5082 8
adirondack_chairs.ppm 785.0416488647461 36.713488260904946 0.8277923209185195 0.9452 0.4867 8
adirondack_chairs.ppm 792.6724014282227 36.98709360758463 0.8323712973380023 0.9424 0.4919 9
