Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 383.0532989501953 26.69214884440104 0.8788984395925579 0.9647 0.5686 20
adirondack_chairs.ppm 359.3092803955078 25.754801432291668 0.8864942206456758 0.9654 0.5763 21
adirondack_chairs.ppm 363.25272878011066 25.58235422770182 0.885121669746063 0.9642 0.5731 20
adirondack_chairs.ppm 412.05533091227215 27.468345642089844 0.8776917603938251 0.9622 0.5680 20
adirondack_chairs.ppm 343.3326899210612 25.377108256022133 0.8857117539106628 0.9675 0.5770 20
adirondack_chairs.ppm 359.2441762288412 25.196426391601562 0.8923368918116373 0.9662 0.5807 21
adirondack_chairs.ppm 362.8580907185872 25.8162358601888 0.8823913229530495 0.9655 0.5828 21
adirondack_chairs.ppm 360.52344767252606 26.545354207356773 0.8746241486784769 0.9689 0.5867 21
adirondack_chairs.ppm 404.0582148234049 27.722679138183594 0.8722452038512029 0.9655 0.5710 20
adirondack_chairs.ppm 436.33727518717444 28.529871622721352 0.8710135555420658 0.9624 0.5632 20
adirondack_chairs.ppm 353.46421305338544 25.384618123372398 0.8871241652919245 0.9672 0.5798 21
adirondack_chairs.ppm 378.71539306640625 25.88287353515625 0.8830778505020241 0.9644 0.5785 19
adirondack_chairs.ppm 408.0713348388672 27.462305704752605 0.8729645826891511 0.9597 0.5652 19
adirondack_chairs.ppm 348.9224294026693 25.40417989095052 0.8813795582212465 0.9681 0.5876 21
adirondack_chairs.ppm 346.58880615234375 25.53485107421875 0.8850026932815616 0.9670 0.5886 21
adirondack_chairs.ppm 372.7883122762044 26.437049865722656 0.883021898016267 0.9685 0.5887 22
adirondack_chairs.ppm 361.4879633585612 25.694491068522137 0.8829640295531807 0.9659 0.5821 21
adirondack_chairs.ppm 347.04080454508465 25.4599126180013 0.8871149807055744 0.9696 0.5752 20
adirondack_chairs.ppm 420.86728413899743 27.58588663736979 0.8752500444573427 0.9606 0.5692 20
adirondack_chairs.ppm 388.92003885904944 26.963155110677086 0.8797094767581125 0.9647 0.5789 21
astro_bodies.ppm 288.15721130371094 23.538945515950523 0.686560083304491 0.9389 0.5545 19
astro_bodies.ppm 233.19367218017578 20.242164611816406 0.7427160308935833 0.9485 0.5832 20
astro_bodies.ppm 287.1336669921875 22.741012573242188 0.7347128118500303 0.9406 0.5697 19
astro_bodies.ppm 298.83443196614587 23.183024088541664 0.7011120946594329 0.9350 0.5422 20
astro_bodies.ppm 267.4341125488281 20.917124430338543 0.7577824325238184 0.9389 0.5666 21
astro_bodies.ppm 240.90196482340494 20.691393534342446 0.7500499798734707 0.9486 0.5866 21
astro_bodies.ppm 307.1110534667969 22.768163045247398 0.7638924923901529 0.9464 0.6066 21
astro_bodies.ppm 282.1944529215495 22.62542724609375 0.7434579488009453 0.9470 0.5737 19
astro_bodies.ppm 307.0803756713867 22.383766174316406 0.7465554681946385 0.9393 0.5500 20
astro_bodies.ppm 286.92594146728516 22.225919087727867 0.7378117763819971 0.9369 0.5478 23
astro_bodies.ppm 241.5118586222331 19.10906728108724 0.8297991497591245 0.9475 0.5822 21
astro_bodies.ppm 235.4213358561198 18.32421366373698 0.8427524477504678 0.9484 0.5825 19
astro_bodies.ppm 246.94091542561847 21.844932556152344 0.7399936197345727 0.9499 0.5855 20
astro_bodies.ppm 250.86392466227215 19.312166849772137 0.8147782797573896 0.9462 0.5719 21
astro_bodies.ppm 252.39220428466797 19.154589335123696 0.8250894835492101 0.9442 0.5729 21
astro_bodies.ppm 329.87012227376306 21.05975850423177 0.8448880395581096 0.9321 0.5433 21
astro_bodies.ppm 280.77052052815753 21.26605478922526 0.7911125033003016 0.9427 0.5727 20
astro_bodies.ppm 295.27762095133465 24.91044362386068 0.6804150410186368 0.9416 0.5813 19
astro_bodies.ppm 245.5149180094401 19.851857503255207 0.791326555302425 0.9513 0.5858 21
astro_bodies.ppm 256.2589848836263 20.448758443196613 0.7692669305518124 0.9461 0.5799 19
astronaut.ppm 248.82123057047525 21.987520853678387 0.8349740051701163 0.9294 0.5015 20
astronaut.ppm 234.0298080444336 20.356539408365883 0.8438380264894763 0.9542 0.5308 20
astronaut.ppm 225.37824249267578 19.72071075439453 0.8492034524177395 0.9398 0.4995 20
astronaut.ppm 225.43507385253906 20.891281127929688 0.8306637999657557 0.9393 0.5125 21
astronaut.ppm 282.4723663330078 23.191736857096355 0.8380607967049944 0.9264 0.5013 20
astronaut.ppm 215.5299021402995 20.100921630859375 0.8401461527831698 0.9358 0.5035 20
astronaut.ppm 277.8240432739258 22.9081548055013 0.8208939459229008 0.9216 0.4791 20
astronaut.ppm 286.86083221435547 23.25217946370443 0.8103980672811312 0.9340 0.5015 22
astronaut.ppm 197.20570119222006 19.332740783691406 0.8453473035378075 0.9398 0.5117 21
astronaut.ppm 221.27674102783203 20.03028106689453 0.8364723191776845 0.9523 0.5139 20
astronaut.ppm 202.19178517659503 19.3500239054362 0.8407266196137018 0.9505 0.5331 21
astronaut.ppm 196.4924774169922 19.119720458984375 0.8594228881097244 0.9477 0.5420 19
astronaut.ppm 220.29190317789715 19.730567932128906 0.8479573126256833 0.9373 0.4991 19
astronaut.ppm 197.96653238932294 18.771947224934895 0.8626568361585093 0.9509 0.5480 21
astronaut.ppm 204.30631256103516 19.600405375162758 0.851092797607636 0.9407 0.5233 21
astronaut.ppm 239.12273661295575 20.603561401367188 0.8306947288716339 0.9407 0.4946 22
astronaut.ppm 215.11788431803387 20.223770141601562 0.8352680219903914 0.9433 0.4936 20
astronaut.ppm 190.78003946940103 19.626612345377602 0.8598561067113996 0.9555 0.5486 20
astronaut.ppm 299.3479690551758 23.359011332194008 0.8002635038443788 0.9271 0.4708 20
