Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1388.226577758789 47.89735921223958 0.8038111185915957 0.9190 0.4340 18
adirondack_chairs.ppm 1478.4155324300132 48.44248962402344 0.8061484963296538 0.9141 0.4665 20
adirondack_chairs.ppm 1267.3002446492512 45.5846430460612 0.8188941874472951 0.9285 0.4782 19
adirondack_chairs.ppm 1571.5792821248372 51.19807688395182 0.80279267325035 0.9173 0.4452 29
adirondack_chairs.ppm 1395.2241185506184 46.21698252360026 0.8155879504392546 0.9243 0.4502 18
adirondack_chairs.ppm 1265.3844299316406 47.15096537272135 0.8126108853184596 0.9175 0.4541 19
adirondack_chairs.ppm 1673.9090983072917 51.67620849609375 0.7983308851127949 0.9068 0.4383 19
adirondack_chairs.ppm 1295.0995712280273 46.62579091389974 0.8136140776010524 0.9301 0.4714 18
adirondack_chairs.ppm 1151.7048416137695 43.40909067789713 0.8108695012819648 0.9214 0.4525 28
adirondack_chairs.ppm 1734.6512959798176 52.70208231608073 0.786985299361238 0.9047 0.4352 18
adirondack_chairs.ppm 1552.585896809896 51.0768788655599 0.7856014430484732 0.9141 0.4608 19
adirondack_chairs.ppm 1525.3898951212566 51.096254984537765 0.795326267815004 0.9126 0.4596 19
adirondack_chairs.ppm 1250.9178797403972 46.470680236816406 0.8062331154386698 0.9250 0.4503 18
adirondack_chairs.ppm 1454.1574732462566 49.156628926595054 0.8017495763154786 0.9127 0.4680 18
adirondack_chairs.ppm 1554.3190790812173 49.585670471191406 0.803269852390601 0.9147 0.4395 19
adirondack_chairs.ppm 1687.106371561686 50.50059763590495 0.7970065381770596 0.9125 0.4584 19
adirondack_chairs.ppm 1264.3094126383464 46.06104532877604 0.8010487754527879 0.9072 0.4389 18
adirondack_chairs.ppm 1436.2643712361653 49.83714040120443 0.7863272396829997 0.9116 0.4365 28
adirondack_chairs.ppm 1292.7517191569011 45.879694620768234 0.8037627773207037 0.9114 0.4415 19
adirondack_chairs.ppm 1459.8780263264975 47.59114074707031 0.8013454036386912 0.9213 0.4718 19
astro_bodies.ppm 1153.8385060628254 39.67524210611979 0.7282838565758897 0.8686 0.4402 20
astro_bodies.ppm 1726.725969950358 49.140439351399735 0.7173024056051592 0.8755 0.4666 19
astro_bodies.ppm 1169.319788614909 42.93253072102865 0.7338029200237083 0.8736 0.4502 19
astro_bodies.ppm 1453.7183329264324 41.70051066080729 0.7981055983205628 0.8551 0.4422 19
astro_bodies.ppm 2186.372413635254 50.14386749267578 0.7678188840494095 0.8534 0.4311 19
astro_bodies.ppm 1080.5215759277344 35.8036142985026 0.8251653473448709 0.8813 0.4737 19
astro_bodies.ppm 1539.3894348144531 45.890131632486984 0.7506538723294415 0.8573 0.4204 18
astro_bodies.ppm 1562.119328816732 43.026123046875 0.7843797973217771 0.8646 0.4557 18
astro_bodies.ppm 2344.5135218302407 54.31108856201172 0.7488375738924185 0.8520 0.3915 18
astro_bodies.ppm 1096.5783004760742 39.47131601969401 0.7938690007685366 0.8744 0.4288 19
astro_bodies.ppm 836.151969909668 33.12975311279297 0.8369071183336741 0.8930 0.4731 19
astro_bodies.ppm 1831.2125345865886 53.215337117513016 0.6895836068008291 0.8559 0.4062 19
astro_bodies.ppm 1926.391153971354 50.82539367675781 0.7253039898835597 0.8453 0.4033 18
astro_bodies.ppm 1425.06751759847 42.13912709554036 0.8019777044568985 0.8725 0.4437 18
astro_bodies.ppm 1123.1839497884114 37.4281260172526 0.8112552382848591 0.8709 0.4465 19
astro_bodies.ppm 2817.591023763021 57.05857849121094 0.7334139828360127 0.8549 0.4146 28
astro_bodies.ppm 2045.1240514119468 48.79287974039714 0.7952216433880687 0.8633 0.4489 19
astro_bodies.ppm 951.780029296875 35.11924743652344 0.814284704556374 0.8768 0.4487 19
astro_bodies.ppm 1554.1950505574546 45.46164194742839 0.753561259489664 0.8333 0.3694 19
astro_bodies.ppm 1130.1885096232097 37.59280649820963 0.804001388449525 0.8847 0.4426 18
astronaut.ppm 817.834004720052 38.14972432454427 0.7658623813603059 0.8386 0.3792 19
astronaut.ppm 799.4086736043294 38.19032541910807 0.7714380130958057 0.8364 0.3641 28
astronaut.ppm 768.1096852620443 38.08092753092448 0.780364911328714 0.8659 0.3983 18
astronaut.ppm 931.4576873779297 37.80373636881511 0.8121606259611439 0.8684 0.4219 19
astronaut.ppm 1400.7128423055012 42.48230234781901 0.8136182490348428 0.8744 0.4522 19
astronaut.ppm 1157.5628407796225 45.44092305501302 0.7600016150463804 0.8337 0.3718 28
astronaut.ppm 556.9198710123698 31.355387369791664 0.7940142983081196 0.8797 0.4075 19
astronaut.ppm 1149.1337610880535 45.325218200683594 0.7473618609770262 0.8294 0.3575 18
astronaut.ppm 1086.071179707845 40.821739196777344 0.7856111622472483 0.8560 0.4035 30
astronaut.ppm 497.42376708984375 29.586827596028648 0.8064597569904746 0.8833 0.4147 20
astronaut.ppm 862.6165796915691 37.42444101969401 0.8040792279071197 0.8643 0.4353 18
astronaut.ppm 840.4284591674805 38.34255727132162 0.7998840705276137 0.8685 0.4108 19
astronaut.ppm 818.1596908569336 36.582506815592446 0.7897412469538544 0.8490 0.3897 19
astronaut.ppm 851.6170120239258 39.92943064371745 0.7617965919647136 0.8515 0.3930 29
astronaut.ppm 906.0995101928711 41.56130727132162 0.7697729073384237 0.8460 0.3850 18
astronaut.ppm 707.8823928833008 35.07692209879557 0.7821728854010468 0.8527 0.3871 19
astronaut.ppm 564.9843317667644 32.003013610839844 0.8093422429013603 0.8800 0.4097 20
astronaut.ppm 669.5927581787109 33.24592590332031 0.8088166199295471 0.8715 0.3928 19
astronaut.ppm 766.6312026977539 38.54021962483724 0.7603449808457503 0.8559 0.4164 29
astronaut.ppm 963.6345342000326 38.65224965413411 0.7982766550955391 0.8598 0.4118 19
balinese_dancer.ppm 744.0467987060547 25.719680786132812 0.8269210580587124 0.8862 0.3831 19
balinese_dancer.ppm 542.1268844604492 20.8456548055013 0.8584594972041923 0.9137 0.4369 19
balinese_dancer.ppm 676.7379887898762 22.726417541503906 0.8284143958960019 0.9234 0.4625 18
