Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 790.8612518310547 35.60895284016927 0.8499339095087851 0.9427 0.5063 37
adirondack_chairs.ppm 634.0137990315756 33.207255045572914 0.8631919529474027 0.9527 0.5397 36
adirondack_chairs.ppm 606.6273167928059 31.338528951009117 0.8697842398174359 0.9539 0.5372 35
adirondack_chairs.ppm 620.8134536743164 32.41516876220703 0.8616194890885097 0.9526 0.5144 36
adirondack_chairs.ppm 518.1510467529297 30.073516845703125 0.8781378163025081 0.9564 0.5339 35
adirondack_chairs.ppm 639.5773849487305 33.80346934000651 0.860854030498437 0.9489 0.5295 37
adirondack_chairs.ppm 701.9582926432291 33.30656941731771 0.8582964628773851 0.9498 0.5376 40
adirondack_chairs.ppm 640.5503438313802 32.775675455729164 0.8598583906397498 0.9489 0.5254 49
adirondack_chairs.ppm 568.7328109741211 32.28071848551432 0.8587815005539045 0.9544 0.5264 44
adirondack_chairs.ppm 556.4717992146809 31.19402313232422 0.8714325719746611 0.9563 0.5269 36
adirondack_chairs.ppm 845.9186121622722 35.61092885335287 0.8524623774738836 0.9459 0.5161 36
adirondack_chairs.ppm 719.0912195841471 34.00851694742838 0.8488715430518173 0.9504 0.5201 37
adirondack_chairs.ppm 711.9448420206705 33.84159596761068 0.8600079154691403 0.9463 0.5172 35
adirondack_chairs.ppm 807.3740056355794 36.6103032430013 0.8436951051495418 0.9420 0.5043 37
adirondack_chairs.ppm 645.44664255778 33.27376047770182 0.8625591171005564 0.9522 0.5261 36
adirondack_chairs.ppm 667.7235438028971 32.18428293863932 0.8662888216580552 0.9496 0.5349 36
adirondack_chairs.ppm 687.9136835734049 33.516115824381515 0.8554972159713358 0.9461 0.5195 37
adirondack_chairs.ppm 533.3623860677084 30.680638631184895 0.8767379378608746 0.9550 0.5366 36
adirondack_chairs.ppm 705.3458251953125 34.94279988606771 0.8532592083442424 0.9423 0.5088 35
adirondack_chairs.ppm 617.6346130371094 32.72294616699219 0.8621692993304263 0.9495 0.5081 37
adirondack_chairs.ppm 718.000384012858 34.754275004069015 0.8457779131940991 0.9422 0.5057 36
adirondack_chairs.ppm 667.2667185465494 34.10614522298177 0.851301269902316 0.9378 0.5055 36
adirondack_chairs.ppm 780.5445404052734 35.28756205240885 0.8534309207789521 0.9436 0.5122 37
adirondack_chairs.ppm 679.0034027099609 32.757893880208336 0.8620663117152579 0.9491 0.5189 36
adirondack_chairs.ppm 671.1983693440756 33.18282572428385 0.8652342578843801 0.9523 0.5404 36
adirondack_chairs.ppm 706.0841471354167 33.51138814290365 0.8535691608267107 0.9517 0.5282 36
adirondack_chairs.ppm 580.8476181030273 31.62694549560547 0.8631022226637746 0.9543 0.5314 36
astro_bodies.ppm 438.76331837972003 24.052146911621094 0.8533356523315666 0.9225 0.5121 36
astro_bodies.ppm 681.2703755696614 31.43585713704427 0.8186720553671386 0.9105 0.4888 37
astro_bodies.ppm 608.6609369913738 28.459322611490883 0.8220536473485146 0.9045 0.4710 37
astro_bodies.ppm 409.86901346842444 22.682530721028645 0.8554116617346037 0.9177 0.5384 36
astro_bodies.ppm 817.5701293945312 33.5101318359375 0.7880154925977111 0.8946 0.4708 37
astro_bodies.ppm 431.81218465169275 23.209126790364586 0.8501958798473126 0.9237 0.5260 36
astro_bodies.ppm 624.5284576416016 28.81883748372396 0.8211802554707984 0.9138 0.4987 36
astro_bodies.ppm 454.87832387288415 23.53401438395182 0.8447043221637274 0.9223 0.5198 35
astro_bodies.ppm 441.9925867716471 24.288597106933594 0.8488280191384558 0.9173 0.5146 36
astro_bodies.ppm 516.0516077677408 24.88600413004557 0.850369010720362 0.9130 0.5145 36
astro_bodies.ppm 1017.5837529500325 34.748181660970054 0.8131181636053945 0.8969 0.4804 36
astro_bodies.ppm 680.1517562866211 28.9850591023763 0.8106047918643187 0.9107 0.4716 35
astro_bodies.ppm 828.7145156860352 33.56950124104818 0.7901163679591848 0.8989 0.4670 37
astro_bodies.ppm 775.8931350708008 31.23510487874349 0.8026315282843489 0.8929 0.4634 34
astro_bodies.ppm 406.02441914876306 21.868001302083332 0.8634214777049193 0.9261 0.5406 35
astro_bodies.ppm 611.7666753133137 27.427762349446617 0.8380874722486203 0.8985 0.4565 37
astro_bodies.ppm 563.0238698323568 26.194951375325523 0.8470067547642407 0.9125 0.5113 36
astro_bodies.ppm 678.3161977132161 29.204086303710938 0.8127877965017487 0.8868 0.4487 37
astro_bodies.ppm 517.5836817423503 26.122622172037758 0.8470298382415803 0.9125 0.5027 37
astro_bodies.ppm 561.0056762695312 27.104471842447918 0.8217444870908918 0.9127 0.4908 35
astronaut.ppm 342.4532903035482 25.49218495686849 0.8220519494973942 0.9084 0.4510 42
astronaut.ppm 367.86168670654297 25.68048350016276 0.8074707801738645 0.9030 0.4293 40
astronaut.ppm 393.80070749918616 25.852200826009117 0.807215395789168 0.9138 0.4621 40
astronaut.ppm 437.0829442342123 28.012112935384117 0.8098352892050534 0.9040 0.4513 41
astronaut.ppm 341.56028747558594 23.637176513671875 0.8222650716899832 0.9262 0.4782 41
astronaut.ppm 311.2505747477214 22.283660888671875 0.8470598171635563 0.9127 0.4556 41
astronaut.ppm 383.9517135620117 25.22736358642578 0.8205318518066996 0.8997 0.4142 41
astronaut.ppm 336.36748250325525 23.436843872070312 0.836921937330196 0.9194 0.4760 42
astronaut.ppm 302.3930638631185 22.413866678873696 0.8408940554922261 0.9179 0.4559 40
astronaut.ppm 333.2764943440755 24.807861328125 0.8099236964829849 0.9255 0.4734 40
astronaut.ppm 354.9999008178711 25.235776265462242 0.8108381342176344 0.8954 0.4289 40
astronaut.ppm 653.1369679768881 32.7876942952474 0.792372647839264 0.8673 0.4144 40
astronaut.ppm 345.46886444091797 23.480252583821613 0.8329137969326376 0.9182 0.4434 40
astronaut.ppm 427.3179219563802 25.248636881510414 0.7997019737157564 0.8837 0.4186 40
astronaut.ppm 477.49683380126953 29.288658142089844 0.8010566809567763 0.8879 0.4324 43
astronaut.ppm 336.4339472452799 22.62164052327474 0.8363774179884217 0.9138 0.4566 41
astronaut.ppm 559.6608454386393 30.97523752848307 0.7866892617533071 0.8696 0.4089 40
astronaut.ppm 291.97719828287757 22.44647216796875 0.8416412399290351 0.9166 0.4801 41
astronaut.ppm 765.94677734375 38.55050150553385 0.7690970756340789 0.8766 0.4448 39
astronaut.ppm 318.51793162027997 23.101422627766926 0.8434579834048227 0.9230 0.4694 42
balinese_dancer.ppm 498.7798080444336 27.838528951009117 0.6511530372514868 0.9165 0.4616 36
balinese_dancer.ppm 309.3569768269857 17.021756490071613 0.8647410397003017 0.9386 0.4853 37
balinese_dancer.ppm 386.1874491373698 19.208201090494793 0.8473499399318202 0.9277 0.4762 36
balinese_dancer.ppm 662.1007588704427 32.90265401204427 0.6579841390722784 0.9188 0.4840 36
balinese_dancer.ppm 279.71718851725257 16.240692138671875 0.8847782554960201 0.9369 0.4890 36
balinese_dancer.ppm 507.34919230143225 29.801467895507812 0.6219510226463051 0.9169 0.4657 36
balinese_dancer.ppm 316.11158243815106 20.18010965983073 0.7634401363706709 0.9362 0.5076 35
balinese_dancer.ppm 636.2304941813151 32.57308451334635 0.6270414602963635 0.9136 0.4559 35
balinese_dancer.ppm 508.96165720621747 26.684979756673176 0.7473340787128916 0.9260 0.4786 35
balinese_dancer.ppm 1241.4119669596355 40.91058858235677 0.7005266226206105 0.8956 0.4610 37
balinese_dancer.ppm 469.45560455322266 25.072217305501304 0.74079324516245 0.9221 0.4707 36
balinese_dancer.ppm 405.8970514933268 21.715833028157554 0.7565049934745506 0.9301 0.4756 36
balinese_dancer.ppm 531.9581553141276 24.942265828450523 0.7531631587583144 0.9147 0.4338 36
balinese_dancer.ppm 542.4327163696289 27.422192891438804 0.6943893476323667 0.9037 0.4270 36
balinese_dancer.ppm 402.2903747558594 22.370920817057293 0.7516903823910175 0.9281 0.4603 37
balinese_dancer.ppm 588.638422648112 32.85035196940104 0.6177768093321928 0.9228 0.4861 36
balinese_dancer.ppm 353.07576497395837 17.8035888671875 0.8741564317250399 0.9332 0.4808 36
balinese_dancer.ppm 377.84196980794275 22.015981038411457 0.7567697575770641 0.9253 0.4702 36
balinese_dancer.ppm 634.534517923991 29.440900166829426 0.7237961634787432 0.9209 0.5077 37
balinese_dancer.ppm 354.07033284505206 17.717564900716148 0.8561359042599618 0.9257 0.4641 36
ball_caps.ppm 416.7983194986979 25.766810099283852 0.8139976397053471 0.8965 0.3668 36
ball_caps.ppm 532.8743438720703 28.50837198893229 0.7900345808679704 0.8996 0.3810 35
ball_caps.ppm 347.3969446818034 22.7421137491862 0.8380853933966624 0.9119 0.4356 37
ball_caps.ppm 335.81153615315753 23.507967631022133 0.8206720684415513 0.9090 0.3792 37
ball_caps.ppm 343.0845413208008 23.727699279785156 0.8141948055123319 0.9238 0.4000 36
ball_caps.ppm 396.24127197265625 25.045725504557293 0.799173972846638 0.9098 0.3883 36
ball_caps.ppm 304.9784240722656 23.06830342610677 0.8214987374662556 0.9207 0.4235 36
ball_caps.ppm 479.1851908365885 27.357442220052086 0.7995910502348483 0.8990 0.3933 36
ball_caps.ppm 366.8928578694662 25.11194864908854 0.8076159311076007 0.9035 0.3781 35
ball_caps.ppm 350.57557678222656 24.247334798177086 0.8169691412936887 0.9040 0.4064 36
ball_caps.ppm 380.02675374348956 26.023818969726562 0.7959194021124733 0.8999 0.3945 35
ball_caps.ppm 338.83799997965497 24.26995595296224 0.8140857708025014 0.9125 0.3840 36
ball_caps.ppm 464.92897542317706 28.086756388346352 0.7861992702166535 0.8793 0.3359 36
ball_caps.ppm 383.5161387125651 24.64166259765625 0.8053234647371833 0.8982 0.3982 36
ball_caps.ppm 448.9329172770182 27.799789428710938 0.8003737564811145 0.8916 0.3536 35
ball_caps.ppm 438.8923568725586 27.4681879679362 0.7883283715047238 0.8920 0.3400 36
ball_caps.ppm 402.0211003621419 25.13319651285807 0.8227576972689258 0.9068 0.3784 35
ball_caps.ppm 418.6514536539714 26.05083719889323 0.8167250521095587 0.9075 0.3849 35
ball_caps.ppm 307.2553380330404 21.863121032714844 0.8309702114495513 0.9139 0.3817 35
ball_caps.ppm 358.3665313720703 24.836654663085938 0.8090086557089823 0.9111 0.3786 37
birthday_baloons.ppm 1218.4797693888347 45.40269215901693 0.8138360637730345 0.8800 0.3301 37
birthday_baloons.ppm 675.2620544433594 29.94830322265625 0.829766130230312 0.8876 0.3616 37
birthday_baloons.ppm 1067.4257227579753 44.968198140462235 0.8203865932671038 0.8667 0.3011 37
birthday_baloons.ppm 776.3877690633138 37.60826873779297 0.8352087817988377 0.8860 0.3500 35
birthday_baloons.ppm 863.8010889689128 35.92340850830078 0.8219341526385673 0.8787 0.3393 36
birthday_baloons.ppm 1054.323163350423 43.80319468180338 0.8092913816091224 0.8742 0.3325 36
birthday_baloons.ppm 842.5773188273112 37.31820933024089 0.818039049038843 0.8798 0.3496 35
birthday_baloons.ppm 1033.9608510335286 45.602508544921875 0.8222688792861925 0.8752 0.3268 37
birthday_baloons.ppm 1405.0409749348958 38.7789052327474 0.8046635322499993 0.8599 0.3002 36
birthday_baloons.ppm 701.6439971923828 31.851806640625 0.826418900547676 0.8833 0.3327 36
birthday_baloons.ppm 807.8075688680013 35.14629872639974 0.8249818203636119 0.8791 0.3373 37
birthday_baloons.ppm 1506.9086380004883 54.21639760335286 0.811592952075789 0.8656 0.3208 36
