Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1872.3866373697917 57.552408854166664 0.7325850154281804 0.8748 0.3755 9
adirondack_chairs.ppm 1796.7156270345051 58.40543619791667 0.7293979588975633 0.8847 0.3871 10
adirondack_chairs.ppm 1821.275655110677 56.91519673665365 0.7280123010523235 0.8901 0.3985 10
adirondack_chairs.ppm 1834.8443196614583 57.02885945638021 0.7165374332109122 0.8811 0.3679 8
adirondack_chairs.ppm 1620.294354756673 54.657101949055985 0.7356773921519526 0.8941 0.3970 9
adirondack_chairs.ppm 1916.7497431437173 58.2838617960612 0.7130288830993559 0.8718 0.3724 9
adirondack_chairs.ppm 1866.70201365153 59.209963480631515 0.716290449436651 0.8760 0.4082 9
adirondack_chairs.ppm 1613.6375478108725 53.667058308919266 0.7255591130330971 0.8731 0.3613 8
adirondack_chairs.ppm 1909.487752278646 58.37837219238281 0.7228149748908708 0.8674 0.3842 8
adirondack_chairs.ppm 1704.046557108561 56.362363179524735 0.7347174811460487 0.8792 0.4068 8
adirondack_chairs.ppm 2000.3705876668294 63.15659840901693 0.696144808254906 0.8631 0.3770 9
adirondack_chairs.ppm 1575.369280497233 53.287574768066406 0.7368334989076671 0.8884 0.3913 8
adirondack_chairs.ppm 1648.6118469238281 55.48563639322917 0.7451104290224405 0.8779 0.3962 10
adirondack_chairs.ppm 1362.1630299886067 49.20845031738281 0.7687253787021198 0.8948 0.4219 10
adirondack_chairs.ppm 1700.7257588704429 53.099985758463546 0.7314180411399319 0.8970 0.3922 9
adirondack_chairs.ppm 1919.2571919759116 62.141916910807296 0.6911202733348532 0.8912 0.3926 9
adirondack_chairs.ppm 1919.3116302490234 57.77507019042969 0.7107275478675801 0.8678 0.3554 9
adirondack_chairs.ppm 1543.9847691853843 53.44070688883463 0.7312655907929981 0.8937 0.4032 8
adirondack_chairs.ppm 1714.645278930664 56.263336181640625 0.7311683957859079 0.8913 0.3930 8
adirondack_chairs.ppm 1620.2329025268555 54.567222595214844 0.7196024841634849 0.8801 0.3922 9
astro_bodies.ppm 948.0641072591145 35.44287109375 0.7572343605439822 0.8545 0.4129 9
astro_bodies.ppm 914.7599029541016 34.981048583984375 0.7715655704392234 0.8644 0.4005 8
astro_bodies.ppm 1328.3039220174153 47.66973114013672 0.5702368467312818 0.8404 0.3851 8
astro_bodies.ppm 1044.8725179036458 38.53228759765625 0.729915564670743 0.8833 0.4318 8
astro_bodies.ppm 1748.7413075764973 56.21038309733073 0.5757222619687257 0.8483 0.4205 8
astro_bodies.ppm 1223.45263671875 47.47050984700521 0.6349138216888582 0.8608 0.4179 8
astro_bodies.ppm 871.2130508422852 36.144543965657554 0.690722369739615 0.8741 0.4300 8
astro_bodies.ppm 971.8786214192708 34.884358723958336 0.8011214103143721 0.8969 0.4593 8
astro_bodies.ppm 953.2431360880535 36.199974060058594 0.75282570425738 0.8809 0.4316 8
astro_bodies.ppm 1217.7720464070637 44.50469716389974 0.7140027332863581 0.8589 0.4261 8
astro_bodies.ppm 1554.3468831380208 46.666839599609375 0.6485025743461678 0.8711 0.4483 9
astro_bodies.ppm 907.3291397094727 36.54345957438151 0.7198564171809231 0.8686 0.4215 8
astro_bodies.ppm 1564.6273396809895 44.481903076171875 0.7409984645327498 0.8423 0.3803 8
astro_bodies.ppm 1115.3152491251626 39.175732930501304 0.732709748173134 0.8605 0.4313 8
astro_bodies.ppm 1136.1975123087564 42.600710550944015 0.7160828325376692 0.8665 0.4336 8
astro_bodies.ppm 1733.8448537190754 53.9311269124349 0.6180551910559897 0.8586 0.4005 8
astro_bodies.ppm 1376.7554372151692 53.8520762125651 0.5696424632039968 0.8751 0.4344 8
astro_bodies.ppm 1246.1271107991538 46.21163431803385 0.6457847061704562 0.8609 0.4275 9
astro_bodies.ppm 1113.1358795166016 43.16718037923177 0.6450669666886699 0.8578 0.4251 9
astro_bodies.ppm 1204.0563710530598 41.84205118815104 0.7204022501136481 0.8467 0.4029 8
astronaut.ppm 1608.9724375406902 58.120432535807296 0.6709196225476385 0.7901 0.3263 9
astronaut.ppm 1012.0828145345051 45.36522928873698 0.695632477121985 0.8410 0.3753 10
astronaut.ppm 1014.2988840738933 43.84530131022136 0.7353291822673357 0.8240 0.3632 7
astronaut.ppm 886.1972401936849 40.55353800455729 0.7305662956025788 0.8477 0.3746 8
astronaut.ppm 662.6115951538086 35.26592254638672 0.7935575842158977 0.8817 0.4324 8
astronaut.ppm 978.8656438191731 44.399269104003906 0.6847982493955472 0.8438 0.3786 8
astronaut.ppm 1023.5092926025391 45.42757670084635 0.709211154382201 0.8475 0.3763 9
astronaut.ppm 748.7707392374674 37.37578582763672 0.75937658363249 0.8555 0.3762 10
astronaut.ppm 685.2372792561849 34.65547180175781 0.7470301993606171 0.8622 0.3886 9
astronaut.ppm 1061.848971048991 43.538780212402344 0.7464731050973809 0.8548 0.4138 8
astronaut.ppm 855.734484354655 39.85272471110026 0.7434960424193369 0.8439 0.3833 9
astronaut.ppm 925.0205103556315 43.877123514811196 0.7242537801713896 0.8245 0.3517 9
astronaut.ppm 808.4312159220377 38.985923767089844 0.7469680064671382 0.8484 0.3635 7
astronaut.ppm 797.6629409790039 40.030443827311196 0.7324941203603714 0.8389 0.3710 9
astronaut.ppm 1682.6364364624023 59.216540018717446 0.6857038289131686 0.8131 0.3542 9
astronaut.ppm 715.870719909668 35.96880340576172 0.7155701593961631 0.8583 0.3793 8
astronaut.ppm 1280.2170435587566 50.87036895751953 0.6882522793021894 0.8040 0.3392 8
astronaut.ppm 980.3464075724285 41.04288991292318 0.7177179293279202 0.8514 0.3730 9
astronaut.ppm 1119.879450480143 48.22128804524739 0.7011197278288707 0.7962 0.3230 9
astronaut.ppm 1082.5883865356445 45.28434499104818 0.6834622752113173 0.8340 0.3614 10
balinese_dancer.ppm 1106.0600229899087 37.10614522298177 0.5428926957942869 0.8352 0.3161 7
balinese_dancer.ppm 950.9833170572917 36.48200988769531 0.652982378182554 0.8525 0.3474 8
balinese_dancer.ppm 951.8175811767578 34.58497619628906 0.5414401889391202 0.8543 0.3338 7
balinese_dancer.ppm 827.9061177571615 37.262385050455734 0.6010652955654984 0.8606 0.3641 8
balinese_dancer.ppm 998.3725560506184 38.5383783976237 0.4821729435917506 0.8556 0.3476 7
