Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1094.6751251220703 45.24906921386719 0.7844142541796758 0.9226 0.4548 33
adirondack_chairs.ppm 1184.1240310668945 45.35901641845703 0.7781325914913607 0.9163 0.4288 32
adirondack_chairs.ppm 1493.8554178873699 52.927714029947914 0.74791429696728 0.8922 0.4041 33
adirondack_chairs.ppm 1485.3897196451824 51.9374745686849 0.7448589810919217 0.8976 0.4163 33
adirondack_chairs.ppm 1154.2086842854817 45.01116434733073 0.7845656696301558 0.9292 0.4509 33
adirondack_chairs.ppm 1458.8076807657878 49.665835062662765 0.7838771851358358 0.9112 0.4346 31
adirondack_chairs.ppm 1294.120018005371 48.312583923339844 0.7725966581093177 0.9225 0.4307 33
adirondack_chairs.ppm 1358.0577672322593 48.658398946126304 0.7602406256588353 0.9135 0.4418 33
adirondack_chairs.ppm 1311.3758494059246 50.59663391113281 0.7524155032149671 0.9163 0.4383 33
adirondack_chairs.ppm 1067.5328267415364 43.914311726888016 0.7949735816539537 0.9183 0.4491 33
adirondack_chairs.ppm 1213.7402165730796 46.9444096883138 0.7941960978864505 0.9246 0.4533 32
adirondack_chairs.ppm 1295.606953938802 48.35072835286458 0.7733296908977411 0.9143 0.4333 31
adirondack_chairs.ppm 1363.0778884887695 49.74057261149089 0.7613623932526284 0.9164 0.4371 33
adirondack_chairs.ppm 1237.4506479899087 44.70938618977865 0.7926987555437562 0.9090 0.4281 33
adirondack_chairs.ppm 1453.6341374715169 51.71693166097005 0.7676801170037547 0.9121 0.4124 33
adirondack_chairs.ppm 1264.536137898763 47.88440958658854 0.7847294218782256 0.9150 0.4265 33
adirondack_chairs.ppm 1461.8176294962564 52.235374450683594 0.7579482195509842 0.9028 0.4393 33
adirondack_chairs.ppm 1220.8772048950195 47.97578684488932 0.7758824748523577 0.9137 0.4518 33
adirondack_chairs.ppm 1145.1469141642253 44.79560089111328 0.7944721453119447 0.9213 0.4584 33
adirondack_chairs.ppm 1446.8152542114258 52.21945444742839 0.7577073406597462 0.9148 0.4274 33
astro_bodies.ppm 849.1581726074219 33.41974385579427 0.7988884267411102 0.8847 0.4475 33
