Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1527.200922648112 49.44122314453125 0.7680731704474502 0.9094 0.4019 7
adirondack_chairs.ppm 1647.2760670979817 52.99453226725261 0.740446018058166 0.8985 0.3940 8
adirondack_chairs.ppm 1421.6699091593425 49.778551737467446 0.7429222177587534 0.9013 0.3880 7
adirondack_chairs.ppm 1480.742800394694 48.82257843017578 0.7784854844864384 0.9028 0.4205 7
adirondack_chairs.ppm 1559.1592661539712 50.088348388671875 0.7444184640446384 0.8994 0.3806 7
adirondack_chairs.ppm 1553.7396570841472 51.25285085042317 0.7486999543283486 0.9006 0.3877 7
adirondack_chairs.ppm 1822.7875289916992 57.35386403401692 0.6887988407358979 0.8800 0.3702 7
adirondack_chairs.ppm 1488.074048360189 48.9757563273112 0.7677802684043433 0.9133 0.4127 7
adirondack_chairs.ppm 1616.14911142985 52.26609547932942 0.7266500562960131 0.8984 0.3834 7
adirondack_chairs.ppm 1661.400723775228 51.08472442626953 0.7592091095576589 0.8859 0.3909 6
adirondack_chairs.ppm 1643.0467020670571 51.199940999348954 0.7557164020904562 0.9042 0.4074 7
adirondack_chairs.ppm 1567.9214096069336 50.73794809977214 0.7374117872325249 0.8966 0.3881 7
adirondack_chairs.ppm 1226.4356740315757 46.90473937988281 0.76422616317085 0.9062 0.4284 7
adirondack_chairs.ppm 1681.822809855143 50.39132181803386 0.7724295960674706 0.9199 0.4067 7
adirondack_chairs.ppm 1837.8933181762695 54.16907501220703 0.7361275266761905 0.8891 0.3898 7
adirondack_chairs.ppm 1567.1471150716147 49.675959269205734 0.7532812999022361 0.9112 0.4295 7
adirondack_chairs.ppm 1573.7069498697915 50.41877746582031 0.7486909422324987 0.9092 0.4017 6
adirondack_chairs.ppm 1576.4173227945962 50.211420694986984 0.7537436602444316 0.9038 0.3963 6
adirondack_chairs.ppm 1747.3781153361 53.61779022216797 0.7319934549398938 0.8829 0.3946 7
adirondack_chairs.ppm 1614.4505208333333 50.87172444661458 0.7590693708564702 0.9117 0.3945 6
astro_bodies.ppm 1120.411532084147 37.93803151448568 0.7751380428261826 0.8406 0.3746 7
astro_bodies.ppm 1188.13446299235 38.648877461751304 0.7938641752328449 0.8657 0.4071 7
astro_bodies.ppm 1108.7038319905598 37.71528625488281 0.7677082685362125 0.8537 0.3884 7
astro_bodies.ppm 1013.3145014444988 35.111610412597656 0.7932662401385309 0.8682 0.4359 7
astro_bodies.ppm 1055.002805074056 35.98323313395183 0.7931943832179152 0.8841 0.4537 7
astro_bodies.ppm 851.9557622273763 33.439511617024735 0.7605380577018054 0.8782 0.4483 7
astro_bodies.ppm 1189.9500045776367 38.46481068929037 0.7744313002526143 0.8544 0.4085 7
astro_bodies.ppm 781.2429326375325 31.038693745930992 0.7929800910788568 0.8723 0.4484 8
