Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1075.0711517333984 43.411102294921875 0.8062834351315623 0.9300 0.4754 11
adirondack_chairs.ppm 923.149808247884 41.181236267089844 0.8050642032997298 0.9333 0.4567 12
adirondack_chairs.ppm 986.5594635009766 41.85103352864583 0.8008415330666397 0.9260 0.4387 10
adirondack_chairs.ppm 910.8510767618815 40.700462341308594 0.8066964182127249 0.9299 0.4465 10
adirondack_chairs.ppm 958.9276809692383 41.282386779785156 0.8065437823794483 0.9341 0.4575 10
adirondack_chairs.ppm 1206.7554372151692 46.572270711263016 0.7706708124922503 0.9226 0.4355 10
adirondack_chairs.ppm 995.0630009969075 41.75568389892578 0.7998567716951301 0.9377 0.4541 11
adirondack_chairs.ppm 1122.6204732259114 44.98028564453125 0.7832026858330563 0.9197 0.4246 10
adirondack_chairs.ppm 941.7437057495117 41.64386749267578 0.8005301704016365 0.9290 0.4587 9
adirondack_chairs.ppm 963.6278940836589 41.66431681315104 0.7969044733411913 0.9370 0.4634 10
adirondack_chairs.ppm 905.7401911417643 39.82801055908203 0.8099786473581885 0.9412 0.4595 10
adirondack_chairs.ppm 1125.3015823364258 44.162050882975265 0.7697066971504212 0.9249 0.4307 11
adirondack_chairs.ppm 919.7984135945637 41.395301818847656 0.7993267517376571 0.9313 0.4566 10
adirondack_chairs.ppm 967.2931442260742 41.534461975097656 0.8048961839256702 0.9291 0.4648 10
adirondack_chairs.ppm 906.671272277832 39.68475087483724 0.8158674382084663 0.9303 0.4658 9
adirondack_chairs.ppm 842.3819351196289 37.92773691813151 0.8213862174586227 0.9306 0.4734 10
adirondack_chairs.ppm 1038.3516896565754 42.75652058919271 0.7917506761912062 0.9235 0.4362 10
adirondack_chairs.ppm 1074.8453241984048 44.48086293538411 0.7838314665742029 0.9084 0.4294 10
adirondack_chairs.ppm 925.7672704060873 41.12996164957683 0.800632485554721 0.9318 0.4594 10
adirondack_chairs.ppm 1027.6519165039062 41.18389892578125 0.8102374960666451 0.9243 0.4406 10
astro_bodies.ppm 790.3121134440105 32.62907409667969 0.7495048477291694 0.8833 0.4440 10
astro_bodies.ppm 779.428731282552 32.624542236328125 0.7320285153516286 0.8817 0.4546 9
astro_bodies.ppm 611.1736323038737 28.201805114746094 0.8128956081730884 0.9002 0.4661 9
astro_bodies.ppm 827.8914286295574 35.942331949869796 0.7312033549981788 0.8856 0.4508 9
