Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 1573.1376113891602 51.11159006754558 0.782700461478027 0.9039 0.4418 20
adirondack_chairs.ppm 1719.2780787150066 47.650327046712235 0.810898222681056 0.9121 0.4669 21
adirondack_chairs.ppm 1492.6797180175781 47.7073720296224 0.8057457356609818 0.9187 0.4708 21
adirondack_chairs.ppm 1596.1474889119468 48.6251958211263 0.78155466093422 0.9050 0.4280 20
adirondack_chairs.ppm 1337.9755579630535 45.84217071533203 0.8077060950967653 0.9177 0.4454 21
adirondack_chairs.ppm 2171.264602661133 52.90381368001302 0.7794649192041736 0.8988 0.4291 21
adirondack_chairs.ppm 1856.7211201985676 51.00865173339844 0.8001668917631859 0.8947 0.4343 30
adirondack_chairs.ppm 2225.937945048014 48.913831075032554 0.8192941136790592 0.9139 0.4614 21
adirondack_chairs.ppm 1351.8213348388672 45.39088439941406 0.8176029105594146 0.9193 0.4602 20
adirondack_chairs.ppm 1491.4176457722983 48.595151265462235 0.793765713171504 0.9022 0.4331 31
adirondack_chairs.ppm 1628.8302612304688 48.32607523600261 0.7986435968242321 0.9176 0.4500 21
adirondack_chairs.ppm 1244.8274841308594 43.542673746744796 0.8284754428864146 0.9292 0.4592 20
adirondack_chairs.ppm 1993.6395874023438 52.992787679036454 0.7888498187701091 0.9059 0.4461 22
adirondack_chairs.ppm 1194.4691645304363 46.63293711344401 0.791755120067173 0.9291 0.4719 20
adirondack_chairs.ppm 1705.3878707885742 48.43392690022786 0.7902094897197539 0.9068 0.4582 21
adirondack_chairs.ppm 2085.9780883789062 49.440846761067704 0.806310158740248 0.8915 0.4746 21
adirondack_chairs.ppm 1188.417050679525 43.69912974039713 0.8092376158149458 0.9280 0.4576 22
adirondack_chairs.ppm 1517.239766438802 45.533762613932296 0.8206449034432609 0.9212 0.4676 21
adirondack_chairs.ppm 1642.0185139973958 48.912801106770836 0.8193909038360312 0.9200 0.4652 21
adirondack_chairs.ppm 1679.895009358724 47.677164713541664 0.807969489588176 0.9096 0.4330 21
astro_bodies.ppm 842.7885309855143 32.51626841227214 0.838103537047087 0.9086 0.4776 30
astro_bodies.ppm 1188.1792170206706 37.65189870198567 0.8105153861513849 0.8732 0.4583 30
astro_bodies.ppm 1269.5906194051106 39.167335510253906 0.8072564247663961 0.8739 0.4343 21
astro_bodies.ppm 1439.3344014485676 42.12296040852865 0.7993532123515749 0.8575 0.4401 21
astro_bodies.ppm 1135.017567952474 37.31358337402344 0.7992853425709224 0.8745 0.4391 30
astro_bodies.ppm 1499.7459259033203 42.43642171223958 0.7928086949233434 0.8651 0.4493 21
astro_bodies.ppm 1183.762446085612 36.76639811197917 0.8167510208813363 0.8980 0.4597 20
astro_bodies.ppm 2211.336176554362 47.885569254557296 0.8073551002065577 0.8715 0.4408 21
astro_bodies.ppm 1115.5645268758137 36.62097930908203 0.8138899699292739 0.8780 0.4507 21
astro_bodies.ppm 1259.486722310384 37.4199701944987 0.8124331926540084 0.8881 0.4899 22
astro_bodies.ppm 1155.0616633097331 38.910692850748696 0.7984441643590271 0.8536 0.4140 30
astro_bodies.ppm 1803.8194147745767 45.16959889729818 0.797948886411151 0.8700 0.4862 19
astro_bodies.ppm 868.0926411946615 31.559178670247395 0.8201654829440969 0.8773 0.4658 21
astro_bodies.ppm 2127.4732386271157 49.75377146402995 0.7920792998407741 0.8657 0.4538 21
astro_bodies.ppm 847.1505381266276 32.77453104654948 0.8137020305813364 0.8945 0.4540 20
astro_bodies.ppm 1177.6091410319011 37.546086629231766 0.7917212263225974 0.8586 0.4123 21
astro_bodies.ppm 722.4297154744465 30.718793233235676 0.822388667313055 0.9032 0.4821 21
astro_bodies.ppm 1135.5736643473308 35.8285878499349 0.8094073089986726 0.8842 0.4419 20
astro_bodies.ppm 2041.5867894490561 47.657534281412765 0.8005861473094688 0.8556 0.4532 20
astro_bodies.ppm 1726.6421813964844 47.45470682779948 0.77248191866128 0.8619 0.4059 21
astronaut.ppm 941.8099975585938 41.25153096516927 0.7532443990668778 0.8535 0.3698 20
astronaut.ppm 726.0496266682943 37.319427490234375 0.8076256068114059 0.8864 0.4148 20
astronaut.ppm 1024.681002298991 43.1559321085612 0.7600442859491826 0.8366 0.3736 21
astronaut.ppm 1059.0867182413735 42.6209233601888 0.7578179250118954 0.8524 0.4055 20
astronaut.ppm 896.3506495157878 41.63826243082683 0.7304603732136125 0.8357 0.3907 21
astronaut.ppm 1029.7003606160483 44.41049448649088 0.7702352900756925 0.8543 0.4098 20
astronaut.ppm 718.0619735717773 36.86463165283203 0.7863637320845339 0.8654 0.4184 20
astronaut.ppm 832.6568450927734 39.68653361002604 0.7670773301957153 0.8683 0.4195 20
astronaut.ppm 1011.9078038533528 39.43688201904297 0.7592409633882947 0.8380 0.3632 21
astronaut.ppm 1412.636927286784 46.916046142578125 0.7779840550317645 0.8529 0.4081 30
astronaut.ppm 805.7472712198894 38.107032775878906 0.7762009366208057 0.8487 0.4015 20
astronaut.ppm 644.5066426595051 32.86932881673177 0.7879617945730754 0.8921 0.4482 20
astronaut.ppm 736.1083272298177 36.00990295410156 0.7867078696171816 0.8664 0.4093 21
astronaut.ppm 843.7417017618816 39.10718536376953 0.7776507017828757 0.8503 0.3843 20
astronaut.ppm 1086.9004084269206 44.276039123535156 0.7881566242722914 0.8762 0.4322 20
astronaut.ppm 915.6701176961262 41.53166961669922 0.7688925990314951 0.8504 0.4010 21
astronaut.ppm 739.5481033325195 37.31764475504557 0.7798339813740669 0.8488 0.3949 21
astronaut.ppm 731.7771504720052 37.010030110677086 0.7819086557404531 0.8633 0.3890 20
astronaut.ppm 769.7421442667644 37.01321156819662 0.7691882664160508 0.8629 0.3974 20
astronaut.ppm 961.2233657836914 40.11685434977213 0.7744613728500452 0.8669 0.3986 20
balinese_dancer.ppm 890.0262908935547 24.742711385091145 0.8366751458780822 0.8726 0.3959 21
balinese_dancer.ppm 675.1868693033854 23.930023193359375 0.8280053099193717 0.9010 0.3828 20
balinese_dancer.ppm 667.3330128987631 23.118906656901043 0.807650640798483 0.9002 0.4036 20
balinese_dancer.ppm 648.0359013875326 22.93769073486328 0.8011177456768496 0.8997 0.4170 20
balinese_dancer.ppm 457.11048126220703 20.492769877115883 0.8133973431797165 0.9124 0.4340 20
balinese_dancer.ppm 564.6030476888021 20.75896708170573 0.8084347310953551 0.9032 0.4286 21
balinese_dancer.ppm 1042.783353169759 25.66417694091797 0.8045020259105279 0.8565 0.3806 30
balinese_dancer.ppm 828.8654276529949 24.28520711263021 0.8323793210550533 0.8898 0.3933 21
balinese_dancer.ppm 958.6661351521809 26.918729146321617 0.798904847405444 0.8861 0.3740 21
balinese_dancer.ppm 899.020487467448 24.459599812825523 0.8256353934907925 0.8969 0.4126 20
balinese_dancer.ppm 775.2343724568684 23.45725758870443 0.8224159116779114 0.8914 0.3625 20
balinese_dancer.ppm 840.3320134480794 24.012733459472656 0.7985744455692606 0.8950 0.4029 21
