Ajuste: 0
Imagen MSE MAE SSIM FSIM VIF
adirondack_chairs.ppm 691.4184900919596 30.90265146891276 0.8808985586273667 0.9540 0.5380 43
adirondack_chairs.ppm 670.9414774576823 30.544169108072914 0.8910495094475387 0.9512 0.5488 43
adirondack_chairs.ppm 761.3064575195312 32.412287394205734 0.8827216027205345 0.9491 0.5417 42
adirondack_chairs.ppm 667.7794418334961 32.03701527913411 0.8763960564358033 0.9551 0.5023 43
adirondack_chairs.ppm 514.2290852864584 28.896779378255207 0.890772034472357 0.9627 0.5447 43
adirondack_chairs.ppm 800.5361709594727 33.00057729085287 0.8835613762773525 0.9526 0.5281 43
adirondack_chairs.ppm 807.5398966471355 32.606379191080734 0.8805735715301223 0.9452 0.5339 43
adirondack_chairs.ppm 1080.274622599284 36.76355489095052 0.8729336084510836 0.9367 0.5359 43
adirondack_chairs.ppm 1301.295316060384 38.749254862467446 0.863710411097495 0.9366 0.5227 42
adirondack_chairs.ppm 571.8275426228842 28.444155375162758 0.893327555690011 0.9619 0.5681 44
adirondack_chairs.ppm 982.3025385538737 34.595314025878906 0.8737328261862111 0.9375 0.5129 43
adirondack_chairs.ppm 646.7568562825521 30.155471801757812 0.8917852481762552 0.9544 0.5506 42
adirondack_chairs.ppm 936.0471928914387 35.847730000813804 0.8652776614127043 0.9389 0.5171 45
adirondack_chairs.ppm 681.1045532226562 30.87720743815104 0.8841372838162503 0.9559 0.5565 44
adirondack_chairs.ppm 1103.7787246704102 36.65127309163411 0.8729676663579266 0.9265 0.5308 44
adirondack_chairs.ppm 615.6544469197592 30.50575002034505 0.8870763329370236 0.9521 0.5314 43
adirondack_chairs.ppm 815.2197621663411 33.91018168131511 0.8788028523622876 0.9554 0.5451 44
adirondack_chairs.ppm 960.609759012858 34.955421447753906 0.8756900795145167 0.9329 0.5102 42
adirondack_chairs.ppm 627.3157552083334 31.022867838541664 0.8778024625095261 0.9505 0.5305 43
adirondack_chairs.ppm 656.1604741414388 29.973472595214844 0.8925245154625662 0.9633 0.5694 44
astro_bodies.ppm 591.685063680013 26.481669108072914 0.8344419081222162 0.9084 0.5150 43
astro_bodies.ppm 518.202512105306 24.86505889892578 0.8490323795843704 0.9257 0.5279 44
astro_bodies.ppm 745.0040435791016 30.068562825520832 0.8217912930524718 0.9076 0.5096 43
astro_bodies.ppm 510.15025075276696 26.162742614746094 0.8357607041905483 0.9148 0.5030 44
astro_bodies.ppm 800.3313827514648 30.15235646565755 0.8402995093366035 0.9154 0.5181 43
astro_bodies.ppm 759.3805643717449 30.598892211914062 0.8393108400533875 0.8946 0.4838 48
astro_bodies.ppm 478.59172312418616 23.471885681152344 0.8562099415227329 0.9237 0.5257 44
astro_bodies.ppm 610.4436696370442 27.093210856119793 0.827920520086811 0.9123 0.4908 44
astro_bodies.ppm 412.5656102498373 22.214647928873696 0.8719167586106514 0.9300 0.5422 43
astro_bodies.ppm 434.56984965006507 22.040451049804688 0.8483303549619908 0.9307 0.5434 46
astro_bodies.ppm 485.3742701212565 23.35802968343099 0.858514823519181 0.9262 0.5209 44
astro_bodies.ppm 432.49365488688153 24.063316345214844 0.8464094028960254 0.9226 0.5151 45
astro_bodies.ppm 645.4524612426758 28.13743336995443 0.8262143584745253 0.9135 0.5103 45
astro_bodies.ppm 475.3982645670573 23.500584920247398 0.864149488152638 0.9190 0.5314 44
astro_bodies.ppm 408.81754302978516 23.13396453857422 0.8419143527855701 0.9265 0.5187 45
astro_bodies.ppm 504.37982686360675 25.36273193359375 0.8466753975488808 0.9172 0.5079 46
astro_bodies.ppm 543.1951929728191 25.604642232259117 0.8497763927305941 0.9142 0.5165 45
astro_bodies.ppm 702.1740417480469 28.53411865234375 0.8306604093330812 0.9098 0.4735 49
astro_bodies.ppm 623.398063659668 26.076871236165367 0.8609448445176137 0.9252 0.5786 50
astro_bodies.ppm 507.8175481160482 25.187894185384117 0.8568508637576707 0.9212 0.5540 59
astronaut.ppm 494.3492101033529 28.11510467529297 0.8053281631723972 0.8916 0.4316 60
astronaut.ppm 651.3941853841146 32.21521504720052 0.8060896857872691 0.8751 0.4310 60
astronaut.ppm 713.9148661295573 32.89501444498698 0.7870838490721904 0.8918 0.4417 59
astronaut.ppm 993.6507161458334 36.664520263671875 0.7890648895583919 0.8584 0.3926 61
astronaut.ppm 379.60545349121094 24.858978271484375 0.8152642558797503 0.9076 0.4625 58
astronaut.ppm 476.6459986368815 29.22926584879557 0.8061018169839435 0.9118 0.4522 59
astronaut.ppm 236.33597819010416 20.41869099934896 0.8475959451488988 0.9418 0.4966 57
astronaut.ppm 547.6928736368815 30.729723612467446 0.8174383599087526 0.9136 0.4357 59
astronaut.ppm 665.2541910807292 32.69892374674479 0.8116912559757492 0.8844 0.4488 60
astronaut.ppm 1104.6759389241538 38.56690979003906 0.7823767343241516 0.8809 0.4552 58
astronaut.ppm 800.8471476236979 37.22071838378906 0.7696085892102907 0.8663 0.4036 52
astronaut.ppm 873.3543497721354 35.70918273925781 0.7985121468876551 0.8828 0.4477 55
astronaut.ppm 432.78175354003906 27.805689493815102 0.804308849497172 0.9050 0.4390 54
astronaut.ppm 501.08730824788415 29.14750417073568 0.7911550547807834 0.8992 0.4464 53
astronaut.ppm 794.2209599812826 35.457862854003906 0.7699415881398943 0.8823 0.4163 53
astronaut.ppm 576.1735763549805 30.65366872151693 0.8109503995354169 0.9024 0.4620 64
astronaut.ppm 486.10009765625 29.147420247395836 0.7945692956836989 0.9042 0.4676 52
astronaut.ppm 696.2185694376627 33.25110626220703 0.7734327934307289 0.8966 0.4310 48
astronaut.ppm 827.9171244303386 33.67057800292969 0.7892009274802162 0.8691 0.4217 48
astronaut.ppm 394.55960845947266 25.21616872151693 0.8142992426337442 0.9150 0.4574 48
balinese_dancer.ppm 291.8994623819987 16.1631342569987 0.8660179515934231 0.9426 0.5169 45
balinese_dancer.ppm 415.03160095214844 17.529495239257812 0.8658604250847866 0.9415 0.5045 46
balinese_dancer.ppm 273.05811309814453 15.563219706217449 0.873647076240362 0.9494 0.5173 45
balinese_dancer.ppm 761.9574127197266 20.631490071614582 0.8791129267059961 0.8968 0.4454 44
balinese_dancer.ppm 407.2266413370768 17.14690907796224 0.8790378318172234 0.9350 0.4964 46
balinese_dancer.ppm 230.11699167887372 14.121014912923176 0.8977150686711447 0.9582 0.5412 45
balinese_dancer.ppm 267.5379053751627 17.652626037597656 0.8092310546911389 0.9429 0.4968 44
balinese_dancer.ppm 738.955716451009 21.745384216308594 0.8521404374111793 0.9173 0.4569 47
balinese_dancer.ppm 233.06331380208334 15.90990702311198 0.8447853549480345 0.9442 0.5048 57
balinese_dancer.ppm 314.18610890706384 18.02270253499349 0.8545871659752273 0.9301 0.4816 57
balinese_dancer.ppm 342.687739054362 17.416361490885418 0.8696316609748281 0.9419 0.4994 45
balinese_dancer.ppm 362.00401814778644 17.410909016927086 0.8736730077259116 0.9429 0.4999 43
balinese_dancer.ppm 535.1995595296224 19.600194295247395 0.8688588143870889 0.9317 0.4580 45
balinese_dancer.ppm 693.8640263875325 21.152422587076824 0.8733954460301585 0.8997 0.4318 45
balinese_dancer.ppm 278.0404739379883 15.326067606608074 0.859849451548583 0.9474 0.5197 44
