1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

308.07266 281.9813 279.41577 279.41577 279.41577 263.71295 243.53773 243.53773 238.00378 238.00378 238.00378 238.00378 238.00378 238.00378 238.00378 270

282.2009 262.56757 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 233.49359 275

249.76361 249.76361 249.76361 249.76361 249.76361 249.76361 249.76361 249.50749 249.50749 249.50749 249.50749 249.50749 249.50749 249.50749 249.50749 266

289.84903 287.78296 263.40738 263.40738 263.40738 263.40738 263.40738 263.40738 263.40738 263.40738 259.91336 259.91336 259.91336 252.95276 252.95276 289

284.3308 278.3308 261.5862 261.5862 261.5862 261.5862 241.31343 241.31343 241.31343 238.90308 236.16699 236.16699 236.16699 236.16699 236.16699 269

278.0231 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 250.52092 276

263.0326 263.0326 262.77762 262.77762 262.77762 262.77762 262.77762 262.77762 262.77762 262.77762 262.77762 262.77762 262.77762 262.77762 240.52168 289

264.66562 264.66562 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 244.20253 269

252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 252.12553 278

265.72723 265.72723 265.72723 258.23642 258.23642 258.23642 258.23642 244.6032 239.44969 239.44969 239.44969 239.44969 239.44969 239.44969 239.44969 269

265.67798 265.67798 265.67798 265.67798 265.67798 265.67798 258.26108 258.26108 251.29716 244.69751 244.69751 244.69751 244.69751 244.69751 244.69751 269

236.2663 236.2663 236.2663 236.2663 236.2663 236.2663 236.2663 236.2663 236.2663 236.2663 234.25482 234.25482 234.25482 234.25482 234.25482 269

286.4059 282.55176 282.55176 238.80396 238.80396 238.80396 238.80396 238.80396 238.80396 238.80396 238.80396 238.80396 238.80396 238.80396 238.80396 319

289.65396 274.33563 274.33563 263.86734 263.86734 242.40874 242.40874 242.40874 242.40874 242.40874 242.40874 242.40874 242.40874 242.40874 242.40874 278

267.52148 267.52148 267.52148 267.52148 267.52148 267.52148 267.52148 267.52148 267.02237 267.02237 240.03905 240.03905 240.03905 240.03905 240.03905 278

263.4656 263.4656 263.4656 263.4656 233.85344 233.85344 233.85344 233.85344 233.85344 233.85344 233.85344 233.85344 233.85344 233.85344 233.85344 275

276.9276 276.9276 253.24706 253.24706 253.24706 253.24706 238.88593 238.88593 238.88593 238.88593 238.88593 238.88593 238.88593 238.88593 238.88593 301

272.5106 272.5106 272.5106 272.5106 272.5106 272.5106 238.53108 238.53108 238.53108 238.53108 238.53108 238.53108 238.53108 238.53108 238.53108 270

263.53732 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 246.48528 293

265.8481 265.8481 231.1751 231.1751 231.1751 231.1751 231.1751 231.1751 231.1751 231.1751 231.1751 230.30536 230.30536 230.30536 230.30536 275

240.29384 240.29384 240.29384 240.29384 236.16515 236.16515 232.44 232.44 220.72441 220.72441 216.53912 204.98938 204.98938 204.98938 204.98938 300

224.02513 216.10889 205.3064 205.3064 205.3064 205.3064 205.3064 169.39622 169.39622 169.39622 169.39622 169.39622 169.39622 169.39622 169.39622 265

222.54225 222.54225 222.54225 222.54225 222.54225 222.54225 222.54225 222.54225 189.42656 189.42656 189.42656 189.42656 189.42656 189.42656 189.42656 276

212.0815 212.0815 212.0815 212.0815 212.0815 212.0815 212.0815 211.68898 211.68898 194.38841 194.38841 194.38841 194.38841 194.38841 194.38841 298

204.90184 204.90184 204.90184 204.90184 204.90184 204.90184 204.90184 204.90184 204.90184 204.90184 184.2621 184.2621 184.2621 184.2621 184.2621 278

212.27159 212.27159 212.27159 212.27159 212.27159 212.27159 212.27159 212.27159 203.0503 203.0503 190.51324 190.51324 190.51324 190.51324 190.51324 282

213.29842 213.29842 213.29842 213.29842 213.29842 213.29842 213.29842 213.29842 213.29842 213.29842 205.70976 203.1236 203.1236 203.1236 203.1236 300

243.8798 223.39502 213.68298 213.68298 213.68298 202.8843 202.8843 202.8843 202.8843 202.8843 202.8843 202.8843 202.8843 202.8843 202.8843 273

211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 211.35518 191.73735 191.73735 276

190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 190.82823 269

