1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 263.83643 13

315.5165 315.38748 312.94348 312.94348 312.94348 312.94348 312.94348 312.94348 312.94348 312.94348 312.94348 312.94348 312.94348 312.94348 312.68857 13

280.14957 279.97656 279.92935 279.92935 279.92935 279.92935 279.92935 279.92935 279.92935 279.92935 279.92935 278.78665 278.354 278.34378 278.34378 13

256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 256.85587 13

284.23502 283.83087 283.83087 283.40887 283.40887 283.40887 283.2596 283.0591 283.0591 283.0591 283.0591 283.0591 283.0591 283.0591 283.0591 13

270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 270.45596 15

324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 324.60596 13

280.6024 280.6024 280.6024 280.6024 280.6024 280.34244 280.34244 280.34244 280.34244 280.34244 280.34244 279.77304 279.77304 279.77304 279.77304 14

327.24503 327.24503 327.24503 327.24503 327.18747 327.18747 327.18747 327.14066 327.14066 326.75827 326.75827 326.75827 326.75827 326.75827 326.75827 13

316.58795 316.58795 316.58795 316.58795 316.58795 313.24515 312.61334 312.61334 311.84085 311.84085 311.84085 311.84085 311.84085 311.84085 311.84085 13

298.81223 298.81223 298.81223 298.30286 297.54712 297.54712 297.54712 297.54712 297.54712 297.54712 297.54712 297.10764 297.10764 297.10764 297.10764 14

297.4709 297.4709 297.4709 297.4709 297.4709 297.4709 297.4709 297.4709 296.24338 296.24338 296.24338 296.24338 296.24338 296.24338 296.24338 14

279.4357 279.4357 279.4357 279.4357 279.4357 279.4357 279.4357 278.7193 277.93066 277.93066 277.93066 277.93066 277.93066 277.93066 277.93066 14

281.3227 281.3227 281.3227 281.24274 281.24274 281.24274 280.72934 280.72934 280.72934 280.72934 280.72934 280.72934 280.72934 280.72934 280.72934 13

283.36887 283.31665 282.96768 282.41306 282.27597 281.95657 281.7233 281.7233 281.7233 281.7233 281.7233 281.7233 281.7233 281.7233 281.7233 13

267.4718 266.606 266.606 266.606 266.606 266.56174 266.56174 266.56174 266.56174 266.56174 266.56174 266.56174 266.56174 266.56174 266.56174 14

285.19534 285.19534 284.72995 284.72995 284.58566 283.60037 283.5353 283.5353 283.5353 283.17148 283.17148 283.17148 283.17148 283.17148 283.17148 13

298.52432 298.52432 298.074 298.074 298.074 298.074 298.074 298.074 298.074 298.074 298.074 298.074 298.074 298.074 298.074 13

292.6991 292.6991 292.6991 292.14926 292.14926 292.14926 292.14926 292.14926 292.14926 292.14926 292.14926 292.14926 292.14926 292.14926 292.14926 13

299.0226 299.0226 299.0226 299.0226 297.7256 297.7256 297.7256 297.7256 297.7256 297.7256 297.7256 297.7256 297.7256 297.7256 297.7256 14

265.3804 265.3804 264.85703 264.85703 264.85703 264.85703 264.85703 264.85703 264.85703 264.35855 264.29135 264.29135 264.29135 264.29135 264.29135 13

298.28018 298.28018 292.5558 292.5558 292.40018 292.40018 291.6215 291.6215 291.6215 291.6215 291.6215 291.6215 291.6215 291.6215 291.6215 13

249.73291 249.73291 249.73291 249.73291 249.73291 249.39983 249.39983 248.72307 248.72307 248.72307 246.35133 245.35864 245.35864 245.35864 245.35864 13

242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 242.62578 13

278.61035 277.50073 277.50073 277.50073 277.50073 277.50073 277.50073 277.03604 276.9489 276.9489 276.73434 276.73434 276.63943 276.63943 276.63943 13

252.15773 252.15773 252.15773 252.15773 252.15773 252.15773 252.15773 252.15773 252.15773 252.15773 252.15773 251.92659 251.92659 251.92659 251.92659 13

273.53378 273.53378 273.53378 273.53378 273.53378 273.53378 273.53378 273.53378 273.53378 273.53378 273.53378 270.1765 270.1765 270.1765 268.9282 14

325.56445 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 325.3578 14

245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 245.5896 14

376.50735 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 373.82898 14

299.45547 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 298.0733 14

289.02966 288.28006 287.01675 287.01675 287.01675 287.01675 286.83545 286.4385 286.4385 283.9766 283.9766 283.9766 283.9766 283.9766 283.9766 13

222.01147 222.01147 221.87238 221.87238 221.41193 221.41193 221.41193 221.20764 221.1226 221.1226 221.1226 221.1226 221.1226 221.1226 221.1226 14

321.47336 321.47336 321.47336 321.47336 321.47336 321.47336 321.47336 317.7822 317.7822 317.7822 314.21317 314.07184 314.07184 314.02234 314.02234 13

353.3016 353.3016 353.3016 352.5681 352.5681 352.5681 352.5681 352.4745 352.31506 351.7649 351.7213 351.7213 351.54288 346.07883 346.07883 13

