1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

10.392254 10.392254 9.705577 9.705577 9.705577 9.652335 9.652335 9.327084 9.327084 9.150234 9.150234 9.126638 9.04547 8.826826 8.729143 19

10.158622 10.158622 9.758016 9.551158 9.4536 9.4110985 9.182438 8.926617 8.926617 8.926617 8.926617 8.926617 8.863214 8.668418 8.614653 20

10.702457 10.6904 9.742951 9.742951 9.742951 9.58852 9.389263 9.190118 8.706473 8.706473 8.706473 8.706473 8.706473 8.706473 8.706473 18

10.354998 10.271854 9.749865 9.749865 9.749865 9.749865 9.712842 9.712842 9.691417 9.567419 9.480816 9.413745 9.413745 9.115696 9.062168 19

10.249858 10.164682 10.020791 9.835827 9.789197 9.789197 9.3866005 8.851955 8.851955 8.851955 8.851955 8.851955 8.822359 8.512272 8.298331 18

9.8954935 9.8954935 9.511525 9.511525 9.511525 9.409391 9.409391 9.409391 9.366948 9.366948 9.082561 8.944027 8.944027 8.736895 8.647093 19

10.150823 9.684113 9.684113 9.684113 9.684113 9.663052 9.377329 9.238025 9.238025 9.120251 9.120251 9.120251 9.1068535 8.849728 8.717797 18

10.136355 10.136355 10.061721 9.59202 9.311933 9.311933 9.280434 9.11795 9.11795 9.11795 9.11795 8.949504 8.915203 8.735999 8.5345955 19

10.393653 9.97883 9.97883 9.810192 9.535444 9.535444 9.222012 9.222012 9.156702 9.156702 9.156702 9.156702 9.156702 9.137333 8.979657 19

10.296787 9.77103 9.538843 9.456524 9.285624 9.266605 8.693132 8.693132 8.693132 8.693132 8.693132 8.689462 8.689462 8.487044 8.366654 18

10.370882 10.211873 9.643697 9.643697 9.576406 9.474277 9.396379 9.396379 9.396379 9.269039 9.269039 9.269039 9.172611 8.924021 8.734437 19

10.764858 10.152964 9.813732 9.73459 9.73459 9.447572 9.0925045 8.992397 8.902845 8.836026 8.79987 8.744507 8.744507 8.529295 8.529295 19

10.421887 9.829962 9.559624 9.559624 9.559624 9.286289 9.137596 8.843673 8.798935 8.798935 8.757136 8.378178 8.378178 8.378178 8.146718 19

9.56231 9.56231 9.56231 9.499004 9.479131 9.479131 9.07475 9.07475 9.07475 8.766546 8.766546 8.766546 8.766546 8.766546 8.766546 20

10.247946 10.222001 9.574155 9.574155 9.49874 9.262848 8.732919 8.732919 8.732919 8.732919 8.732919 8.732919 8.732919 8.652666 8.564137 18

10.644732 9.597919 9.597919 9.597919 9.597919 9.597919 9.597919 9.597919 9.370108 9.146412 9.00906 9.00906 8.48252 8.48252 8.418508 18

10.368955 10.356587 9.981775 9.981775 9.981775 9.981775 9.981775 9.981775 9.981775 9.733276 9.690274 9.565417 9.458801 9.14998 9.119278 18

10.077378 9.990455 9.963165 9.595956 9.32454 9.306609 9.106411 9.106411 9.094702 8.950729 8.950729 8.886305 8.886158 8.456945 8.379371 19

