1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 Tiempo

173.49931 173.49931 173.49931 172.27916 172.27916 172.27916 150.80363 148.4655 141.76566 141.76566 141.76566 141.76566 138.62592 127.60793 127.36224 20

175.44806 173.52351 162.49165 158.21886 155.82466 146.4281 138.27711 138.27711 138.27711 130.74782 130.74782 130.74782 126.27973 122.75338 119.46107 21

151.18317 151.18317 151.18317 151.18317 144.31172 144.31172 144.10065 144.10065 144.10065 144.10065 144.10065 141.52252 134.1494 127.79831 120.77366 20

175.64012 175.64012 158.93398 147.20811 147.20811 147.20811 147.20811 147.20811 147.20811 147.20811 147.20811 146.21004 146.21004 138.1766 137.0151 20

178.7372 178.12013 150.08527 150.08527 150.08527 150.08527 149.2373 138.14706 138.14706 138.14706 138.14706 125.81095 124.28961 118.18212 114.130165 20

151.53 151.53 145.07903 145.07903 145.07903 141.66136 141.66136 135.31151 128.93994 128.93994 125.86911 124.88125 121.31478 119.441734 119.441734 21

179.33565 171.00774 171.00774 148.93764 148.93764 147.8006 146.68433 146.68433 146.68433 138.74875 137.83992 137.34657 128.98209 124.71227 120.653625 21

165.64618 165.64618 160.33784 160.25203 140.89815 140.89815 140.89815 140.89815 134.73041 134.73041 134.73041 130.19087 130.19087 122.07974 119.86616 21

182.2043 179.91376 179.91376 161.521 161.521 155.67924 155.67924 154.10664 142.95628 142.95628 142.95628 142.16508 141.18248 137.83661 134.35309 20

168.5814 168.5814 167.06653 167.06653 167.06653 167.06653 160.27553 160.27553 160.27553 160.27553 160.27553 150.56236 150.56236 149.18654 145.10799 20

176.6192 166.84491 166.84491 155.97557 146.06178 146.06178 146.06178 146.06178 134.96733 134.96733 134.96733 132.65877 124.32249 120.47079 117.502266 21

177.30785 160.8073 160.8073 160.8073 152.64131 152.64131 145.90231 145.90231 145.90231 145.90231 142.82314 129.9244 129.9244 129.9244 125.92353 19

192.96272 174.25093 174.25093 173.29964 165.31512 149.94284 149.94284 149.94284 149.94284 149.94284 149.94284 149.54523 147.42854 146.31606 135.6922 19

161.35487 161.35487 161.35487 161.35487 161.35487 155.49657 155.49657 145.17839 145.17839 145.17839 137.23274 137.23274 127.13064 116.45934 116.01365 21

174.45586 174.24571 147.71045 147.71045 147.71045 147.71045 138.59424 135.87091 135.87091 135.87091 128.93512 128.93512 125.22971 116.75158 115.21815 21

158.92572 158.92572 158.92572 145.59279 145.59279 137.94476 137.94476 137.94476 128.31331 128.31331 128.31331 128.31331 128.31331 128.31331 123.96131 22

172.79997 172.79997 151.6032 151.6032 139.43187 139.43187 139.43187 139.43187 139.43187 139.43187 136.83467 133.20935 129.29166 122.92853 120.19042 21

162.11769 150.44954 149.27922 149.27922 134.29547 134.29547 134.29547 134.29547 134.29547 131.06126 129.41875 129.41875 126.33236 120.4689 115.38305 20

157.1145 149.46896 147.50676 147.50676 147.50676 147.50676 147.50676 147.50676 144.08705 144.08705 144.08705 144.08705 144.08705 144.08705 139.95885 20

171.82909 171.82909 158.63464 149.53941 149.53941 136.34691 136.34691 136.34691 136.34691 136.34691 136.34691 136.34691 129.32597 129.32597 129.32597 21

135.7911 135.7911 123.81655 123.81655 123.81655 120.896454 120.896454 120.896454 120.896454 120.896454 112.889465 108.57104 108.57104 100.152466 95.79351 19

139.41957 129.71342 129.71342 129.71342 129.71342 109.29348 106.42117 102.71581 102.71581 96.497154 96.497154 96.497154 88.365395 78.851814 77.52555 20

152.58989 152.58989 141.37744 141.37744 141.37744 141.37744 130.50798 129.36694 115.24164 112.07372 112.07372 107.590385 104.89529 103.627754 95.494865 19

119.21639 119.21639 119.21639 119.21639 119.21639 110.954475 110.954475 110.954475 110.954475 110.954475 110.954475 110.820496 99.30942 99.30942 99.30942 20

